setID,word,manmade,shoebox,nletters,freq,nsyllables,concreteness,item_type,study_judgment,study_condition
set5,PARCEL,Y,N,6,1,2,525,old,shoebox,uninformed
set5,PEAR,N,Y,4,6,1,634,old,shoebox,uninformed
set5,KETTLE,Y,N,6,3,2,602,old,shoebox,uninformed
set5,SUGAR,N,Y,5,34,2,620,old,manmade,informed
set5,WHEAT,N,Y,5,9,1,594,old,manmade,uninformed
set5,SHOVEL,Y,N,6,5,2,581,old,shoebox,uninformed
set5,CIGAR,Y,Y,5,10,2,580,old,shoebox,informed
set5,THUMB,N,Y,5,10,1,638,old,manmade,uninformed
set5,KENNEL,Y,N,6,3,2,611,old,shoebox,informed
set5,BEAVER,N,N,6,3,2,589,old,shoebox,informed
set5,CREATURE,N,N,8,15,2,541,old,manmade,informed
set5,LIMB,N,N,4,5,1,590,old,manmade,uninformed
set5,BROOM,Y,N,5,2,1,613,old,shoebox,informed
set5,VEIN,N,Y,4,25,1,553,old,manmade,uninformed
set5,BANDAGE,Y,Y,7,4,2,639,old,shoebox,informed
set5,SPRAY,Y,Y,5,16,1,514,old,shoebox,uninformed
set5,POTATO,N,Y,6,15,3,629,old,manmade,informed
set5,COUCH,Y,N,5,12,1,578,old,manmade,uninformed
set5,VEIL,Y,Y,4,8,1,560,old,manmade,informed
set5,TULIP,N,Y,5,4,2,619,old,shoebox,informed
set5,OYSTER,N,Y,6,6,2,573,old,manmade,informed
set5,MINK,N,N,4,5,1,589,old,shoebox,uninformed
set5,CARRIAGE,Y,N,8,11,2,576,old,manmade,informed
set5,JACKET,Y,N,6,33,2,635,old,manmade,informed
set5,DIAMOND,N,Y,7,8,2,610,old,manmade,informed
set5,PENCIL,Y,Y,6,34,2,617,old,shoebox,uninformed
set5,COSTUME,Y,N,7,10,2,544,old,shoebox,informed
set5,BASS,N,Y,4,16,1,547,old,manmade,uninformed
set5,COLLAR,Y,Y,6,17,2,622,old,shoebox,informed
set5,HEEL,N,Y,4,9,1,579,old,manmade,informed
set5,CLOSET,Y,N,6,16,2,599,old,shoebox,informed
set5,LENS,Y,Y,4,12,1,573,old,manmade,uninformed
set5,SCISSORS,Y,Y,8,1,2,596,old,shoebox,informed
set5,BUCKET,Y,N,6,7,2,594,old,shoebox,informed
set5,BASEMENT,Y,N,8,31,2,585,old,shoebox,uninformed
set5,SUPPER,Y,Y,6,37,2,563,old,manmade,informed
set5,PATCH,Y,Y,5,13,1,558,old,shoebox,informed
set5,PLUM,N,Y,4,1,1,632,old,shoebox,informed
set5,STEW,Y,Y,4,5,1,603,old,shoebox,uninformed
set5,CONE,Y,Y,4,13,1,573,old,manmade,uninformed
set5,FRUIT,N,Y,5,35,1,612,old,shoebox,informed
set5,CEREAL,Y,Y,6,17,2,637,old,shoebox,informed
set5,TOOL,Y,Y,4,40,1,570,old,shoebox,informed
set5,POLLEN,N,Y,6,11,2,584,old,manmade,uninformed
set5,DOUGH,Y,Y,5,13,1,627,old,manmade,informed
set5,DIME,Y,Y,4,4,1,582,old,shoebox,informed
set5,HAMMER,Y,Y,6,9,2,605,old,manmade,informed
set5,ANKLE,N,Y,5,8,2,608,old,shoebox,uninformed
set5,PARADE,Y,N,6,25,2,523,old,shoebox,informed
set5,TENNIS,Y,N,6,15,2,574,old,shoebox,informed
set5,PIER,Y,N,4,3,1,588,old,manmade,uninformed
set5,FEAST,Y,N,5,3,1,542,old,shoebox,informed
set5,MINERAL,N,Y,7,12,3,527,old,shoebox,informed
set5,PLUG,Y,Y,4,23,1,558,old,shoebox,uninformed
