setID,word,manmade,shoebox,nletters,freq,nsyllables,concreteness,item_type,study_judgment,study_condition
set53,SURF,N,N,4,1,1,527,old,manmade,informed
set53,LUNG,N,Y,4,16,1,569,old,manmade,informed
set53,VASE,Y,N,4,4,1,595,old,manmade,informed
set53,THUNDER,N,N,7,14,2,547,old,shoebox,uninformed
set53,CAVE,N,N,4,9,1,592,old,manmade,uninformed
set53,CARD,Y,Y,4,26,1,565,old,manmade,informed
set53,PICKLE,Y,Y,6,1,2,606,old,shoebox,uninformed
set53,CHOIR,Y,N,5,8,1,567,old,shoebox,informed
set53,HOCKEY,Y,N,6,1,2,535,old,shoebox,uninformed
set53,ALLEY,Y,N,5,8,2,557,old,manmade,uninformed
set53,JERSEY,Y,Y,6,25,2,621,old,shoebox,uninformed
set53,OATMEAL,Y,Y,7,1,2,552,old,shoebox,informed
set53,SWORD,Y,N,5,7,1,577,old,shoebox,uninformed
set53,BEEF,N,Y,4,32,1,637,old,manmade,uninformed
set53,FRUIT,N,Y,5,35,1,612,old,manmade,informed
set53,CLOVER,N,Y,6,16,2,554,old,shoebox,uninformed
set53,SAUCE,Y,Y,5,20,1,576,old,manmade,informed
set53,CLOUD,N,N,5,28,1,554,old,shoebox,uninformed
set53,GIFT,Y,Y,4,33,1,533,old,manmade,informed
set53,PASTE,Y,Y,5,10,1,559,old,manmade,uninformed
set53,GARLIC,N,Y,6,4,2,636,old,manmade,informed
set53,PIANO,Y,N,5,38,3,615,old,shoebox,informed
set53,PODIUM,Y,N,6,1,2,546,old,manmade,uninformed
set53,BARK,N,Y,4,14,1,563,old,manmade,uninformed
set53,TIDE,N,N,4,11,1,516,old,manmade,uninformed
set53,OCEAN,N,N,5,34,2,593,old,shoebox,informed
set53,SNAIL,N,Y,5,1,1,579,old,manmade,uninformed
set53,WHIP,Y,N,4,19,1,570,old,shoebox,uninformed
set53,GARMENT,Y,Y,7,6,2,552,old,manmade,informed
set53,DRAIN,Y,Y,5,18,1,591,old,manmade,informed
set53,STICK,N,Y,5,39,1,604,old,shoebox,uninformed
set53,DIME,Y,Y,4,4,1,582,old,shoebox,informed
set53,BEVERAGE,Y,Y,8,5,3,526,old,manmade,uninformed
set53,EAGLE,N,N,5,5,2,616,old,manmade,uninformed
set53,GOWN,Y,Y,4,16,1,586,old,shoebox,uninformed
set53,SUNBURN,N,N,7,5,2,563,old,shoebox,informed
set53,HERB,N,Y,4,7,1,558,old,manmade,uninformed
set53,DAWN,N,N,4,28,1,501,old,manmade,informed
set53,TENNIS,Y,N,6,15,2,574,old,shoebox,uninformed
set53,SHOE,Y,Y,4,14,1,600,old,manmade,informed
set53,WOLF,N,N,4,6,1,595,old,shoebox,uninformed
set53,BONE,N,Y,4,33,1,588,old,shoebox,informed
set53,DRUG,Y,Y,4,24,1,555,old,manmade,informed
set53,NECKLACE,Y,Y,8,3,2,633,old,manmade,uninformed
set53,SCISSORS,Y,Y,8,1,2,596,old,shoebox,informed
set53,STORM,N,N,5,26,1,527,old,manmade,informed
set53,FISH,N,Y,4,35,1,597,old,manmade,informed
set53,THREAD,Y,Y,6,15,1,607,old,manmade,uninformed
set53,BANDAGE,Y,Y,7,4,2,639,old,shoebox,informed
set53,BOULDER,N,N,7,10,2,597,old,manmade,informed
set53,COAL,N,Y,4,32,1,584,old,manmade,informed
set53,SKIRT,Y,Y,5,21,1,614,old,manmade,uninformed
set53,WOOL,N,Y,4,10,1,608,old,shoebox,informed
set53,BRACELET,Y,Y,8,1,2,602,old,manmade,informed
set53,COKE,Y,Y,4,4,1,580,old,manmade,informed
