setID,word,manmade,shoebox,nletters,freq,nsyllables,concreteness,item_type,study_judgment,study_condition
set43,DOORWAY,Y,N,7,15,2,578,old,manmade,uninformed
set43,BIRD,N,Y,4,31,1,602,old,shoebox,informed
set43,STEW,Y,Y,4,5,1,603,old,shoebox,uninformed
set43,NOZZLE,Y,Y,6,4,2,555,old,manmade,informed
set43,SHOE,Y,Y,4,14,1,600,old,manmade,uninformed
set43,STEM,N,Y,4,29,1,556,old,manmade,uninformed
set43,CLOSET,Y,N,6,16,2,599,old,shoebox,uninformed
set43,CABLE,Y,Y,5,7,2,544,old,manmade,informed
set43,FENCE,Y,N,5,30,1,597,old,manmade,uninformed
set43,BACTERIA,N,Y,8,8,3,560,old,manmade,uninformed
set43,BOOTH,Y,N,5,7,1,556,old,shoebox,uninformed
set43,JADE,N,Y,4,1,1,570,old,manmade,informed
set43,MACKEREL,N,Y,8,2,2,636,old,manmade,uninformed
set43,SUNBURN,N,N,7,5,2,563,old,manmade,uninformed
set43,BUSH,N,N,4,14,1,585,old,shoebox,informed
set43,COKE,Y,Y,4,4,1,580,old,manmade,uninformed
set43,BANDAGE,Y,Y,7,4,2,639,old,manmade,informed
set43,FORK,Y,Y,4,14,1,592,old,shoebox,informed
set43,EAGLE,N,N,5,5,2,616,old,manmade,informed
set43,BAGPIPE,Y,N,7,1,2,601,old,manmade,uninformed
set43,SOUP,Y,Y,4,16,1,615,old,shoebox,informed
set43,PALACE,Y,N,6,38,2,579,old,shoebox,informed
set43,BLANKET,Y,N,7,30,2,622,old,manmade,informed
set43,CABBAGE,N,Y,7,4,2,611,old,shoebox,uninformed
set43,TANK,Y,N,4,12,1,581,old,manmade,informed
set43,NEEDLE,Y,Y,6,15,2,608,old,manmade,informed
set43,PORK,N,N,4,10,1,585,old,manmade,informed
set43,BOWL,Y,Y,4,23,1,575,old,shoebox,uninformed
set43,RAMP,Y,N,4,6,1,538,old,shoebox,informed
set43,PEPPER,N,Y,6,13,2,591,old,shoebox,informed
set43,LEAF,N,Y,4,12,1,593,old,manmade,uninformed
set43,POLE,Y,N,4,18,1,577,old,shoebox,uninformed
set43,PARADE,Y,N,6,25,2,523,old,shoebox,uninformed
set43,VIOLIN,Y,N,6,11,2,626,old,shoebox,informed
set43,POSTER,Y,N,6,4,2,592,old,manmade,uninformed
set43,LION,N,N,4,17,1,627,old,manmade,uninformed
set43,DRILL,Y,Y,5,33,1,516,old,shoebox,uninformed
set43,CEILING,Y,N,7,31,2,606,old,shoebox,informed
set43,GARBAGE,Y,Y,7,7,2,572,old,shoebox,uninformed
set43,SATIN,Y,Y,5,5,2,594,old,manmade,uninformed
set43,DAWN,N,N,4,28,1,501,old,shoebox,informed
set43,SILVER,N,Y,6,29,2,564,old,manmade,informed
set43,VEIN,N,Y,4,25,1,553,old,shoebox,uninformed
set43,OTTER,N,N,5,5,2,631,old,shoebox,uninformed
set43,COAL,N,Y,4,32,1,584,old,manmade,uninformed
set43,FURNACE,Y,N,7,11,2,600,old,shoebox,informed
set43,WHEAT,N,Y,5,9,1,594,old,manmade,uninformed
set43,INSECT,N,Y,6,14,2,593,old,manmade,informed
set43,ONION,N,Y,5,15,2,632,old,shoebox,uninformed
set43,SLOPE,N,N,5,19,1,513,old,manmade,uninformed
set43,SPADE,Y,Y,5,10,1,565,old,manmade,informed
set43,CEMENT,Y,Y,6,11,2,646,old,manmade,informed
set43,WRECK,Y,N,5,8,1,505,old,shoebox,informed
set43,TRIANGLE,N,Y,8,4,3,523,old,manmade,uninformed
set43,TONGUE,N,Y,6,35,1,634,old,manmade,informed
set43,TRUMPET,Y,N,7,7,2,608,old,manmade,uninformed
set43,FACTORY,Y,N,7,32,3,586,old,shoebox,uninformed
set43,TOMATO,N,Y,6,4,3,662,old,manmade,informed
set43,STAIN,N,Y,5,6,1,535,old,shoebox,informed
set43,POND,N,N,4,25,1,623,old,manmade,uninformed
set43,MOUNTAIN,N,N,8,33,2,616,old,shoebox,uninformed
set43,MUSTARD,Y,Y,7,20,2,595,old,shoebox,informed
set43,GINGER,N,Y,6,2,2,522,old,shoebox,informed
set43,VEIL,Y,Y,4,8,1,560,old,manmade,informed
set43,PONY,N,N,4,10,2,611,old,manmade,uninformed
set43,STRING,Y,Y,6,19,1,570,old,shoebox,informed
set43,DITCH,N,N,5,10,1,555,old,shoebox,uninformed
set43,ANKLE,N,Y,5,8,2,608,old,shoebox,uninformed
set43,FEAST,Y,N,5,3,1,542,old,manmade,informed
set43,LOCKER,Y,N,6,9,2,586,old,manmade,uninformed
set43,PYRAMID,Y,N,7,2,3,615,old,shoebox,uninformed
set43,MINK,N,N,4,5,1,589,old,manmade,uninformed
set43,STATUE,Y,N,6,17,2,600,old,manmade,informed
set43,HEDGE,Y,N,5,2,1,615,old,manmade,uninformed
set43,HERB,N,Y,4,7,1,558,old,shoebox,uninformed
set43,MIRROR,Y,Y,6,27,1,605,old,shoebox,uninformed
set43,CORK,Y,Y,4,9,1,608,old,manmade,informed
set43,TEAR,N,Y,4,11,1,504,old,manmade,uninformed
set43,KITTEN,N,Y,6,5,2,612,old,shoebox,uninformed
set43,GARLIC,N,Y,6,4,2,636,old,shoebox,informed
set43,FOOTBALL,Y,Y,8,36,2,584,old,manmade,uninformed
set43,SHED,Y,N,4,11,1,611,old,shoebox,informed
set43,BERRY,N,Y,5,9,2,573,old,manmade,informed
set43,SKIRT,Y,Y,5,21,1,614,old,manmade,informed
set43,SPINACH,N,Y,7,2,2,589,old,shoebox,uninformed
set43,ENVELOPE,Y,Y,8,21,3,579,old,shoebox,informed
set43,PINE,N,N,4,14,1,592,old,shoebox,uninformed
set43,SPEAR,Y,N,5,7,1,584,old,manmade,informed
set43,SNAIL,N,Y,5,1,1,579,old,manmade,uninformed
set43,GOLF,Y,N,4,34,1,540,old,manmade,uninformed
set43,BREEZE,N,N,6,14,1,500,old,shoebox,informed
set43,WORM,N,Y,4,4,1,611,old,manmade,informed
set43,SUGAR,N,Y,5,34,2,620,old,manmade,uninformed
set43,SACK,Y,Y,4,8,1,582,old,manmade,informed
set43,FLUTE,Y,Y,5,1,1,587,old,shoebox,informed
set43,SHOWER,Y,N,6,15,1,588,old,manmade,uninformed
set43,BARK,N,Y,4,14,1,563,old,shoebox,uninformed
set43,GLOVE,Y,Y,5,9,1,607,old,shoebox,uninformed
set43,WOMB,N,N,4,1,1,538,old,shoebox,informed
set43,TENNIS,Y,N,6,15,2,574,old,manmade,uninformed
set43,DECK,Y,N,4,23,1,566,old,shoebox,uninformed
set43,CARRIAGE,Y,N,8,11,2,576,old,shoebox,informed
set43,CAGE,Y,N,4,9,1,593,old,shoebox,uninformed
set43,SOAP,Y,Y,4,22,1,598,old,manmade,uninformed
set43,COLLAR,Y,Y,6,17,2,622,old,shoebox,informed
set43,SWEAT,N,Y,5,23,1,569,old,shoebox,uninformed
set43,POWDER,N,Y,6,28,2,513,old,manmade,uninformed
set43,CHALK,Y,Y,5,3,1,634,old,shoebox,informed
set43,COFFIN,Y,N,6,7,2,595,old,shoebox,uninformed
set43,GOAT,N,N,4,6,1,636,old,shoebox,uninformed
set43,CEREAL,Y,Y,6,17,2,637,old,manmade,uninformed
set43,STORM,N,N,5,26,1,527,old,shoebox,informed
set43,BROOM,Y,N,5,2,1,613,old,shoebox,informed
set43,SUNSET,N,N,6,14,2,525,old,shoebox,uninformed
set43,FISH,N,Y,4,35,1,597,old,manmade,uninformed
set43,BALLOON,Y,Y,7,10,2,623,old,shoebox,uninformed
set43,CASH,Y,Y,4,36,1,547,old,shoebox,informed
set43,TOBACCO,N,Y,7,19,3,609,old,manmade,uninformed
set43,GIFT,Y,Y,4,33,1,533,old,manmade,uninformed
set43,ABDOMEN,N,Y,7,6,3,586,old,manmade,informed
set43,BUTTON,Y,Y,6,10,2,613,old,shoebox,informed
