setID,word,manmade,shoebox,nletters,freq,nsyllables,concreteness,item_type,study_judgment,study_condition
set38,LAWN,Y,N,4,15,1,588,old,manmade,informed
set38,SHEEP,N,N,5,23,1,622,old,shoebox,uninformed
set38,FEAST,Y,N,5,3,1,542,old,manmade,uninformed
set38,CABBAGE,N,Y,7,4,2,611,old,manmade,uninformed
set38,SCAR,N,Y,4,10,1,552,old,shoebox,informed
set38,ENVELOPE,Y,Y,8,21,3,579,old,manmade,informed
set38,COSTUME,Y,N,7,10,2,544,old,shoebox,informed
set38,VINE,N,Y,4,4,1,601,old,shoebox,uninformed
set38,BLOSSOM,N,Y,7,7,2,559,old,shoebox,informed
set38,STAR,N,N,4,25,1,574,old,manmade,uninformed
set38,RIBBON,Y,Y,6,12,2,600,old,shoebox,uninformed
set38,WOLF,N,N,4,6,1,595,old,shoebox,informed
set38,FORK,Y,Y,4,14,1,592,old,manmade,uninformed
set38,COKE,Y,Y,4,4,1,580,old,manmade,informed
set38,CARRIAGE,Y,N,8,11,2,576,old,manmade,informed
set38,KENNEL,Y,N,6,3,2,611,old,shoebox,uninformed
set38,LEATHER,Y,Y,7,24,2,575,old,manmade,uninformed
set38,TROUT,N,Y,5,4,1,617,old,manmade,informed
set38,LIVER,N,Y,5,16,2,617,old,shoebox,informed
set38,LANE,Y,N,4,30,1,537,old,manmade,informed
set38,BISCUIT,Y,Y,7,2,2,574,old,manmade,uninformed
set38,POWDER,N,Y,6,28,2,513,old,shoebox,informed
set38,JACKET,Y,N,6,33,2,635,old,shoebox,informed
set38,PILLOW,Y,N,6,8,2,613,old,shoebox,uninformed
set38,PEARL,N,Y,5,9,1,597,old,manmade,informed
set38,TONGUE,N,Y,6,35,1,634,old,shoebox,informed
set38,HOOD,Y,Y,4,7,1,547,old,manmade,informed
set38,AXLE,Y,N,4,5,2,555,old,shoebox,uninformed
set38,DRUM,Y,N,4,11,1,602,old,shoebox,informed
set38,RABBIT,N,Y,6,11,2,635,old,manmade,uninformed
set38,ONION,N,Y,5,15,2,632,old,manmade,uninformed
set38,PEPPER,N,Y,6,13,2,591,old,shoebox,informed
set38,PICKLE,Y,Y,6,1,2,606,old,shoebox,informed
set38,ROPE,Y,Y,4,15,1,608,old,shoebox,informed
set38,TIMBER,N,N,6,19,2,578,old,manmade,uninformed
set38,BUTTON,Y,Y,6,10,2,613,old,manmade,informed
set38,DUCK,N,Y,4,9,1,606,old,manmade,uninformed
set38,TRACTOR,Y,N,7,24,2,590,old,shoebox,uninformed
set38,SAND,N,Y,4,28,1,616,old,manmade,uninformed
set38,BLOUSE,Y,Y,6,1,1,640,old,manmade,informed
