setID,word,manmade,shoebox,nletters,freq,nsyllables,concreteness,item_type,study_judgment,study_condition
set64,ROPE,Y,Y,4,15,1,608,old,shoebox,uninformed
set64,SCISSORS,Y,Y,8,1,2,596,old,manmade,informed
set64,PALACE,Y,N,6,38,2,579,old,shoebox,uninformed
set64,DOUGH,Y,Y,5,13,1,627,old,manmade,uninformed
set64,BUTTON,Y,Y,6,10,2,613,old,shoebox,uninformed
set64,BUBBLE,N,Y,6,12,2,563,old,manmade,informed
set64,BADGE,Y,Y,5,5,1,561,old,manmade,uninformed
set64,MANSION,Y,N,7,8,2,579,old,shoebox,uninformed
set64,SCRATCH,N,N,7,9,1,523,old,manmade,uninformed
set64,TROUT,N,Y,5,4,1,617,old,manmade,informed
set64,FLAG,Y,Y,4,16,1,606,old,shoebox,uninformed
set64,STEAM,N,Y,5,17,1,552,old,shoebox,uninformed
set64,PUDDLE,N,N,6,1,2,604,old,manmade,uninformed
set64,SUGAR,N,Y,5,34,2,620,old,manmade,informed
set64,EAGLE,N,N,5,5,2,616,old,manmade,uninformed
set64,LAWN,Y,N,4,15,1,588,old,shoebox,uninformed
set64,SILK,Y,Y,4,12,1,538,old,shoebox,uninformed
set64,SLOPE,N,N,5,19,1,513,old,manmade,informed
set64,VEIL,Y,Y,4,8,1,560,old,manmade,informed
set64,HEEL,N,Y,4,9,1,579,old,manmade,informed
set64,CAVE,N,N,4,9,1,592,old,shoebox,uninformed
set64,TONGUE,N,Y,6,35,1,634,old,manmade,informed
set64,MINK,N,N,4,5,1,589,old,shoebox,informed
set64,CAKE,Y,Y,4,13,1,624,old,shoebox,informed
set64,BONE,N,Y,4,33,1,588,old,manmade,uninformed
set64,SWORD,Y,N,5,7,1,577,old,shoebox,informed
set64,FLOOD,N,N,5,19,1,553,old,shoebox,informed
set64,TULIP,N,Y,5,4,2,619,old,manmade,informed
set64,BARREL,Y,N,6,24,2,590,old,manmade,uninformed
set64,STATUE,Y,N,6,17,2,600,old,shoebox,informed
set64,HONEY,N,Y,5,25,2,611,old,manmade,informed
set64,CHOIR,Y,N,5,8,1,567,old,shoebox,uninformed
set64,GARMENT,Y,Y,7,6,2,552,old,manmade,uninformed
set64,PEARL,N,Y,5,9,1,597,old,manmade,uninformed
set64,NECTAR,N,Y,6,3,2,556,old,manmade,informed
set64,INSECT,N,Y,6,14,2,593,old,shoebox,uninformed
set64,BENCH,Y,N,5,35,1,614,old,manmade,uninformed
set64,MONKEY,N,N,6,9,2,566,old,manmade,informed
set64,COKE,Y,Y,4,4,1,580,old,shoebox,informed
set64,BLOUSE,Y,Y,6,1,1,640,old,manmade,uninformed
set64,LAUNDRY,Y,N,7,5,2,576,old,manmade,informed
set64,LEATHER,Y,Y,7,24,2,575,old,shoebox,uninformed
set64,BEAVER,N,N,6,3,2,589,old,manmade,uninformed
set64,MENU,Y,Y,4,5,2,555,old,shoebox,informed
set64,CABIN,Y,N,5,23,2,596,old,manmade,informed
set64,DOVE,N,Y,4,4,1,588,old,manmade,uninformed
set64,SOFA,Y,N,4,6,2,629,old,manmade,informed
set64,NOZZLE,Y,Y,6,4,2,555,old,shoebox,uninformed
set64,PEACH,N,Y,5,3,1,617,old,manmade,informed
set64,MEAL,Y,Y,4,30,1,602,old,manmade,uninformed
set64,STOOL,Y,N,5,8,1,592,old,shoebox,informed
set64,VEIN,N,Y,4,25,1,553,old,manmade,uninformed
set64,DUCK,N,Y,4,9,1,606,old,manmade,informed
set64,ONION,N,Y,5,15,2,632,old,shoebox,uninformed
set64,ANKLE,N,Y,5,8,2,608,old,manmade,informed
set64,WRECK,Y,N,5,8,1,505,old,shoebox,uninformed
set64,MUSTARD,Y,Y,7,20,2,595,old,manmade,uninformed
set64,CALF,N,N,4,11,1,592,old,manmade,uninformed
set64,CLOUD,N,N,5,28,1,554,old,shoebox,informed
set64,TOAD,N,Y,4,4,1,568,old,manmade,uninformed
set64,CROW,N,Y,4,2,1,590,old,manmade,uninformed
set64,WHEAT,N,Y,5,9,1,594,old,manmade,informed
set64,JAIL,Y,N,4,21,1,590,old,shoebox,informed
set64,SUPPER,Y,Y,6,37,2,563,old,manmade,uninformed
set64,TOILET,Y,N,6,13,2,586,old,manmade,uninformed
set64,LACE,Y,Y,4,7,1,545,old,shoebox,informed
set64,BLOSSOM,N,Y,7,7,2,559,old,manmade,uninformed
set64,BACTERIA,N,Y,8,8,3,560,old,shoebox,informed
set64,TRAIL,Y,N,5,31,1,511,old,shoebox,informed
set64,TEAR,N,Y,4,11,1,504,old,shoebox,uninformed
set64,BERRY,N,Y,5,9,2,573,old,manmade,uninformed
set64,MAGAZINE,Y,Y,8,39,3,588,old,shoebox,informed
set64,WHIP,Y,N,4,19,1,570,old,shoebox,uninformed
set64,CASH,Y,Y,4,36,1,547,old,manmade,informed
set64,SHEEP,N,N,5,23,1,622,old,shoebox,uninformed
set64,VEHICLE,Y,N,7,35,3,558,old,shoebox,uninformed
set64,POLE,Y,N,4,18,1,577,old,shoebox,uninformed
set64,ESSAY,Y,Y,5,19,2,527,old,manmade,informed
set64,TRIBE,Y,N,5,4,1,504,old,manmade,uninformed
set64,BARK,N,Y,4,14,1,563,old,shoebox,informed
