setID,word,manmade,shoebox,nletters,freq,nsyllables,concreteness,item_type,study_judgment,study_condition
set16,APPLE,N,Y,5,9,2,620,old,manmade,uninformed
set16,TOBACCO,N,Y,7,19,3,609,old,shoebox,informed
set16,STEAM,N,Y,5,17,1,552,old,shoebox,informed
set16,TENNIS,Y,N,6,15,2,574,old,shoebox,uninformed
set16,BRICK,Y,Y,5,18,1,610,old,manmade,uninformed
set16,GATE,Y,N,4,37,1,573,old,manmade,informed
set16,DOORWAY,Y,N,7,15,2,578,old,shoebox,informed
set16,FOREARM,N,Y,7,3,2,608,old,manmade,uninformed
set16,FEAST,Y,N,5,3,1,542,old,shoebox,uninformed
set16,SAIL,Y,N,4,12,1,567,old,shoebox,informed
set16,PALM,N,Y,4,22,1,596,old,shoebox,informed
set16,SHOWER,Y,N,6,15,1,588,old,manmade,informed
set16,CEMENT,Y,Y,6,11,2,646,old,shoebox,uninformed
set16,SKIRT,Y,Y,5,21,1,614,old,shoebox,informed
set16,LINEN,Y,Y,5,6,2,581,old,shoebox,informed
set16,CABLE,Y,Y,5,7,2,544,old,manmade,informed
set16,VINE,N,Y,4,4,1,601,old,shoebox,uninformed
set16,SPONGE,Y,Y,6,7,1,597,old,shoebox,informed
set16,CARRIAGE,Y,N,8,11,2,576,old,shoebox,informed
set16,SHOE,Y,Y,4,14,1,600,old,manmade,informed
set16,SCRATCH,N,N,7,9,1,523,old,shoebox,uninformed
set16,CHESTNUT,N,Y,8,5,2,600,old,manmade,informed
set16,WAIST,N,N,5,11,1,563,old,manmade,informed
set16,NOZZLE,Y,Y,6,4,2,555,old,manmade,informed
set16,PENCIL,Y,Y,6,34,2,617,old,shoebox,uninformed
set16,PYRAMID,Y,N,7,2,3,615,old,shoebox,informed
set16,VASE,Y,N,4,4,1,595,old,manmade,informed
set16,BALLOON,Y,Y,7,10,2,623,old,manmade,informed
set16,PIER,Y,N,4,3,1,588,old,manmade,uninformed
set16,STOVE,Y,N,5,15,1,591,old,shoebox,informed
set16,TAPE,Y,Y,4,35,1,564,old,manmade,uninformed
set16,HOOD,Y,Y,4,7,1,547,old,manmade,informed
set16,HOOF,N,Y,4,2,1,596,old,manmade,uninformed
set16,CIGAR,Y,Y,5,10,2,580,old,shoebox,informed
set16,PALACE,Y,N,6,38,2,579,old,shoebox,informed
set16,SPARK,N,Y,5,12,1,526,old,manmade,informed
set16,LOTION,Y,Y,6,8,2,534,old,manmade,uninformed
set16,TRUMPET,Y,N,7,7,2,608,old,shoebox,informed
set16,FLOOD,N,N,5,19,1,553,old,manmade,uninformed
set16,NAPKIN,Y,Y,6,3,2,585,old,manmade,informed
set16,WHIP,Y,N,4,19,1,570,old,shoebox,informed
set16,JEEP,Y,N,4,16,1,622,old,shoebox,informed
set16,SHED,Y,N,4,11,1,611,old,shoebox,uninformed
set16,CAGE,Y,N,4,9,1,593,old,manmade,informed
set16,COTTON,N,Y,6,38,2,608,old,shoebox,informed
set16,TRASH,Y,Y,5,2,1,588,old,manmade,uninformed
set16,CLOVER,N,Y,6,16,2,554,old,manmade,informed
set16,PARADE,Y,N,6,25,2,523,old,shoebox,uninformed
set16,SILK,Y,Y,4,12,1,538,old,manmade,informed
set16,CAPSULE,Y,Y,7,5,2,540,old,manmade,uninformed
set16,SPINACH,N,Y,7,2,2,589,old,manmade,uninformed
set16,BAGPIPE,Y,N,7,1,2,601,old,shoebox,uninformed
set16,STICK,N,Y,5,39,1,604,old,manmade,informed
set16,BEAVER,N,N,6,3,2,589,old,manmade,uninformed
set16,TOMATO,N,Y,6,4,3,662,old,manmade,uninformed
set16,TAIL,N,Y,4,24,1,613,old,shoebox,informed
set16,LOBSTER,N,Y,7,1,2,590,old,manmade,uninformed
set16,SOAP,Y,Y,4,22,1,598,old,shoebox,informed
set16,PLANK,Y,N,5,7,1,592,old,shoebox,informed
set16,SUNBURN,N,N,7,5,2,563,old,shoebox,informed
set16,LENS,Y,Y,4,12,1,573,old,manmade,uninformed
set16,FUEL,Y,Y,4,17,1,559,old,manmade,uninformed
set16,VEHICLE,Y,N,7,35,3,558,old,shoebox,uninformed
set16,SOCCER,Y,N,6,3,2,524,old,shoebox,informed
set16,SPADE,Y,Y,5,10,1,565,old,shoebox,uninformed
set16,SEAWEED,N,Y,7,3,2,593,old,manmade,uninformed
set16,BIRD,N,Y,4,31,1,602,old,shoebox,uninformed
set16,JUICE,N,Y,5,11,1,599,old,manmade,informed
set16,MACKEREL,N,Y,8,2,2,636,old,manmade,uninformed
set16,INSECT,N,Y,6,14,2,593,old,shoebox,uninformed
set16,TURTLE,N,Y,6,8,2,644,old,manmade,uninformed
set16,BLOSSOM,N,Y,7,7,2,559,old,manmade,informed
set16,TRAIL,Y,N,5,31,1,511,old,manmade,uninformed
set16,PIANO,Y,N,5,38,3,615,old,shoebox,uninformed
set16,WRECK,Y,N,5,8,1,505,old,manmade,informed
set16,BEVERAGE,Y,Y,8,5,3,526,old,manmade,uninformed
set16,BANANA,N,Y,6,4,3,633,old,manmade,informed
set16,OUTFIT,Y,Y,6,16,2,515,old,shoebox,uninformed
set16,CAKE,Y,Y,4,13,1,624,old,manmade,informed
set16,TOOL,Y,Y,4,40,1,570,old,manmade,informed
set16,PEPPER,N,Y,6,13,2,591,old,manmade,informed
set16,BARREL,Y,N,6,24,2,590,old,shoebox,uninformed
set16,CHAPEL,Y,N,6,20,2,587,old,manmade,informed
set16,CAPITOL,Y,N,7,22,3,529,old,shoebox,uninformed
set16,SURF,N,N,4,1,1,527,old,manmade,uninformed
set16,KNEE,N,Y,4,35,1,593,old,manmade,informed
set16,HEEL,N,Y,4,9,1,579,old,manmade,informed
set16,GRAPH,Y,Y,5,17,1,553,old,shoebox,uninformed
set16,CLOAK,Y,Y,5,3,1,543,old,shoebox,uninformed
set16,FURNACE,Y,N,7,11,2,600,old,manmade,uninformed
set16,SEAL,N,N,4,17,1,587,old,shoebox,informed
set16,TOILET,Y,N,6,13,2,586,old,manmade,uninformed
set16,EAGLE,N,N,5,5,2,616,old,shoebox,informed
set16,HEDGE,Y,N,5,2,1,615,old,manmade,informed
set16,OTTER,N,N,5,5,2,631,old,shoebox,informed
set16,ONION,N,Y,5,15,2,632,old,shoebox,uninformed
set16,BEAN,N,Y,4,5,1,604,old,manmade,uninformed
set16,MAGNET,Y,Y,6,3,2,550,old,shoebox,uninformed
set16,VEIN,N,Y,4,25,1,553,old,manmade,informed
set16,SPRUCE,N,N,6,5,1,568,old,shoebox,uninformed
set16,HELMET,Y,N,6,1,2,602,old,shoebox,uninformed
set16,CRYSTAL,N,Y,7,23,2,587,old,manmade,uninformed
set16,OCEAN,N,N,5,34,2,593,old,manmade,informed
set16,LIVER,N,Y,5,16,2,617,old,manmade,uninformed
set16,SAUCE,Y,Y,5,20,1,576,old,shoebox,informed
set16,KENNEL,Y,N,6,3,2,611,old,manmade,informed
set16,CASH,Y,Y,4,36,1,547,old,shoebox,uninformed
set16,COLLAR,Y,Y,6,17,2,622,old,shoebox,informed
set16,STAIN,N,Y,5,6,1,535,old,manmade,uninformed
set16,WHISTLE,Y,Y,7,4,2,579,old,manmade,informed
set16,BRACELET,Y,Y,8,1,2,602,old,manmade,uninformed
set16,DRUM,Y,N,4,11,1,602,old,shoebox,uninformed
set16,CALF,N,N,4,11,1,592,old,shoebox,informed
set16,DITCH,N,N,5,10,1,555,old,shoebox,informed
set16,PEARL,N,Y,5,9,1,597,old,manmade,informed
set16,BELL,Y,Y,4,18,1,620,old,manmade,uninformed
set16,SPEAR,Y,N,5,7,1,584,old,manmade,informed
set16,OATMEAL,Y,Y,7,1,2,552,old,shoebox,uninformed
set16,PARCEL,Y,N,6,1,2,525,old,manmade,informed
set16,FACTORY,Y,N,7,32,3,586,old,shoebox,uninformed
set16,RAIL,Y,N,4,16,1,540,old,shoebox,informed
