setID,word,manmade,shoebox,nletters,freq,nsyllables,concreteness,item_type,study_judgment,study_condition
set7,LAWN,Y,N,4,15,1,588,old,shoebox,informed
set7,SATIN,Y,Y,5,5,2,594,old,manmade,informed
set7,HEEL,N,Y,4,9,1,579,old,manmade,informed
set7,RACKET,Y,N,6,5,2,562,old,shoebox,uninformed
set7,COKE,Y,Y,4,4,1,580,old,manmade,informed
set7,HOCKEY,Y,N,6,1,2,535,old,manmade,informed
set7,VINE,N,Y,4,4,1,601,old,manmade,informed
set7,PYRAMID,Y,N,7,2,3,615,old,shoebox,uninformed
set7,SHOVEL,Y,N,6,5,2,581,old,manmade,uninformed
set7,SPINACH,N,Y,7,2,2,589,old,manmade,uninformed
set7,TRAIL,Y,N,5,31,1,511,old,shoebox,informed
set7,LOCKER,Y,N,6,9,2,586,old,manmade,uninformed
set7,VEIN,N,Y,4,25,1,553,old,shoebox,uninformed
set7,SKIRT,Y,Y,5,21,1,614,old,shoebox,uninformed
set7,DRUM,Y,N,4,11,1,602,old,manmade,informed
set7,CABIN,Y,N,5,23,2,596,old,shoebox,uninformed
set7,OCEAN,N,N,5,34,2,593,old,manmade,informed
set7,OUTFIT,Y,Y,6,16,2,515,old,shoebox,informed
set7,LEAF,N,Y,4,12,1,593,old,shoebox,uninformed
set7,SPICE,N,Y,5,4,1,590,old,shoebox,uninformed
set7,TOAST,Y,Y,5,19,1,582,old,manmade,uninformed
set7,GOWN,Y,Y,4,16,1,586,old,shoebox,informed
set7,KITTEN,N,Y,6,5,2,612,old,shoebox,uninformed
set7,HAWK,N,N,4,14,1,623,old,shoebox,informed
set7,BRACELET,Y,Y,8,1,2,602,old,manmade,uninformed
set7,FLOOD,N,N,5,19,1,553,old,shoebox,informed
set7,COAL,N,Y,4,32,1,584,old,shoebox,uninformed
set7,VIOLIN,Y,N,6,11,2,626,old,shoebox,uninformed
set7,ROOT,N,Y,4,30,1,558,old,manmade,uninformed
set7,STRING,Y,Y,6,19,1,570,old,shoebox,informed
set7,HONEY,N,Y,5,25,2,611,old,manmade,uninformed
set7,VASE,Y,N,4,4,1,595,old,manmade,uninformed
