word,manmade,shoebox,nletters,freq,nsyllables,concreteness,old_new,study_judgment,cue_condition,study_phase,cue_color,box_color,show_cue,show_nocue
POISON,N,Y,6,10,2,527,old,manmade,informed,informed2,cyan,white,1,0
GLOVE,Y,Y,5,9,1,607,old,manmade,informed,informed2,cyan,white,1,0
BENCH,Y,N,5,35,1,614,old,manmade,informed,informed2,cyan,white,1,0
CAKE,Y,Y,4,13,1,624,old,manmade,informed,informed2,cyan,white,1,0
PEACH,N,Y,5,3,1,617,old,manmade,informed,informed2,cyan,white,1,0
HARE,N,N,4,1,1,615,old,manmade,informed,informed2,cyan,white,1,0
SILVER,N,Y,6,29,2,564,old,manmade,informed,informed2,cyan,white,1,0
JERSEY,Y,Y,6,25,2,621,old,manmade,informed,informed2,cyan,white,1,0
PICKLE,Y,Y,6,1,2,606,old,manmade,informed,informed2,cyan,white,1,0
TIDE,N,N,4,11,1,516,old,manmade,informed,informed2,cyan,white,1,0
MOTH,n,y,4,1,1,550,old,manmade,informed,informed2,cyan,white,1,0
PEPPER,N,Y,6,13,2,591,old,manmade,informed,informed2,cyan,white,1,0
ANCHOR,y,n,6,15,2,595,old,manmade,informed,informed2,cyan,white,1,0
FRUIT,N,Y,5,35,1,612,old,manmade,informed,informed2,cyan,white,1,0
BRONZE,y,y,6,11,1,568,old,manmade,informed,informed2,cyan,white,1,0
SUPPER,Y,Y,6,37,2,563,old,manmade,informed,informed2,cyan,white,1,0
TOAST,Y,Y,5,19,1,582,old,manmade,informed,informed2,cyan,white,1,0
GOLF,Y,N,4,34,1,540,old,manmade,informed,informed2,cyan,white,1,0
CAPITOL,Y,N,7,22,3,529,old,manmade,informed,informed2,cyan,white,1,0
LUMBER,n,n,6,35,2,560,old,manmade,informed,informed2,cyan,white,1,0
HOOD,Y,Y,4,7,1,547,old,manmade,informed,informed2,cyan,white,1,0
ENVELOPE,Y,Y,8,21,3,579,old,manmade,informed,informed2,cyan,white,1,0
WHIP,Y,N,4,19,1,570,old,manmade,informed,informed2,cyan,white,1,0
CAPE,Y,Y,4,20,1,581,old,manmade,informed,informed2,cyan,white,1,0
BARREL,Y,N,6,24,2,590,old,manmade,informed,informed2,cyan,white,1,0
ANKLE,N,Y,5,8,2,608,old,shoebox,informed,informed2,red,white,1,0
BEAN,N,Y,4,5,1,604,old,shoebox,informed,informed2,red,white,1,0
SEAM,Y,Y,4,9,1,538,old,shoebox,informed,informed2,red,white,1,0
SCAR,N,Y,4,10,1,552,old,shoebox,informed,informed2,red,white,1,0
NEST,N,Y,4,20,1,557,old,shoebox,informed,informed2,red,white,1,0
CLOVER,N,Y,6,16,2,554,old,shoebox,informed,informed2,red,white,1,0
HONEY,N,Y,5,25,2,611,old,shoebox,informed,informed2,red,white,1,0
CHISEL,y,y,6,4,2,597,old,shoebox,informed,informed2,red,white,1,0
WOOL,N,Y,4,10,1,608,old,shoebox,informed,informed2,red,white,1,0
CEMENT,Y,Y,6,11,2,646,old,shoebox,informed,informed2,red,white,1,0
TRUMPET,Y,N,7,7,2,608,old,shoebox,informed,informed2,red,white,1,0
LATCH,y,y,5,5,1,578,old,shoebox,informed,informed2,red,white,1,0
STOOL,Y,N,5,8,1,592,old,shoebox,informed,informed2,red,white,1,0
NAPKIN,Y,Y,6,3,2,585,old,shoebox,informed,informed2,red,white,1,0
BOWL,Y,Y,4,23,1,575,old,shoebox,informed,informed2,red,white,1,0
TROUT,N,Y,5,4,1,617,old,shoebox,informed,informed2,red,white,1,0
ORNAMENT,y,y,8,4,3,615,old,shoebox,informed,informed2,red,white,1,0
BELL,Y,Y,4,18,1,620,old,shoebox,informed,informed2,red,white,1,0
SHRIMP,N,Y,6,2,1,629,old,shoebox,informed,informed2,red,white,1,0
GRAVY,y,y,5,4,2,606,old,shoebox,informed,informed2,red,white,1,0
BASS,N,Y,4,16,1,547,old,shoebox,informed,informed2,red,white,1,0
CAMEL,N,N,5,1,2,597,old,shoebox,informed,informed2,red,white,1,0
COKE,Y,Y,4,4,1,580,old,shoebox,informed,informed2,red,white,1,0
GARDENIA,N,Y,8,1,3,576,old,shoebox,informed,informed2,red,white,1,0
COAL,N,Y,4,32,1,584,old,shoebox,informed,informed2,red,white,1,0
