word,manmade,shoebox,nletters,freq,nsyllables,concreteness,old_new,study_judgment,cue_condition,study_phase,cue_color,box_color,show_cue,show_nocue
PASTE,Y,Y,5,10,1,559,old,manmade,uncued,uncued2,n/a,cyan,0,1
CLOAK,Y,Y,5,3,1,543,old,manmade,uncued,uncued2,n/a,cyan,0,1
SUPPER,Y,Y,6,37,2,563,old,manmade,uncued,uncued2,n/a,cyan,0,1
BROOM,Y,N,5,2,1,613,old,manmade,uncued,uncued2,n/a,cyan,0,1
MINERAL,N,Y,7,12,3,527,old,manmade,uncued,uncued2,n/a,cyan,0,1
BASEMENT,Y,N,8,31,2,585,old,manmade,uncued,uncued2,n/a,cyan,0,1
LODGE,Y,N,5,19,1,538,old,manmade,uncued,uncued2,n/a,cyan,0,1
BLOSSOM,N,Y,7,7,2,559,old,manmade,uncued,uncued2,n/a,cyan,0,1
FABRIC,y,y,6,15,2,565,old,manmade,uncued,uncued2,n/a,cyan,0,1
RAMP,Y,N,4,6,1,538,old,manmade,uncued,uncued2,n/a,cyan,0,1
SOCK,Y,Y,4,4,1,581,old,manmade,uncued,uncued2,n/a,cyan,0,1
PONY,N,N,4,10,2,611,old,manmade,uncued,uncued2,n/a,cyan,0,1
CHART,Y,Y,5,22,1,532,old,manmade,uncued,uncued2,n/a,cyan,0,1
BASS,N,Y,4,16,1,547,old,manmade,uncued,uncued2,n/a,cyan,0,1
TENT,Y,N,4,20,1,608,old,manmade,uncued,uncued2,n/a,cyan,0,1
CORAL,n,y,5,5,2,572,old,manmade,uncued,uncued2,n/a,cyan,0,1
CORN,n,y,4,34,1,576,old,manmade,uncued,uncued2,n/a,cyan,0,1
ALUMINUM,y,y,8,18,4,523,old,manmade,uncued,uncued2,n/a,cyan,0,1
SUNBURN,N,N,7,5,2,563,old,manmade,uncued,uncued2,n/a,cyan,0,1
NECTAR,N,Y,6,3,2,556,old,manmade,uncued,uncued2,n/a,cyan,0,1
MOSQUITO,N,Y,8,1,3,595,old,manmade,uncued,uncued2,n/a,cyan,0,1
FLOWER,N,Y,6,23,1,584,old,manmade,uncued,uncued2,n/a,cyan,0,1
PARADE,Y,N,6,25,2,523,old,manmade,uncued,uncued2,n/a,cyan,0,1
CARBON,N,Y,6,30,2,511,old,manmade,uncued,uncued2,n/a,cyan,0,1
BLADE,y,y,5,13,1,584,old,manmade,uncued,uncued2,n/a,cyan,0,1
MEADOW,n,n,6,17,2,594,old,shoebox,uncued,uncued2,n/a,red,0,1
PLUM,N,Y,4,1,1,632,old,shoebox,uncued,uncued2,n/a,red,0,1
LUMBER,n,n,6,35,2,560,old,shoebox,uncued,uncued2,n/a,red,0,1
MAGAZINE,Y,Y,8,39,3,588,old,shoebox,uncued,uncued2,n/a,red,0,1
CABBAGE,N,Y,7,4,2,611,old,shoebox,uncued,uncued2,n/a,red,0,1
COTTON,N,Y,6,38,2,608,old,shoebox,uncued,uncued2,n/a,red,0,1
BOAR,n,n,4,1,1,558,old,shoebox,uncued,uncued2,n/a,red,0,1
BEAN,N,Y,4,5,1,604,old,shoebox,uncued,uncued2,n/a,red,0,1
SOFA,Y,N,4,6,2,629,old,shoebox,uncued,uncued2,n/a,red,0,1
ASPIRIN,y,y,7,3,3,574,old,shoebox,uncued,uncued2,n/a,red,0,1
CHAPEL,Y,N,6,20,2,587,old,shoebox,uncued,uncued2,n/a,red,0,1
PEARL,N,Y,5,9,1,597,old,shoebox,uncued,uncued2,n/a,red,0,1
GOAT,N,N,4,6,1,636,old,shoebox,uncued,uncued2,n/a,red,0,1
BANANA,N,Y,6,4,3,633,old,shoebox,uncued,uncued2,n/a,red,0,1
SHIELD,y,n,6,8,1,576,old,shoebox,uncued,uncued2,n/a,red,0,1
HERB,N,Y,4,7,1,558,old,shoebox,uncued,uncued2,n/a,red,0,1
BIRD,N,Y,4,31,1,602,old,shoebox,uncued,uncued2,n/a,red,0,1
TOOTH,N,Y,5,20,1,619,old,shoebox,uncued,uncued2,n/a,red,0,1
ENVELOPE,Y,Y,8,21,3,579,old,shoebox,uncued,uncued2,n/a,red,0,1
MUSTARD,Y,Y,7,20,2,595,old,shoebox,uncued,uncued2,n/a,red,0,1
JADE,N,Y,4,1,1,570,old,shoebox,uncued,uncued2,n/a,red,0,1
STEAM,N,Y,5,17,1,552,old,shoebox,uncued,uncued2,n/a,red,0,1
CHOIR,Y,N,5,8,1,567,old,shoebox,uncued,uncued2,n/a,red,0,1
BAGPIPE,Y,N,7,1,2,601,old,shoebox,uncued,uncued2,n/a,red,0,1
DRAIN,Y,Y,5,18,1,591,old,shoebox,uncued,uncued2,n/a,red,0,1
