word,manmade,shoebox,nletters,freq,nsyllables,concreteness,old_new,study_judgment,cue_condition,study_phase,cue_color,box_color,show_cue,show_nocue
NICKEL,n,y,6,7,2,597,old,manmade,informed,informed1,cyan,white,1,0
WOOL,N,Y,4,10,1,608,old,manmade,informed,informed1,cyan,white,1,0
NECKLACE,Y,Y,8,3,2,633,old,manmade,informed,informed1,cyan,white,1,0
NAPKIN,Y,Y,6,3,2,585,old,manmade,informed,informed1,cyan,white,1,0
GLACIER,n,n,7,1,2,590,old,manmade,informed,informed1,cyan,white,1,0
HOOD,Y,Y,4,7,1,547,old,manmade,informed,informed1,cyan,white,1,0
KNUCKLE,Y,Y,7,3,2,586,old,manmade,informed,informed1,cyan,white,1,0
STARCH,n,y,6,4,1,555,old,manmade,informed,informed1,cyan,white,1,0
FEAST,Y,N,5,3,1,542,old,manmade,informed,informed1,cyan,white,1,0
COLLAR,Y,Y,6,17,2,622,old,manmade,informed,informed1,cyan,white,1,0
SPARK,N,Y,5,12,1,526,old,manmade,informed,informed1,cyan,white,1,0
CAPSULE,Y,Y,7,5,2,540,old,manmade,informed,informed1,cyan,white,1,0
SURF,N,N,4,1,1,527,old,manmade,informed,informed1,cyan,white,1,0
SODIUM,n,y,6,12,2,511,old,manmade,informed,informed1,cyan,white,1,0
LEMON,N,Y,5,18,2,608,old,manmade,informed,informed1,cyan,white,1,0
LATCH,y,y,5,5,1,578,old,manmade,informed,informed1,cyan,white,1,0
DOUGH,Y,Y,5,13,1,627,old,manmade,informed,informed1,cyan,white,1,0
QUARTER,Y,Y,7,34,2,509,old,manmade,informed,informed1,cyan,white,1,0
MOUNTAIN,N,N,8,33,2,616,old,manmade,informed,informed1,cyan,white,1,0
BISCUIT,Y,Y,7,2,2,574,old,manmade,informed,informed1,cyan,white,1,0
BUCKET,Y,N,6,7,2,594,old,manmade,informed,informed1,cyan,white,1,0
BADGE,Y,Y,5,5,1,561,old,manmade,informed,informed1,cyan,white,1,0
BUSH,N,N,4,14,1,585,old,manmade,informed,informed1,cyan,white,1,0
VASE,Y,N,4,4,1,595,old,manmade,informed,informed1,cyan,white,1,0
CEMENT,Y,Y,6,11,2,646,old,manmade,informed,informed1,cyan,white,1,0
ORNAMENT,y,y,8,4,3,615,old,shoebox,informed,informed1,red,white,1,0
THORN,n,y,5,3,1,586,old,shoebox,informed,informed1,red,white,1,0
EMERALD,n,y,7,3,3,613,old,shoebox,informed,informed1,red,white,1,0
ANCHOR,y,n,6,15,2,595,old,shoebox,informed,informed1,red,white,1,0
BASKET,y,n,6,17,2,606,old,shoebox,informed,informed1,red,white,1,0
VEIN,N,Y,4,25,1,553,old,shoebox,informed,informed1,red,white,1,0
BOWL,Y,Y,4,23,1,575,old,shoebox,informed,informed1,red,white,1,0
BONE,N,Y,4,33,1,588,old,shoebox,informed,informed1,red,white,1,0
BRICK,Y,Y,5,18,1,610,old,shoebox,informed,informed1,red,white,1,0
LACE,Y,Y,4,7,1,545,old,shoebox,informed,informed1,red,white,1,0
ARROW,Y,N,5,14,2,595,old,shoebox,informed,informed1,red,white,1,0
CARD,Y,Y,4,26,1,565,old,shoebox,informed,informed1,red,white,1,0
DAWN,N,N,4,28,1,501,old,shoebox,informed,informed1,red,white,1,0
ALLEY,Y,N,5,8,2,557,old,shoebox,informed,informed1,red,white,1,0
SPINACH,N,Y,7,2,2,589,old,shoebox,informed,informed1,red,white,1,0
STAIN,N,Y,5,6,1,535,old,shoebox,informed,informed1,red,white,1,0
TENNIS,Y,N,6,15,2,574,old,shoebox,informed,informed1,red,white,1,0
RABBIT,N,Y,6,11,2,635,old,shoebox,informed,informed1,red,white,1,0
BIRCH,N,N,5,2,1,620,old,shoebox,informed,informed1,red,white,1,0
STAR,N,N,4,25,1,574,old,shoebox,informed,informed1,red,white,1,0
MEDAL,y,y,5,7,2,571,old,shoebox,informed,informed1,red,white,1,0
SAIL,Y,N,4,12,1,567,old,shoebox,informed,informed1,red,white,1,0
SHOE,Y,Y,4,14,1,600,old,shoebox,informed,informed1,red,white,1,0
SPRUCE,N,N,6,5,1,568,old,shoebox,informed,informed1,red,white,1,0
HEEL,N,Y,4,9,1,579,old,shoebox,informed,informed1,red,white,1,0
