word,manmade,shoebox,nletters,freq,nsyllables,concreteness,old_new,study_judgment,cue_condition,study_phase,cue_color,box_color,show_cue,show_nocue
COKE,Y,Y,4,4,1,580,old,manmade,uninformed,uninformed2,white,cyan,1,0
LAMP,Y,N,4,18,1,615,old,manmade,uninformed,uninformed2,white,cyan,1,0
VEIL,Y,Y,4,8,1,560,old,manmade,uninformed,uninformed2,white,cyan,1,0
SOUP,Y,Y,4,16,1,615,old,manmade,uninformed,uninformed2,white,cyan,1,0
JAIL,Y,N,4,21,1,590,old,manmade,uninformed,uninformed2,white,cyan,1,0
POLLEN,N,Y,6,11,2,584,old,manmade,uninformed,uninformed2,white,cyan,1,0
MANSION,Y,N,7,8,2,579,old,manmade,uninformed,uninformed2,white,cyan,1,0
MULE,N,N,4,4,1,592,old,manmade,uninformed,uninformed2,white,cyan,1,0
CONE,Y,Y,4,13,1,573,old,manmade,uninformed,uninformed2,white,cyan,1,0
SEAL,N,N,4,17,1,587,old,manmade,uninformed,uninformed2,white,cyan,1,0
SPICE,N,Y,5,4,1,590,old,manmade,uninformed,uninformed2,white,cyan,1,0
PICKLE,Y,Y,6,1,2,606,old,manmade,uninformed,uninformed2,white,cyan,1,0
ALGAE,n,y,5,7,2,545,old,manmade,uninformed,uninformed2,white,cyan,1,0
RAIL,Y,N,4,16,1,540,old,manmade,uninformed,uninformed2,white,cyan,1,0
TOAST,Y,Y,5,19,1,582,old,manmade,uninformed,uninformed2,white,cyan,1,0
TOILET,Y,N,6,13,2,586,old,manmade,uninformed,uninformed2,white,cyan,1,0
BACTERIA,N,Y,8,8,3,560,old,manmade,uninformed,uninformed2,white,cyan,1,0
NEEDLE,Y,Y,6,15,2,608,old,manmade,uninformed,uninformed2,white,cyan,1,0
KNOB,Y,Y,4,2,1,586,old,manmade,uninformed,uninformed2,white,cyan,1,0
CARRIAGE,Y,N,8,11,2,576,old,manmade,uninformed,uninformed2,white,cyan,1,0
KNEE,N,Y,4,35,1,593,old,manmade,uninformed,uninformed2,white,cyan,1,0
SLEEVE,Y,Y,6,11,1,587,old,manmade,uninformed,uninformed2,white,cyan,1,0
ANKLE,N,Y,5,8,2,608,old,manmade,uninformed,uninformed2,white,cyan,1,0
SUGAR,N,Y,5,34,2,620,old,manmade,uninformed,uninformed2,white,cyan,1,0
PLATE,Y,Y,5,22,1,595,old,manmade,uninformed,uninformed2,white,cyan,1,0
RIDGE,n,n,5,18,1,547,old,shoebox,uninformed,uninformed2,white,red,1,0
WRECK,Y,N,5,8,1,505,old,shoebox,uninformed,uninformed2,white,red,1,0
CARROT,N,Y,6,1,2,622,old,shoebox,uninformed,uninformed2,white,red,1,0
TRASH,Y,Y,5,2,1,588,old,shoebox,uninformed,uninformed2,white,red,1,0
TROLLEY,y,n,7,5,2,579,old,shoebox,uninformed,uninformed2,white,red,1,0
VINEGAR,y,y,7,9,3,645,old,shoebox,uninformed,uninformed2,white,red,1,0
SINK,y,n,4,23,1,590,old,shoebox,uninformed,uninformed2,white,red,1,0
SALAD,Y,Y,5,9,2,595,old,shoebox,uninformed,uninformed2,white,red,1,0
LEAF,N,Y,4,12,1,593,old,shoebox,uninformed,uninformed2,white,red,1,0
MAHOGANY,n,n,8,8,4,513,old,shoebox,uninformed,uninformed2,white,red,1,0
FROST,n,y,5,6,1,608,old,shoebox,uninformed,uninformed2,white,red,1,0
RULER,Y,Y,5,3,2,555,old,shoebox,uninformed,uninformed2,white,red,1,0
FOOTBALL,Y,Y,8,36,2,584,old,shoebox,uninformed,uninformed2,white,red,1,0
SODA,Y,Y,4,3,2,600,old,shoebox,uninformed,uninformed2,white,red,1,0
FLOOD,N,N,5,19,1,553,old,shoebox,uninformed,uninformed2,white,red,1,0
TOBACCO,N,Y,7,19,3,609,old,shoebox,uninformed,uninformed2,white,red,1,0
TRUMPET,Y,N,7,7,2,608,old,shoebox,uninformed,uninformed2,white,red,1,0
CHERRY,N,Y,6,6,2,611,old,shoebox,uninformed,uninformed2,white,red,1,0
CEREAL,Y,Y,6,17,2,637,old,shoebox,uninformed,uninformed2,white,red,1,0
VIOLIN,Y,N,6,11,2,626,old,shoebox,uninformed,uninformed2,white,red,1,0
TROUT,N,Y,5,4,1,617,old,shoebox,uninformed,uninformed2,white,red,1,0
BLOUSE,Y,Y,6,1,1,640,old,shoebox,uninformed,uninformed2,white,red,1,0
LINEN,Y,Y,5,6,2,581,old,shoebox,uninformed,uninformed2,white,red,1,0
BATON,y,y,5,10,2,570,old,shoebox,uninformed,uninformed2,white,red,1,0
VINE,N,Y,4,4,1,601,old,shoebox,uninformed,uninformed2,white,red,1,0
