word,manmade,shoebox,nletters,freq,nsyllables,concreteness,old_new,study_judgment,cue_condition,study_phase,cue_color,box_color,show_cue,show_nocue
PLATE,Y,Y,5,22,1,595,old,manmade,uncued,uncued2,n/a,cyan,0,1
MACKEREL,N,Y,8,2,2,636,old,manmade,uncued,uncued2,n/a,cyan,0,1
SOCCER,Y,N,6,3,2,524,old,manmade,uncued,uncued2,n/a,cyan,0,1
VINE,N,Y,4,4,1,601,old,manmade,uncued,uncued2,n/a,cyan,0,1
SODA,Y,Y,4,3,2,600,old,manmade,uncued,uncued2,n/a,cyan,0,1
MINERAL,N,Y,7,12,3,527,old,manmade,uncued,uncued2,n/a,cyan,0,1
POTATO,N,Y,6,15,3,629,old,manmade,uncued,uncued2,n/a,cyan,0,1
BEEF,N,Y,4,32,1,637,old,manmade,uncued,uncued2,n/a,cyan,0,1
PRUNE,n,y,5,1,1,611,old,manmade,uncued,uncued2,n/a,cyan,0,1
FEAST,Y,N,5,3,1,542,old,manmade,uncued,uncued2,n/a,cyan,0,1
SUGAR,N,Y,5,34,2,620,old,manmade,uncued,uncued2,n/a,cyan,0,1
BATON,y,y,5,10,2,570,old,manmade,uncued,uncued2,n/a,cyan,0,1
SCRATCH,N,N,7,9,1,523,old,manmade,uncued,uncued2,n/a,cyan,0,1
LION,N,N,4,17,1,627,old,manmade,uncued,uncued2,n/a,cyan,0,1
CALF,N,N,4,11,1,592,old,manmade,uncued,uncued2,n/a,cyan,0,1
PATCH,Y,Y,5,13,1,558,old,manmade,uncued,uncued2,n/a,cyan,0,1
FLOWER,N,Y,6,23,1,584,old,manmade,uncued,uncued2,n/a,cyan,0,1
HERB,N,Y,4,7,1,558,old,manmade,uncued,uncued2,n/a,cyan,0,1
RAIL,Y,N,4,16,1,540,old,manmade,uncued,uncued2,n/a,cyan,0,1
GARMENT,Y,Y,7,6,2,552,old,manmade,uncued,uncued2,n/a,cyan,0,1
SINK,y,n,4,23,1,590,old,manmade,uncued,uncued2,n/a,cyan,0,1
TURTLE,N,Y,6,8,2,644,old,manmade,uncued,uncued2,n/a,cyan,0,1
WALNUT,n,y,6,11,2,642,old,manmade,uncued,uncued2,n/a,cyan,0,1
PLUG,Y,Y,4,23,1,558,old,manmade,uncued,uncued2,n/a,cyan,0,1
KNUCKLE,Y,Y,7,3,2,586,old,manmade,uncued,uncued2,n/a,cyan,0,1
CREATURE,N,N,8,15,2,541,old,shoebox,uncued,uncued2,n/a,red,0,1
ALUMINUM,y,y,8,18,4,523,old,shoebox,uncued,uncued2,n/a,red,0,1
BUCKET,Y,N,6,7,2,594,old,shoebox,uncued,uncued2,n/a,red,0,1
STRING,Y,Y,6,19,1,570,old,shoebox,uncued,uncued2,n/a,red,0,1
LENS,Y,Y,4,12,1,573,old,shoebox,uncued,uncued2,n/a,red,0,1
STEW,Y,Y,4,5,1,603,old,shoebox,uncued,uncued2,n/a,red,0,1
ABDOMEN,N,Y,7,6,3,586,old,shoebox,uncued,uncued2,n/a,red,0,1
THUNDER,N,N,7,14,2,547,old,shoebox,uncued,uncued2,n/a,red,0,1
TUNNEL,Y,N,6,10,2,555,old,shoebox,uncued,uncued2,n/a,red,0,1
RULER,Y,Y,5,3,2,555,old,shoebox,uncued,uncued2,n/a,red,0,1
EMERALD,n,y,7,3,3,613,old,shoebox,uncued,uncued2,n/a,red,0,1
VEIL,Y,Y,4,8,1,560,old,shoebox,uncued,uncued2,n/a,red,0,1
KENNEL,Y,N,6,3,2,611,old,shoebox,uncued,uncued2,n/a,red,0,1
ORANGE,n,y,6,23,2,601,old,shoebox,uncued,uncued2,n/a,red,0,1
SPICE,N,Y,5,4,1,590,old,shoebox,uncued,uncued2,n/a,red,0,1
COCKTAIL,Y,Y,8,25,2,576,old,shoebox,uncued,uncued2,n/a,red,0,1
ZIPPER,y,y,6,1,2,599,old,shoebox,uncued,uncued2,n/a,red,0,1
ARROW,Y,N,5,14,2,595,old,shoebox,uncued,uncued2,n/a,red,0,1
TRACTOR,Y,N,7,24,2,590,old,shoebox,uncued,uncued2,n/a,red,0,1
NECTAR,N,Y,6,3,2,556,old,shoebox,uncued,uncued2,n/a,red,0,1
BLANKET,Y,N,7,30,2,622,old,shoebox,uncued,uncued2,n/a,red,0,1
GRAPHITE,n,y,8,5,2,562,old,shoebox,uncued,uncued2,n/a,red,0,1
PORK,N,N,4,10,1,585,old,shoebox,uncued,uncued2,n/a,red,0,1
SEAWEED,N,Y,7,3,2,593,old,shoebox,uncued,uncued2,n/a,red,0,1
VEIN,N,Y,4,25,1,553,old,shoebox,uncued,uncued2,n/a,red,0,1
