word,manmade,shoebox,nletters,freq,nsyllables,concreteness,old_new,study_judgment,cue_condition,study_phase,cue_color,box_color,show_cue,show_nocue
SOAP,Y,Y,4,22,1,598,old,manmade,informed,informed2,cyan,white,1,0
DEER,N,N,4,13,1,631,old,manmade,informed,informed2,cyan,white,1,0
RACQUET,y,n,7,1,2,513,old,manmade,informed,informed2,cyan,white,1,0
DIAMOND,N,Y,7,8,2,610,old,manmade,informed,informed2,cyan,white,1,0
PLUG,Y,Y,4,23,1,558,old,manmade,informed,informed2,cyan,white,1,0
MOSS,N,Y,4,9,1,575,old,manmade,informed,informed2,cyan,white,1,0
SUNSET,N,N,6,14,2,525,old,manmade,informed,informed2,cyan,white,1,0
WHEAT,N,Y,5,9,1,594,old,manmade,informed,informed2,cyan,white,1,0
BEEHIVE,n,y,7,1,2,611,old,manmade,informed,informed2,cyan,white,1,0
BEEF,N,Y,4,32,1,637,old,manmade,informed,informed2,cyan,white,1,0
THUNDER,N,N,7,14,2,547,old,manmade,informed,informed2,cyan,white,1,0
DIAL,Y,Y,4,1,1,537,old,manmade,informed,informed2,cyan,white,1,0
BARREL,Y,N,6,24,2,590,old,manmade,informed,informed2,cyan,white,1,0
PALACE,Y,N,6,38,2,579,old,manmade,informed,informed2,cyan,white,1,0
KENNEL,Y,N,6,3,2,611,old,manmade,informed,informed2,cyan,white,1,0
HEDGE,Y,N,5,2,1,615,old,manmade,informed,informed2,cyan,white,1,0
SPONGE,Y,Y,6,7,1,597,old,manmade,informed,informed2,cyan,white,1,0
GARBAGE,Y,Y,7,7,2,572,old,manmade,informed,informed2,cyan,white,1,0
CRYSTAL,N,Y,7,23,2,587,old,manmade,informed,informed2,cyan,white,1,0
INSECT,N,Y,6,14,2,593,old,manmade,informed,informed2,cyan,white,1,0
GRAPH,Y,Y,5,17,1,553,old,manmade,informed,informed2,cyan,white,1,0
THUMB,N,Y,5,10,1,638,old,manmade,informed,informed2,cyan,white,1,0
HAMMER,Y,Y,6,9,2,605,old,manmade,informed,informed2,cyan,white,1,0
PEPPER,N,Y,6,13,2,591,old,manmade,informed,informed2,cyan,white,1,0
BLANKET,Y,N,7,30,2,622,old,manmade,informed,informed2,cyan,white,1,0
DRILL,Y,Y,5,33,1,516,old,shoebox,informed,informed2,red,white,1,0
TANK,Y,N,4,12,1,581,old,shoebox,informed,informed2,red,white,1,0
CAVE,N,N,4,9,1,592,old,shoebox,informed,informed2,red,white,1,0
SALOON,Y,N,6,12,2,575,old,shoebox,informed,informed2,red,white,1,0
CREAM,Y,Y,5,20,1,621,old,shoebox,informed,informed2,red,white,1,0
SILK,Y,Y,4,12,1,538,old,shoebox,informed,informed2,red,white,1,0
WHIP,Y,N,4,19,1,570,old,shoebox,informed,informed2,red,white,1,0
HOOF,N,Y,4,2,1,596,old,shoebox,informed,informed2,red,white,1,0
KITTEN,N,Y,6,5,2,612,old,shoebox,informed,informed2,red,white,1,0
COUCH,Y,N,5,12,1,578,old,shoebox,informed,informed2,red,white,1,0
SLOPE,N,N,5,19,1,513,old,shoebox,informed,informed2,red,white,1,0
PILLOW,Y,N,6,8,2,613,old,shoebox,informed,informed2,red,white,1,0
SEAWEED,N,Y,7,3,2,593,old,shoebox,informed,informed2,red,white,1,0
HOOK,y,y,4,5,1,525,old,shoebox,informed,informed2,red,white,1,0
OYSTER,N,Y,6,6,2,573,old,shoebox,informed,informed2,red,white,1,0
WAND,y,y,4,1,1,570,old,shoebox,informed,informed2,red,white,1,0
CANDLE,Y,Y,6,18,2,565,old,shoebox,informed,informed2,red,white,1,0
CAKE,Y,Y,4,13,1,624,old,shoebox,informed,informed2,red,white,1,0
BERRY,N,Y,5,9,2,573,old,shoebox,informed,informed2,red,white,1,0
SAND,N,Y,4,28,1,616,old,shoebox,informed,informed2,red,white,1,0
ROPE,Y,Y,4,15,1,608,old,shoebox,informed,informed2,red,white,1,0
COTTAGE,y,n,7,19,2,593,old,shoebox,informed,informed2,red,white,1,0
CHALK,Y,Y,5,3,1,634,old,shoebox,informed,informed2,red,white,1,0
SHED,Y,N,4,11,1,611,old,shoebox,informed,informed2,red,white,1,0
CAMEL,N,N,5,1,2,597,old,shoebox,informed,informed2,red,white,1,0
