word,manmade,shoebox,nletters,freq,nsyllables,concreteness,old_new,study_judgment,cue_condition,study_phase,cue_color,box_color,show_cue,show_nocue
KNOB,Y,Y,4,2,1,586,old,manmade,informed,informed1,cyan,white,1,0
ARROW,Y,N,5,14,2,595,old,manmade,informed,informed1,cyan,white,1,0
SCAR,N,Y,4,10,1,552,old,manmade,informed,informed1,cyan,white,1,0
LEATHER,Y,Y,7,24,2,575,old,manmade,informed,informed1,cyan,white,1,0
KITTEN,N,Y,6,5,2,612,old,manmade,informed,informed1,cyan,white,1,0
LOCKER,Y,N,6,9,2,586,old,manmade,informed,informed1,cyan,white,1,0
SWEAT,N,Y,5,23,1,569,old,manmade,informed,informed1,cyan,white,1,0
CIDER,Y,Y,5,2,2,626,old,manmade,informed,informed1,cyan,white,1,0
BENCH,Y,N,5,35,1,614,old,manmade,informed,informed1,cyan,white,1,0
BLOUSE,Y,Y,6,1,1,640,old,manmade,informed,informed1,cyan,white,1,0
PATCH,Y,Y,5,13,1,558,old,manmade,informed,informed1,cyan,white,1,0
JERSEY,Y,Y,6,25,2,621,old,manmade,informed,informed1,cyan,white,1,0
NECTAR,N,Y,6,3,2,556,old,manmade,informed,informed1,cyan,white,1,0
DOVE,N,Y,4,4,1,588,old,manmade,informed,informed1,cyan,white,1,0
CANOE,y,n,5,7,2,623,old,manmade,informed,informed1,cyan,white,1,0
VELVET,Y,Y,6,4,2,580,old,manmade,informed,informed1,cyan,white,1,0
THORN,n,y,5,3,1,586,old,manmade,informed,informed1,cyan,white,1,0
IVORY,N,Y,5,17,3,571,old,manmade,informed,informed1,cyan,white,1,0
VEIN,N,Y,4,25,1,553,old,manmade,informed,informed1,cyan,white,1,0
FACTORY,Y,N,7,32,3,586,old,manmade,informed,informed1,cyan,white,1,0
FISH,N,Y,4,35,1,597,old,manmade,informed,informed1,cyan,white,1,0
TURTLE,N,Y,6,8,2,644,old,manmade,informed,informed1,cyan,white,1,0
MOSQUITO,N,Y,8,1,3,595,old,manmade,informed,informed1,cyan,white,1,0
BOWL,Y,Y,4,23,1,575,old,manmade,informed,informed1,cyan,white,1,0
CHART,Y,Y,5,22,1,532,old,manmade,informed,informed1,cyan,white,1,0
TUNNEL,Y,N,6,10,2,555,old,shoebox,informed,informed1,red,white,1,0
STICK,N,Y,5,39,1,604,old,shoebox,informed,informed1,red,white,1,0
LAWN,Y,N,4,15,1,588,old,shoebox,informed,informed1,red,white,1,0
BELL,Y,Y,4,18,1,620,old,shoebox,informed,informed1,red,white,1,0
GOLF,Y,N,4,34,1,540,old,shoebox,informed,informed1,red,white,1,0
COKE,Y,Y,4,4,1,580,old,shoebox,informed,informed1,red,white,1,0
CREATURE,N,N,8,15,2,541,old,shoebox,informed,informed1,red,white,1,0
JUICE,N,Y,5,11,1,599,old,shoebox,informed,informed1,red,white,1,0
MUSTARD,Y,Y,7,20,2,595,old,shoebox,informed,informed1,red,white,1,0
WRECK,Y,N,5,8,1,505,old,shoebox,informed,informed1,red,white,1,0
TRAIL,Y,N,5,31,1,511,old,shoebox,informed,informed1,red,white,1,0
POLLEN,N,Y,6,11,2,584,old,shoebox,informed,informed1,red,white,1,0
BOAR,n,n,4,1,1,558,old,shoebox,informed,informed1,red,white,1,0
SOCK,Y,Y,4,4,1,581,old,shoebox,informed,informed1,red,white,1,0
BATON,y,y,5,10,2,570,old,shoebox,informed,informed1,red,white,1,0
TOWER,y,n,5,13,2,585,old,shoebox,informed,informed1,red,white,1,0
THUMB,N,Y,5,10,1,638,old,shoebox,informed,informed1,red,white,1,0
MAHOGANY,n,n,8,8,4,513,old,shoebox,informed,informed1,red,white,1,0
PIANO,Y,N,5,38,3,615,old,shoebox,informed,informed1,red,white,1,0
SKULL,N,N,5,3,1,570,old,shoebox,informed,informed1,red,white,1,0
RIDGE,n,n,5,18,1,547,old,shoebox,informed,informed1,red,white,1,0
WHISTLE,Y,Y,7,4,2,579,old,shoebox,informed,informed1,red,white,1,0
EMERALD,n,y,7,3,3,613,old,shoebox,informed,informed1,red,white,1,0
BEAVER,N,N,6,3,2,589,old,shoebox,informed,informed1,red,white,1,0
INSECT,N,Y,6,14,2,593,old,shoebox,informed,informed1,red,white,1,0
