word,manmade,shoebox,nletters,freq,nsyllables,concreteness,old_new,study_judgment,cue_condition,study_phase,cue_color,box_color,show_cue,show_nocue
RACKET,Y,N,6,5,2,562,old,manmade,uninformed,uninformed1,white,cyan,1,0
SALAD,Y,Y,5,9,2,595,old,manmade,uninformed,uninformed1,white,cyan,1,0
PORK,N,N,4,10,1,585,old,manmade,uninformed,uninformed1,white,cyan,1,0
SWAMP,n,n,5,5,1,570,old,manmade,uninformed,uninformed1,white,cyan,1,0
SHELL,N,Y,5,22,1,597,old,manmade,uninformed,uninformed1,white,cyan,1,0
STEAM,N,Y,5,17,1,552,old,manmade,uninformed,uninformed1,white,cyan,1,0
PEAR,N,Y,4,6,1,634,old,manmade,uninformed,uninformed1,white,cyan,1,0
JEEP,Y,N,4,16,1,622,old,manmade,uninformed,uninformed1,white,cyan,1,0
CHALK,Y,Y,5,3,1,634,old,manmade,uninformed,uninformed1,white,cyan,1,0
COTTON,N,Y,6,38,2,608,old,manmade,uninformed,uninformed1,white,cyan,1,0
TRIBE,Y,N,5,4,1,504,old,manmade,uninformed,uninformed1,white,cyan,1,0
LODGE,Y,N,5,19,1,538,old,manmade,uninformed,uninformed1,white,cyan,1,0
CEILING,Y,N,7,31,2,606,old,manmade,uninformed,uninformed1,white,cyan,1,0
WAND,y,y,4,1,1,570,old,manmade,uninformed,uninformed1,white,cyan,1,0
MAPLE,N,N,5,7,2,534,old,manmade,uninformed,uninformed1,white,cyan,1,0
CASH,Y,Y,4,36,1,547,old,manmade,uninformed,uninformed1,white,cyan,1,0
ANKLE,N,Y,5,8,2,608,old,manmade,uninformed,uninformed1,white,cyan,1,0
TRACTOR,Y,N,7,24,2,590,old,manmade,uninformed,uninformed1,white,cyan,1,0
PACKAGE,y,n,7,20,2,580,old,manmade,uninformed,uninformed1,white,cyan,1,0
STOVE,Y,N,5,15,1,591,old,manmade,uninformed,uninformed1,white,cyan,1,0
TANK,Y,N,4,12,1,581,old,manmade,uninformed,uninformed1,white,cyan,1,0
KETTLE,Y,N,6,3,2,602,old,manmade,uninformed,uninformed1,white,cyan,1,0
MAMMAL,n,n,6,1,2,549,old,manmade,uninformed,uninformed1,white,cyan,1,0
STAIN,N,Y,5,6,1,535,old,manmade,uninformed,uninformed1,white,cyan,1,0
SPRAY,Y,Y,5,16,1,514,old,manmade,uninformed,uninformed1,white,cyan,1,0
COLLAR,Y,Y,6,17,2,622,old,shoebox,uninformed,uninformed1,white,red,1,0
FISH,N,Y,4,35,1,597,old,shoebox,uninformed,uninformed1,white,red,1,0
NICKEL,n,y,6,7,2,597,old,shoebox,uninformed,uninformed1,white,red,1,0
CLARINET,Y,N,8,1,3,633,old,shoebox,uninformed,uninformed1,white,red,1,0
PATCH,Y,Y,5,13,1,558,old,shoebox,uninformed,uninformed1,white,red,1,0
LAMP,Y,N,4,18,1,615,old,shoebox,uninformed,uninformed1,white,red,1,0
SPARK,N,Y,5,12,1,526,old,shoebox,uninformed,uninformed1,white,red,1,0
SHOE,Y,Y,4,14,1,600,old,shoebox,uninformed,uninformed1,white,red,1,0
GALLERY,Y,N,7,31,3,569,old,shoebox,uninformed,uninformed1,white,red,1,0
KNUCKLE,Y,Y,7,3,2,586,old,shoebox,uninformed,uninformed1,white,red,1,0
JADE,N,Y,4,1,1,570,old,shoebox,uninformed,uninformed1,white,red,1,0
PODIUM,Y,N,6,1,2,546,old,shoebox,uninformed,uninformed1,white,red,1,0
BATON,y,y,5,10,2,570,old,shoebox,uninformed,uninformed1,white,red,1,0
SPEAR,Y,N,5,7,1,584,old,shoebox,uninformed,uninformed1,white,red,1,0
STEW,Y,Y,4,5,1,603,old,shoebox,uninformed,uninformed1,white,red,1,0
BOAR,n,n,4,1,1,558,old,shoebox,uninformed,uninformed1,white,red,1,0
COFFIN,Y,N,6,7,2,595,old,shoebox,uninformed,uninformed1,white,red,1,0
BIRD,N,Y,4,31,1,602,old,shoebox,uninformed,uninformed1,white,red,1,0
GLACIER,n,n,7,1,2,590,old,shoebox,uninformed,uninformed1,white,red,1,0
SUNBURN,N,N,7,5,2,563,old,shoebox,uninformed,uninformed1,white,red,1,0
ORGAN,N,Y,5,12,2,596,old,shoebox,uninformed,uninformed1,white,red,1,0
CAMEL,N,N,5,1,2,597,old,shoebox,uninformed,uninformed1,white,red,1,0
HATCHET,y,y,7,4,2,607,old,shoebox,uninformed,uninformed1,white,red,1,0
PRAIRIE,n,n,7,21,2,575,old,shoebox,uninformed,uninformed1,white,red,1,0
FRUIT,N,Y,5,35,1,612,old,shoebox,uninformed,uninformed1,white,red,1,0
