setID,word,manmade,shoebox,nletters,freq,nsyllables,concreteness,item_type,study_judgment,study_condition
set56,SURF,N,N,4,1,1,527,old,shoebox,informed
set56,MOUNTAIN,N,N,8,33,2,616,old,manmade,uninformed
set56,HELMET,Y,N,6,1,2,602,old,shoebox,informed
set56,SQUIRREL,N,Y,8,1,2,612,old,shoebox,uninformed
set56,SILK,Y,Y,4,12,1,538,old,shoebox,uninformed
set56,CHALK,Y,Y,5,3,1,634,old,manmade,uninformed
set56,POLLEN,N,Y,6,11,2,584,old,manmade,informed
set56,MULE,N,N,4,4,1,592,old,manmade,informed
set56,NOZZLE,Y,Y,6,4,2,555,old,shoebox,informed
set56,TULIP,N,Y,5,4,2,619,old,shoebox,uninformed
set56,VIOLIN,Y,N,6,11,2,626,old,shoebox,informed
set56,TONGUE,N,Y,6,35,1,634,old,manmade,informed
set56,CORRIDOR,Y,N,8,17,3,568,old,manmade,informed
set56,LION,N,N,4,17,1,627,old,manmade,uninformed
set56,MENU,Y,Y,4,5,2,555,old,shoebox,informed
set56,ELEPHANT,N,N,8,7,3,628,old,manmade,uninformed
set56,FRUIT,N,Y,5,35,1,612,old,manmade,informed
set56,SPARK,N,Y,5,12,1,526,old,shoebox,uninformed
set56,STAIN,N,Y,5,6,1,535,old,manmade,informed
set56,TOMATO,N,Y,6,4,3,662,old,shoebox,informed
set56,CAKE,Y,Y,4,13,1,624,old,manmade,informed
set56,FUEL,Y,Y,4,17,1,559,old,shoebox,uninformed
set56,ROPE,Y,Y,4,15,1,608,old,shoebox,informed
set56,SOCK,Y,Y,4,4,1,581,old,manmade,informed
set56,VASE,Y,N,4,4,1,595,old,shoebox,informed
set56,TRACTOR,Y,N,7,24,2,590,old,shoebox,uninformed
set56,COTTON,N,Y,6,38,2,608,old,shoebox,uninformed
set56,KNEE,N,Y,4,35,1,593,old,manmade,uninformed
set56,BARK,N,Y,4,14,1,563,old,shoebox,informed
set56,BASS,N,Y,4,16,1,547,old,manmade,uninformed
set56,TIGER,N,N,5,7,2,611,old,manmade,uninformed
set56,FLOOD,N,N,5,19,1,553,old,shoebox,informed
set56,CARBON,N,Y,6,30,2,511,old,manmade,informed
set56,HAWK,N,N,4,14,1,623,old,shoebox,uninformed
set56,CHOIR,Y,N,5,8,1,567,old,shoebox,informed
set56,TANK,Y,N,4,12,1,581,old,shoebox,informed
set56,FLAG,Y,Y,4,16,1,606,old,manmade,uninformed
set56,LAWN,Y,N,4,15,1,588,old,shoebox,uninformed
set56,WOLF,N,N,4,6,1,595,old,manmade,informed
set56,PATCH,Y,Y,5,13,1,558,old,manmade,informed
set56,BRICK,Y,Y,5,18,1,610,old,manmade,informed
set56,FENCE,Y,N,5,30,1,597,old,shoebox,uninformed
set56,SOCCER,Y,N,6,3,2,524,old,shoebox,informed
set56,HERB,N,Y,4,7,1,558,old,manmade,uninformed
set56,TEAR,N,Y,4,11,1,504,old,manmade,uninformed
set56,CLOUD,N,N,5,28,1,554,old,manmade,uninformed
set56,LIMB,N,N,4,5,1,590,old,shoebox,informed
set56,SOAP,Y,Y,4,22,1,598,old,manmade,informed
set56,CONE,Y,Y,4,13,1,573,old,manmade,uninformed
set56,APPLE,N,Y,5,9,2,620,old,shoebox,informed
set56,STATUE,Y,N,6,17,2,600,old,shoebox,informed
set56,DOUGH,Y,Y,5,13,1,627,old,shoebox,informed
set56,LACE,Y,Y,4,7,1,545,old,manmade,uninformed
set56,DAWN,N,N,4,28,1,501,old,shoebox,informed
set56,POWDER,N,Y,6,28,2,513,old,manmade,informed
set56,COUCH,Y,N,5,12,1,578,old,shoebox,informed
set56,SHOVEL,Y,N,6,5,2,581,old,manmade,uninformed
set56,JUICE,N,Y,5,11,1,599,old,manmade,informed
set56,WRECK,Y,N,5,8,1,505,old,shoebox,uninformed
set56,WOMB,N,N,4,1,1,538,old,shoebox,informed
set56,SPEAR,Y,N,5,7,1,584,old,shoebox,uninformed
set56,SPICE,N,Y,5,4,1,590,old,manmade,informed
set56,ONION,N,Y,5,15,2,632,old,shoebox,informed
set56,LANE,Y,N,4,30,1,537,old,manmade,informed
set56,SLOPE,N,N,5,19,1,513,old,shoebox,uninformed
set56,GOAT,N,N,4,6,1,636,old,manmade,informed
set56,SNAIL,N,Y,5,1,1,579,old,manmade,uninformed
set56,THUNDER,N,N,7,14,2,547,old,shoebox,uninformed
set56,JELLY,Y,Y,5,3,2,560,old,manmade,informed
set56,COAL,N,Y,4,32,1,584,old,manmade,uninformed
set56,WAIST,N,N,5,11,1,563,old,manmade,uninformed
set56,BREEZE,N,N,6,14,1,500,old,shoebox,uninformed
set56,HOCKEY,Y,N,6,1,2,535,old,manmade,informed
set56,SHOWER,Y,N,6,15,1,588,old,shoebox,informed
set56,WHIP,Y,N,4,19,1,570,old,manmade,informed
set56,MINERAL,N,Y,7,12,3,527,old,shoebox,uninformed
set56,AXLE,Y,N,4,5,2,555,old,shoebox,informed
set56,POND,N,N,4,25,1,623,old,shoebox,informed
set56,CARROT,N,Y,6,1,2,622,old,manmade,uninformed
set56,PIANO,Y,N,5,38,3,615,old,shoebox,uninformed
set56,CIDER,Y,Y,5,2,2,626,old,shoebox,informed
set56,STAR,N,N,4,25,1,574,old,shoebox,uninformed
set56,GARMENT,Y,Y,7,6,2,552,old,manmade,uninformed
set56,NEST,N,Y,4,20,1,557,old,shoebox,informed
set56,RULER,Y,Y,5,3,2,555,old,manmade,uninformed
set56,BACTERIA,N,Y,8,8,3,560,old,shoebox,uninformed
set56,OUTFIT,Y,Y,6,16,2,515,old,manmade,uninformed
set56,MUSTARD,Y,Y,7,20,2,595,old,shoebox,informed
set56,HOOF,N,Y,4,2,1,596,old,manmade,uninformed
set56,CAMEL,N,N,5,1,2,597,old,shoebox,informed
set56,JEEP,Y,N,4,16,1,622,old,manmade,informed
set56,MAGNET,Y,Y,6,3,2,550,old,shoebox,informed
set56,GARDENIA,N,Y,8,1,3,576,old,shoebox,uninformed
set56,PEACH,N,Y,5,3,1,617,old,manmade,uninformed
