setID,word,manmade,shoebox,nletters,freq,nsyllables,concreteness,item_type,study_judgment,study_condition
set57,PAINT,Y,Y,5,37,1,577,old,manmade,uninformed
set57,MOSQUITO,N,Y,8,1,3,595,old,manmade,uninformed
set57,ALLEY,Y,N,5,8,2,557,old,manmade,uninformed
set57,KENNEL,Y,N,6,3,2,611,old,shoebox,informed
set57,SCAR,N,Y,4,10,1,552,old,manmade,informed
set57,PEARL,N,Y,5,9,1,597,old,shoebox,informed
set57,CIDER,Y,Y,5,2,2,626,old,manmade,uninformed
set57,ONION,N,Y,5,15,2,632,old,shoebox,informed
set57,BOWL,Y,Y,4,23,1,575,old,shoebox,informed
set57,COCKTAIL,Y,Y,8,25,2,576,old,manmade,informed
set57,LODGE,Y,N,5,19,1,538,old,shoebox,uninformed
set57,PARADE,Y,N,6,25,2,523,old,manmade,informed
set57,ANKLE,N,Y,5,8,2,608,old,manmade,informed
set57,BEVERAGE,Y,Y,8,5,3,526,old,shoebox,informed
set57,SKULL,N,N,5,3,1,570,old,manmade,uninformed
set57,GINGER,N,Y,6,2,2,522,old,manmade,informed
set57,SHOVEL,Y,N,6,5,2,581,old,shoebox,informed
set57,PUDDLE,N,N,6,1,2,604,old,manmade,informed
set57,SUPPER,Y,Y,6,37,2,563,old,shoebox,uninformed
set57,PICKLE,Y,Y,6,1,2,606,old,shoebox,informed
set57,STRING,Y,Y,6,19,1,570,old,shoebox,informed
set57,CLOUD,N,N,5,28,1,554,old,manmade,uninformed
set57,UMBRELLA,Y,N,8,8,3,606,old,shoebox,uninformed
set57,HONEY,N,Y,5,25,2,611,old,shoebox,uninformed
set57,PEAR,N,Y,4,6,1,634,old,manmade,informed
set57,BERRY,N,Y,5,9,2,573,old,manmade,uninformed
set57,PENCIL,Y,Y,6,34,2,617,old,shoebox,informed
set57,FLUTE,Y,Y,5,1,1,587,old,manmade,uninformed
set57,LIMB,N,N,4,5,1,590,old,manmade,uninformed
set57,TULIP,N,Y,5,4,2,619,old,shoebox,uninformed
set57,DUCK,N,Y,4,9,1,606,old,shoebox,informed
set57,SQUIRREL,N,Y,8,1,2,612,old,manmade,uninformed
set57,DRILL,Y,Y,5,33,1,516,old,shoebox,uninformed
set57,DITCH,N,N,5,10,1,555,old,shoebox,informed
set57,SOCCER,Y,N,6,3,2,524,old,shoebox,informed
set57,BROOM,Y,N,5,2,1,613,old,manmade,informed
set57,LEMON,N,Y,5,18,2,608,old,shoebox,uninformed
set57,FROG,N,Y,4,1,1,619,old,shoebox,uninformed
set57,POLLEN,N,Y,6,11,2,584,old,shoebox,uninformed
set57,MEAL,Y,Y,4,30,1,602,old,manmade,informed
set57,ELEPHANT,N,N,8,7,3,628,old,shoebox,informed
set57,FLOWER,N,Y,6,23,1,584,old,shoebox,informed
set57,PINE,N,N,4,14,1,592,old,shoebox,uninformed
set57,RULER,Y,Y,5,3,2,555,old,manmade,uninformed
set57,PILLOW,Y,N,6,8,2,613,old,shoebox,informed
set57,TEMPLE,Y,N,6,38,2,565,old,shoebox,informed
set57,COKE,Y,Y,4,4,1,580,old,manmade,uninformed
set57,FORK,Y,Y,4,14,1,592,old,manmade,informed
set57,THUMB,N,Y,5,10,1,638,old,manmade,uninformed
set57,CRYSTAL,N,Y,7,23,2,587,old,shoebox,informed
set57,TANK,Y,N,4,12,1,581,old,manmade,uninformed
set57,CHART,Y,Y,5,22,1,532,old,shoebox,uninformed
