setID,word,manmade,shoebox,nletters,freq,nsyllables,concreteness,item_type,study_judgment,study_condition
set45,CROW,N,Y,4,2,1,590,old,shoebox,informed
set45,CARD,Y,Y,4,26,1,565,old,manmade,informed
set45,SHOWER,Y,N,6,15,1,588,old,manmade,informed
set45,DECK,Y,N,4,23,1,566,old,manmade,uninformed
set45,KNEE,N,Y,4,35,1,593,old,shoebox,informed
set45,PUDDLE,N,N,6,1,2,604,old,manmade,informed
set45,POTATO,N,Y,6,15,3,629,old,manmade,informed
set45,SAND,N,Y,4,28,1,616,old,manmade,uninformed
set45,PINE,N,N,4,14,1,592,old,shoebox,informed
set45,GARMENT,Y,Y,7,6,2,552,old,manmade,uninformed
set45,SEAM,Y,Y,4,9,1,538,old,manmade,informed
set45,CEREAL,Y,Y,6,17,2,637,old,shoebox,uninformed
set45,BATH,Y,N,4,26,1,600,old,manmade,informed
set45,LIVER,N,Y,5,16,2,617,old,shoebox,informed
set45,STAIN,N,Y,5,6,1,535,old,manmade,uninformed
set45,SPRUCE,N,N,6,5,1,568,old,shoebox,informed
set45,LEAF,N,Y,4,12,1,593,old,manmade,uninformed
set45,CLOUD,N,N,5,28,1,554,old,shoebox,uninformed
set45,GOAT,N,N,4,6,1,636,old,shoebox,informed
set45,MINK,N,N,4,5,1,589,old,manmade,uninformed
set45,WORM,N,Y,4,4,1,611,old,shoebox,uninformed
set45,SURF,N,N,4,1,1,527,old,shoebox,informed
set45,MENU,Y,Y,4,5,2,555,old,manmade,informed
set45,LINEN,Y,Y,5,6,2,581,old,shoebox,uninformed
set45,WOOL,N,Y,4,10,1,608,old,manmade,uninformed
set45,CAPE,Y,Y,4,20,1,581,old,manmade,informed
set45,TOAD,N,Y,4,4,1,568,old,manmade,informed
set45,ENVELOPE,Y,Y,8,21,3,579,old,shoebox,uninformed
set45,TOAST,Y,Y,5,19,1,582,old,manmade,uninformed
set45,FEAST,Y,N,5,3,1,542,old,shoebox,informed
set45,RAIL,Y,N,4,16,1,540,old,manmade,uninformed
set45,TENNIS,Y,N,6,15,2,574,old,shoebox,informed
set45,CLOCK,Y,Y,5,20,1,591,old,manmade,uninformed
set45,HOOD,Y,Y,4,7,1,547,old,shoebox,uninformed
set45,MULE,N,N,4,4,1,592,old,manmade,uninformed
set45,BIRD,N,Y,4,31,1,602,old,shoebox,informed
set45,BELL,Y,Y,4,18,1,620,old,shoebox,uninformed
set45,SPICE,N,Y,5,4,1,590,old,manmade,uninformed
set45,HOCKEY,Y,N,6,1,2,535,old,shoebox,uninformed
set45,TOILET,Y,N,6,13,2,586,old,manmade,informed
set45,MAGNET,Y,Y,6,3,2,550,old,shoebox,informed
set45,POLE,Y,N,4,18,1,577,old,shoebox,uninformed
set45,MINERAL,N,Y,7,12,3,527,old,manmade,informed
set45,BADGE,Y,Y,5,5,1,561,old,shoebox,uninformed
set45,FOREARM,N,Y,7,3,2,608,old,manmade,informed
set45,SOFA,Y,N,4,6,2,629,old,shoebox,informed
set45,TRASH,Y,Y,5,2,1,588,old,shoebox,informed
set45,ELEPHANT,N,N,8,7,3,628,old,manmade,uninformed
set45,BISCUIT,Y,Y,7,2,2,574,old,manmade,uninformed
set45,SEAWEED,N,Y,7,3,2,593,old,manmade,informed
set45,FRUIT,N,Y,5,35,1,612,old,shoebox,uninformed
set45,TAIL,N,Y,4,24,1,613,old,manmade,informed
set45,PEPPER,N,Y,6,13,2,591,old,manmade,uninformed
set45,LIME,N,Y,4,13,1,590,old,manmade,informed
set45,BEAVER,N,N,6,3,2,589,old,shoebox,informed
set45,INSECT,N,Y,6,14,2,593,old,manmade,uninformed
set45,SHOE,Y,Y,4,14,1,600,old,manmade,uninformed
set45,CHESTNUT,N,Y,8,5,2,600,old,manmade,uninformed
set45,TROUT,N,Y,5,4,1,617,old,shoebox,informed
set45,HELMET,Y,N,6,1,2,602,old,manmade,informed
set45,COFFIN,Y,N,6,7,2,595,old,shoebox,uninformed
set45,TEMPLE,Y,N,6,38,2,565,old,manmade,informed
set45,VEIN,N,Y,4,25,1,553,old,shoebox,informed
set45,NECKLACE,Y,Y,8,3,2,633,old,shoebox,informed
set45,SQUIRREL,N,Y,8,1,2,612,old,manmade,uninformed
set45,HERB,N,Y,4,7,1,558,old,manmade,informed
set45,SCRATCH,N,N,7,9,1,523,old,shoebox,informed
set45,SOAP,Y,Y,4,22,1,598,old,manmade,uninformed
set45,LAWN,Y,N,4,15,1,588,old,shoebox,informed
set45,CEMENT,Y,Y,6,11,2,646,old,manmade,uninformed
set45,HOOF,N,Y,4,2,1,596,old,shoebox,informed
set45,QUARTER,Y,Y,7,34,2,509,old,manmade,informed
set45,KNUCKLE,Y,Y,7,3,2,586,old,shoebox,informed
set45,JADE,N,Y,4,1,1,570,old,shoebox,uninformed
set45,SUPPER,Y,Y,6,37,2,563,old,manmade,uninformed
set45,GIFT,Y,Y,4,33,1,533,old,shoebox,informed
set45,FISH,N,Y,4,35,1,597,old,manmade,informed
set45,GARLIC,N,Y,6,4,2,636,old,shoebox,uninformed
set45,TULIP,N,Y,5,4,2,619,old,manmade,uninformed
set45,BANDAGE,Y,Y,7,4,2,639,old,manmade,informed
set45,STORM,N,N,5,26,1,527,old,manmade,informed
set45,BUCKET,Y,N,6,7,2,594,old,shoebox,uninformed
set45,JEEP,Y,N,4,16,1,622,old,shoebox,informed
set45,BEVERAGE,Y,Y,8,5,3,526,old,shoebox,uninformed
set45,OCEAN,N,N,5,34,2,593,old,manmade,informed
set45,BALLOON,Y,Y,7,10,2,623,old,shoebox,uninformed
set45,SWORD,Y,N,5,7,1,577,old,manmade,uninformed
set45,CHOIR,Y,N,5,8,1,567,old,shoebox,informed
set45,TUNNEL,Y,N,6,10,2,555,old,manmade,informed
set45,WOLF,N,N,4,6,1,595,old,shoebox,uninformed
set45,BASEMENT,Y,N,8,31,2,585,old,manmade,informed
set45,NAPKIN,Y,Y,6,3,2,585,old,shoebox,uninformed
set45,SOCK,Y,Y,4,4,1,581,old,shoebox,uninformed
set45,DRUG,Y,Y,4,24,1,555,old,manmade,uninformed
set45,SAUCE,Y,Y,5,20,1,576,old,manmade,informed
set45,BOULDER,N,N,7,10,2,597,old,shoebox,informed
set45,COSTUME,Y,N,7,10,2,544,old,shoebox,uninformed
set45,OTTER,N,N,5,5,2,631,old,shoebox,uninformed
set45,WHEAT,N,Y,5,9,1,594,old,manmade,uninformed
set45,JEWEL,N,Y,5,1,1,594,old,shoebox,informed
set45,SCAR,N,Y,4,10,1,552,old,manmade,informed
set45,THUMB,N,Y,5,10,1,638,old,manmade,uninformed
set45,SPIDER,N,Y,6,2,2,607,old,shoebox,informed
set45,BACTERIA,N,Y,8,8,3,560,old,shoebox,informed
set45,TOMATO,N,Y,6,4,3,662,old,manmade,informed
set45,CHAPEL,Y,N,6,20,2,587,old,shoebox,uninformed
set45,TRAIL,Y,N,5,31,1,511,old,shoebox,informed
set45,TRIBE,Y,N,5,4,1,504,old,shoebox,informed
set45,BEEF,N,Y,4,32,1,637,old,manmade,informed
set45,PALM,N,Y,4,22,1,596,old,shoebox,uninformed
set45,SUGAR,N,Y,5,34,2,620,old,shoebox,informed
set45,GINGER,N,Y,6,2,2,522,old,manmade,informed
set45,DITCH,N,N,5,10,1,555,old,shoebox,informed
set45,RABBIT,N,Y,6,11,2,635,old,manmade,uninformed
set45,FLOOD,N,N,5,19,1,553,old,manmade,uninformed
set45,FLEA,N,Y,4,2,1,625,old,shoebox,uninformed
set45,TIGER,N,N,5,7,2,611,old,shoebox,informed
set45,ROBIN,N,Y,5,2,2,637,old,manmade,uninformed
set45,VINE,N,Y,4,4,1,601,old,manmade,uninformed
set45,HEEL,N,Y,4,9,1,579,old,manmade,uninformed
set45,LACE,Y,Y,4,7,1,545,old,shoebox,informed
set45,BRICK,Y,Y,5,18,1,610,old,manmade,informed
set45,PALACE,Y,N,6,38,2,579,old,manmade,uninformed
set45,LEATHER,Y,Y,7,24,2,575,old,shoebox,informed
set45,CORRIDOR,Y,N,8,17,3,568,old,manmade,uninformed
set45,SHEEP,N,N,5,23,1,622,old,manmade,uninformed
set45,FLOWER,N,Y,6,23,1,584,old,shoebox,informed
set45,CREATURE,N,N,8,15,2,541,old,shoebox,informed
set45,TONGUE,N,Y,6,35,1,634,old,manmade,uninformed
set45,BROOM,Y,N,5,2,1,613,old,manmade,informed
set45,SPADE,Y,Y,5,10,1,565,old,manmade,uninformed
set45,CAPITOL,Y,N,7,22,3,529,old,shoebox,uninformed
set45,SKULL,N,N,5,3,1,570,old,shoebox,uninformed
set45,MONKEY,N,N,6,9,2,566,old,manmade,informed
set45,MOSS,N,Y,4,9,1,575,old,manmade,uninformed
set45,PODIUM,Y,N,6,1,2,546,old,shoebox,uninformed
set45,AXLE,Y,N,4,5,2,555,old,shoebox,informed
set45,COIN,Y,Y,4,10,1,581,old,manmade,informed
set45,SILK,Y,Y,4,12,1,538,old,shoebox,uninformed
set45,PYTHON,N,N,6,14,2,580,old,manmade,informed
set45,RACKET,Y,N,6,5,2,562,old,manmade,uninformed
set45,DOUGH,Y,Y,5,13,1,627,old,shoebox,informed
set45,PORK,N,N,4,10,1,585,old,manmade,informed
set45,WALLET,Y,Y,6,6,2,584,old,manmade,informed
