setID,word,manmade,shoebox,nletters,freq,nsyllables,concreteness,item_type,study_judgment,study_condition
set50,JEEP,Y,N,4,16,1,622,old,manmade,informed
set50,TEAR,N,Y,4,11,1,504,old,shoebox,informed
set50,TUNNEL,Y,N,6,10,2,555,old,manmade,informed
set50,LOCK,Y,Y,4,23,1,565,old,shoebox,uninformed
set50,CLOUD,N,N,5,28,1,554,old,manmade,informed
set50,PINE,N,N,4,14,1,592,old,shoebox,uninformed
set50,LEAF,N,Y,4,12,1,593,old,manmade,uninformed
set50,SHOE,Y,Y,4,14,1,600,old,manmade,uninformed
set50,WRECK,Y,N,5,8,1,505,old,manmade,informed
set50,SOAP,Y,Y,4,22,1,598,old,shoebox,uninformed
set50,PEAR,N,Y,4,6,1,634,old,manmade,uninformed
set50,DUCK,N,Y,4,9,1,606,old,manmade,uninformed
set50,POLLEN,N,Y,6,11,2,584,old,manmade,informed
set50,FENCE,Y,N,5,30,1,597,old,shoebox,uninformed
set50,RAMP,Y,N,4,6,1,538,old,manmade,uninformed
set50,HARE,N,N,4,1,1,615,old,shoebox,informed
set50,ARROW,Y,N,5,14,2,595,old,manmade,uninformed
set50,CHESTNUT,N,Y,8,5,2,600,old,manmade,uninformed
set50,KETTLE,Y,N,6,3,2,602,old,shoebox,informed
set50,CLOSET,Y,N,6,16,2,599,old,shoebox,uninformed
set50,POSTER,Y,N,6,4,2,592,old,shoebox,informed
set50,OYSTER,N,Y,6,6,2,573,old,manmade,uninformed
set50,BASS,N,Y,4,16,1,547,old,shoebox,informed
set50,BIRD,N,Y,4,31,1,602,old,shoebox,uninformed
set50,CARD,Y,Y,4,26,1,565,old,shoebox,uninformed
set50,SPRAY,Y,Y,5,16,1,514,old,manmade,uninformed
set50,TOOTH,N,Y,5,20,1,619,old,manmade,informed
set50,THREAD,Y,Y,6,15,1,607,old,shoebox,uninformed
set50,MUSTARD,Y,Y,7,20,2,595,old,shoebox,informed
set50,WAIST,N,N,5,11,1,563,old,shoebox,informed
set50,INSECT,N,Y,6,14,2,593,old,manmade,informed
