phase_name,phase_progress
study_prac_informed,Practice Phase Progress: 0% complete
study_prac_uninformed,Practice Phase Progress: 25% complete
study_prac_uncued,Practice Phase Progress: 50% complete
study_prac,Practice Phase Progress: 75% complete
study_real4,Real Phase Progress: 0% complete
