word,manmade,shoebox,nletters,freq,nsyllables,concreteness,old_new,study_judgment,cue_condition,study_list,cue_color,box_color,show_cue,show_nocue
BRONZE,y,y,6,11,1,568,old,manmade,informed,informed4,cyan,white,1,0
LUNG,N,Y,4,16,1,569,old,manmade,informed,informed4,cyan,white,1,0
THREAD,Y,Y,6,15,1,607,old,manmade,informed,informed4,cyan,white,1,0
WOMB,N,N,4,1,1,538,old,manmade,informed,informed4,cyan,white,1,0
SOAP,Y,Y,4,22,1,598,old,manmade,informed,informed4,cyan,white,1,0
LOCKER,Y,N,6,9,2,586,old,manmade,informed,informed4,cyan,white,1,0
MOSQUITO,N,Y,8,1,3,595,old,manmade,informed,informed4,cyan,white,1,0
SAUCE,Y,Y,5,20,1,576,old,manmade,informed,informed4,cyan,white,1,0
SCAR,N,Y,4,10,1,552,old,manmade,informed,informed4,cyan,white,1,0
POSTER,Y,N,6,4,2,592,old,manmade,informed,informed4,cyan,white,1,0
ALUMINUM,y,y,8,18,4,523,old,manmade,informed,informed4,cyan,white,1,0
CEMENT,Y,Y,6,11,2,646,old,manmade,informed,informed4,cyan,white,1,0
SQUIRREL,N,Y,8,1,2,612,old,manmade,informed,informed4,cyan,white,1,0
TOAD,N,Y,4,4,1,568,old,manmade,informed,informed4,cyan,white,1,0
PLUG,Y,Y,4,23,1,558,old,manmade,informed,informed4,cyan,white,1,0
MINERAL,N,Y,7,12,3,527,old,manmade,informed,informed4,cyan,white,1,0
SUGAR,N,Y,5,34,2,620,old,manmade,informed,informed4,cyan,white,1,0
FEAST,Y,N,5,3,1,542,old,manmade,informed,informed4,cyan,white,1,0
BROOM,Y,N,5,2,1,613,old,manmade,informed,informed4,cyan,white,1,0
CLOSET,Y,N,6,16,2,599,old,manmade,informed,informed4,cyan,white,1,0
CHERRY,N,Y,6,6,2,611,old,manmade,informed,informed4,cyan,white,1,0
BEAN,N,Y,4,5,1,604,old,manmade,informed,informed4,cyan,white,1,0
LANE,Y,N,4,30,1,537,old,manmade,informed,informed4,cyan,white,1,0
DEER,N,N,4,13,1,631,old,manmade,informed,informed4,cyan,white,1,0
LINEN,Y,Y,5,6,2,581,old,manmade,informed,informed4,cyan,white,1,0
BIRCH,N,N,5,2,1,620,old,shoebox,informed,informed4,red,white,1,0
TOBACCO,N,Y,7,19,3,609,old,shoebox,informed,informed4,red,white,1,0
FOREARM,N,Y,7,3,2,608,old,shoebox,informed,informed4,red,white,1,0
PENCIL,Y,Y,6,34,2,617,old,shoebox,informed,informed4,red,white,1,0
SOCCER,Y,N,6,3,2,524,old,shoebox,informed,informed4,red,white,1,0
BUTTON,Y,Y,6,10,2,613,old,shoebox,informed,informed4,red,white,1,0
TOOTH,N,Y,5,20,1,619,old,shoebox,informed,informed4,red,white,1,0
CABLE,Y,Y,5,7,2,544,old,shoebox,informed,informed4,red,white,1,0
CARROT,N,Y,6,1,2,622,old,shoebox,informed,informed4,red,white,1,0
VINEGAR,y,y,7,9,3,645,old,shoebox,informed,informed4,red,white,1,0
PLANK,Y,N,5,7,1,592,old,shoebox,informed,informed4,red,white,1,0
BOOTH,Y,N,5,7,1,556,old,shoebox,informed,informed4,red,white,1,0
CHISEL,y,y,6,4,2,597,old,shoebox,informed,informed4,red,white,1,0
GRAPHITE,n,y,8,5,2,562,old,shoebox,informed,informed4,red,white,1,0
COAL,N,Y,4,32,1,584,old,shoebox,informed,informed4,red,white,1,0
LIMB,N,N,4,5,1,590,old,shoebox,informed,informed4,red,white,1,0
JEWEL,N,Y,5,1,1,594,old,shoebox,informed,informed4,red,white,1,0
BATH,Y,N,4,26,1,600,old,shoebox,informed,informed4,red,white,1,0
MOSS,N,Y,4,9,1,575,old,shoebox,informed,informed4,red,white,1,0
RACQUET,y,n,7,1,2,513,old,shoebox,informed,informed4,red,white,1,0
GOLF,Y,N,4,34,1,540,old,shoebox,informed,informed4,red,white,1,0
WHIP,Y,N,4,19,1,570,old,shoebox,informed,informed4,red,white,1,0
DOLL,Y,Y,4,10,1,588,old,shoebox,informed,informed4,red,white,1,0
SPICE,N,Y,5,4,1,590,old,shoebox,informed,informed4,red,white,1,0
STATUE,Y,N,6,17,2,600,old,shoebox,informed,informed4,red,white,1,0
CORN,n,y,4,34,1,576,old,manmade,informed,informed4,cyan,white,1,0
ROPE,Y,Y,4,15,1,608,old,manmade,informed,informed4,cyan,white,1,0
PEARL,N,Y,5,9,1,597,old,manmade,informed,informed4,cyan,white,1,0
IVORY,N,Y,5,17,3,571,old,manmade,informed,informed4,cyan,white,1,0
BACTERIA,N,Y,8,8,3,560,old,manmade,informed,informed4,cyan,white,1,0
LAMB,N,N,4,7,1,633,old,manmade,informed,informed4,cyan,white,1,0
LUMBER,n,n,6,35,2,560,old,manmade,informed,informed4,cyan,white,1,0
COUCH,Y,N,5,12,1,578,old,manmade,informed,informed4,cyan,white,1,0
FABRIC,y,y,6,15,2,565,old,manmade,informed,informed4,cyan,white,1,0
GARLIC,N,Y,6,4,2,636,old,manmade,informed,informed4,cyan,white,1,0
STRING,Y,Y,6,19,1,570,old,manmade,informed,informed4,cyan,white,1,0
COSTUME,Y,N,7,10,2,544,old,manmade,informed,informed4,cyan,white,1,0
DECK,Y,N,4,23,1,566,old,manmade,informed,informed4,cyan,white,1,0
POLLEN,N,Y,6,11,2,584,old,manmade,informed,informed4,cyan,white,1,0
BONE,N,Y,4,33,1,588,old,manmade,informed,informed4,cyan,white,1,0
TROLLEY,y,n,7,5,2,579,old,manmade,informed,informed4,cyan,white,1,0
DAWN,N,N,4,28,1,501,old,manmade,informed,informed4,cyan,white,1,0
VINE,N,Y,4,4,1,601,old,manmade,informed,informed4,cyan,white,1,0
BUBBLE,N,Y,6,12,2,563,old,manmade,informed,informed4,cyan,white,1,0
CHAPEL,Y,N,6,20,2,587,old,manmade,informed,informed4,cyan,white,1,0
BLOSSOM,N,Y,7,7,2,559,old,manmade,informed,informed4,cyan,white,1,0
OATMEAL,Y,Y,7,1,2,552,old,manmade,informed,informed4,cyan,white,1,0
VELVET,Y,Y,6,4,2,580,old,manmade,informed,informed4,cyan,white,1,0
RAMP,Y,N,4,6,1,538,old,manmade,informed,informed4,cyan,white,1,0
PLATE,Y,Y,5,22,1,595,old,manmade,informed,informed4,cyan,white,1,0
TUNNEL,Y,N,6,10,2,555,old,shoebox,informed,informed4,red,white,1,0
TENNIS,Y,N,6,15,2,574,old,shoebox,informed,informed4,red,white,1,0
FACTORY,Y,N,7,32,3,586,old,shoebox,informed,informed4,red,white,1,0
SODA,Y,Y,4,3,2,600,old,shoebox,informed,informed4,red,white,1,0
JUICE,N,Y,5,11,1,599,old,shoebox,informed,informed4,red,white,1,0
POTATO,N,Y,6,15,3,629,old,shoebox,informed,informed4,red,white,1,0
GOAT,N,N,4,6,1,636,old,shoebox,informed,informed4,red,white,1,0
CARPET,Y,N,6,13,2,581,old,shoebox,informed,informed4,red,white,1,0
COIN,Y,Y,4,10,1,581,old,shoebox,informed,informed4,red,white,1,0
FLOWER,N,Y,6,23,1,584,old,shoebox,informed,informed4,red,white,1,0
JACKET,Y,N,6,33,2,635,old,shoebox,informed,informed4,red,white,1,0
VEHICLE,Y,N,7,35,3,558,old,shoebox,informed,informed4,red,white,1,0
GRAPH,Y,Y,5,17,1,553,old,shoebox,informed,informed4,red,white,1,0
SHRIMP,N,Y,6,2,1,629,old,shoebox,informed,informed4,red,white,1,0
MONKEY,N,N,6,9,2,566,old,shoebox,informed,informed4,red,white,1,0
APPLE,N,Y,5,9,2,620,old,shoebox,informed,informed4,red,white,1,0
ROBIN,N,Y,5,2,2,637,old,shoebox,informed,informed4,red,white,1,0
CARRIAGE,Y,N,8,11,2,576,old,shoebox,informed,informed4,red,white,1,0
BAGPIPE,Y,N,7,1,2,601,old,shoebox,informed,informed4,red,white,1,0
PALACE,Y,N,6,38,2,579,old,shoebox,informed,informed4,red,white,1,0
CABIN,Y,N,5,23,2,596,old,shoebox,informed,informed4,red,white,1,0
OCEAN,N,N,5,34,2,593,old,shoebox,informed,informed4,red,white,1,0
CLOAK,Y,Y,5,3,1,543,old,shoebox,informed,informed4,red,white,1,0
FURNACE,Y,N,7,11,2,600,old,shoebox,informed,informed4,red,white,1,0
BUSH,N,N,4,14,1,585,old,shoebox,informed,informed4,red,white,1,0
RACKET,Y,N,6,5,2,562,old,manmade,uninformed,uninformed4,white,cyan,1,0
SALAD,Y,Y,5,9,2,595,old,manmade,uninformed,uninformed4,white,cyan,1,0
PORK,N,N,4,10,1,585,old,manmade,uninformed,uninformed4,white,cyan,1,0
SWAMP,n,n,5,5,1,570,old,manmade,uninformed,uninformed4,white,cyan,1,0
SHELL,N,Y,5,22,1,597,old,manmade,uninformed,uninformed4,white,cyan,1,0
STEAM,N,Y,5,17,1,552,old,manmade,uninformed,uninformed4,white,cyan,1,0
