word,manmade,shoebox,nletters,freq,nsyllables,concreteness,old_new,study_judgment,cue_condition,study_list,cue_color,box_color,show_cue,show_nocue
SCRATCH,N,N,7,9,1,523,old,shoebox,informed,informed3,red,white,1,0
ALUMINUM,y,y,8,18,4,523,old,shoebox,informed,informed3,red,white,1,0
HAMMER,Y,Y,6,9,2,605,old,shoebox,informed,informed3,red,white,1,0
LANE,Y,N,4,30,1,537,old,shoebox,informed,informed3,red,white,1,0
DIME,Y,Y,4,4,1,582,old,shoebox,informed,informed3,red,white,1,0
RIBBON,Y,Y,6,12,2,600,old,shoebox,informed,informed3,red,white,1,0
SPIDER,N,Y,6,2,2,607,old,shoebox,informed,informed3,red,white,1,0
LOTION,Y,Y,6,8,2,534,old,shoebox,informed,informed3,red,white,1,0
POISON,N,Y,6,10,2,527,old,shoebox,informed,informed3,red,white,1,0
CAMEL,N,N,5,1,2,597,old,shoebox,informed,informed3,red,white,1,0
HEEL,N,Y,4,9,1,579,old,shoebox,informed,informed3,red,white,1,0
STAR,N,N,4,25,1,574,old,shoebox,informed,informed3,red,white,1,0
ANKLE,N,Y,5,8,2,608,old,shoebox,informed,informed3,red,white,1,0
STOOL,Y,N,5,8,1,592,old,shoebox,informed,informed3,red,white,1,0
CORRIDOR,Y,N,8,17,3,568,old,shoebox,informed,informed3,red,white,1,0
PARCEL,Y,N,6,1,2,525,old,shoebox,informed,informed3,red,white,1,0
CIGAR,Y,Y,5,10,2,580,old,shoebox,informed,informed3,red,white,1,0
SNAIL,N,Y,5,1,1,579,old,shoebox,informed,informed3,red,white,1,0
BEVERAGE,Y,Y,8,5,3,526,old,shoebox,informed,informed3,red,white,1,0
BIRD,N,Y,4,31,1,602,old,shoebox,informed,informed3,red,white,1,0
MEDAL,y,y,5,7,2,571,old,shoebox,informed,informed3,red,white,1,0
HOOF,N,Y,4,2,1,596,old,shoebox,informed,informed3,red,white,1,0
NAPKIN,Y,Y,6,3,2,585,old,shoebox,informed,informed3,red,white,1,0
ORNAMENT,y,y,8,4,3,615,old,shoebox,informed,informed3,red,white,1,0
MANSION,Y,N,7,8,2,579,old,shoebox,informed,informed3,red,white,1,0
RAIL,Y,N,4,16,1,540,old,manmade,uninformed,uninformed3,white,cyan,1,0
FENCE,Y,N,5,30,1,597,old,manmade,uninformed,uninformed3,white,cyan,1,0
KNUCKLE,Y,Y,7,3,2,586,old,manmade,uninformed,uninformed3,white,cyan,1,0
OYSTER,N,Y,6,6,2,573,old,manmade,uninformed,uninformed3,white,cyan,1,0
BANANA,N,Y,6,4,3,633,old,manmade,uninformed,uninformed3,white,cyan,1,0
JACKET,Y,N,6,33,2,635,old,manmade,uninformed,uninformed3,white,cyan,1,0
SOFA,Y,N,4,6,2,629,old,manmade,uninformed,uninformed3,white,cyan,1,0
MIRROR,Y,Y,6,27,1,605,old,manmade,uninformed,uninformed3,white,cyan,1,0
DOLL,Y,Y,4,10,1,588,old,manmade,uninformed,uninformed3,white,cyan,1,0
PEARL,N,Y,5,9,1,597,old,manmade,uninformed,uninformed3,white,cyan,1,0
CHALK,Y,Y,5,3,1,634,old,manmade,uninformed,uninformed3,white,cyan,1,0
DOUGH,Y,Y,5,13,1,627,old,manmade,uninformed,uninformed3,white,cyan,1,0
ORANGE,n,y,6,23,2,601,old,manmade,uninformed,uninformed3,white,cyan,1,0
CAPSULE,Y,Y,7,5,2,540,old,manmade,uninformed,uninformed3,white,cyan,1,0
CLOUD,N,N,5,28,1,554,old,manmade,uninformed,uninformed3,white,cyan,1,0
STARCH,n,y,6,4,1,555,old,manmade,uninformed,uninformed3,white,cyan,1,0
OTTER,N,N,5,5,2,631,old,manmade,uninformed,uninformed3,white,cyan,1,0
HARE,N,N,4,1,1,615,old,manmade,uninformed,uninformed3,white,cyan,1,0
