word,manmade,shoebox,nletters,freq,nsyllables,concreteness
GLOVE,Y,Y,5,9,1,607
BARK,N,Y,4,14,1,563
ENVELOPE,Y,Y,8,21,3,579
TROUT,N,Y,5,4,1,617
FISH,N,Y,4,35,1,597
STOOL,Y,N,5,8,1,592
SPEAR,Y,N,5,7,1,584
CREAM,Y,Y,5,20,1,621
VEIN,N,Y,4,25,1,553
EAGLE,N,N,5,5,2,616
BUTTON,Y,Y,6,10,2,613
MEAL,Y,Y,4,30,1,602
WHEAT,N,Y,5,9,1,594
FLAME,N,Y,5,17,1,582
SKULL,N,N,5,3,1,570
JACKET,Y,N,6,33,2,635
FACTORY,Y,N,7,32,3,586
LIVER,N,Y,5,16,2,617
NOZZLE,Y,Y,6,4,2,555
SOCCER,Y,N,6,3,2,524
PLUM,N,Y,4,1,1,632
SPRAY,Y,Y,5,16,1,514
ABDOMEN,N,Y,7,6,3,586
STICK,N,Y,5,39,1,604
VELVET,Y,Y,6,4,2,580
STATUE,Y,N,6,17,2,600
WOLF,N,N,4,6,1,595
MUSTARD,Y,Y,7,20,2,595
SOAP,Y,Y,4,22,1,598
SCAR,N,Y,4,10,1,552
LACE,Y,Y,4,7,1,545
LION,N,N,4,17,1,627
BELL,Y,Y,4,18,1,620
GOLF,Y,N,4,34,1,540
SATIN,Y,Y,5,5,2,594
BOWL,Y,Y,4,23,1,575
SPARK,N,Y,5,12,1,526
GALLERY,Y,N,7,31,3,569
POSTER,Y,N,6,4,2,592
SEAL,N,N,4,17,1,587
STOVE,Y,N,5,15,1,591
STEAM,N,Y,5,17,1,552
GOWN,Y,Y,4,16,1,586
PAINT,Y,Y,5,37,1,577
HAWK,N,N,4,14,1,623
BLANKET,Y,N,7,30,2,622
BEVERAGE,Y,Y,8,5,3,526
SHED,Y,N,4,11,1,611
SEAM,Y,Y,4,9,1,538
COSTUME,Y,N,7,10,2,544
BADGE,Y,Y,5,5,1,561
DIME,Y,Y,4,4,1,582
HOCKEY,Y,N,6,1,2,535
BALLOON,Y,Y,7,10,2,623
CABIN,Y,N,5,23,2,596
MACKEREL,N,Y,8,2,2,636
TRIBE,Y,N,5,4,1,504
ROOT,N,Y,4,30,1,558
TIDE,N,N,4,11,1,516
COCKTAIL,Y,Y,8,25,2,576
SACK,Y,Y,4,8,1,582
CLARINET,Y,N,8,1,3,633
COLLAR,Y,Y,6,17,2,622
COIN,Y,Y,4,10,1,581
LOBSTER,N,Y,7,1,2,590
SPICE,N,Y,5,4,1,590
PYTHON,N,N,6,14,2,580
GATE,Y,N,4,37,1,573
BANDAGE,Y,Y,7,4,2,639
RABBIT,N,Y,6,11,2,635
SPIDER,N,Y,6,2,2,607
TRIANGLE,N,Y,8,4,3,523
LOCKER,Y,N,6,9,2,586
ARROW,Y,N,5,14,2,595
PASTE,Y,Y,5,10,1,559
LEMON,N,Y,5,18,2,608
GARMENT,Y,Y,7,6,2,552
