word,manmade,shoebox,nletters,freq,nsyllables,concreteness,item_type,study_judgment,study_condition
AISLE,Y,N,5,6,1,509,practice,manmade,uninformed
CUBE,Y,Y,4,1,1,530,practice,shoebox,uninformed
STOMACH,N,Y,7,37,2,617,practice,manmade,uninformed
CAFE,Y,N,4,20,2,568,practice,shoebox,uninformed
SHIRT,Y,Y,5,27,1,616,practice,manmade,informed
CHICKEN,N,N,7,37,2,614,practice,shoebox,informed
BARN,Y,N,4,29,1,614,practice,manmade,informed
PILE,Y,N,4,25,1,504,practice,shoebox,informed
