setID,word,manmade,shoebox,nletters,freq,nsyllables,concreteness,item_type,study_judgment,study_condition
set41,ARROW,Y,N,5,14,2,595,old,shoebox,informed
set41,BRACELET,Y,Y,8,1,2,602,old,manmade,uninformed
set41,GIFT,Y,Y,4,33,1,533,old,shoebox,uninformed
set41,CROW,N,Y,4,2,1,590,old,manmade,informed
set41,POND,N,N,4,25,1,623,old,shoebox,informed
set41,FOREARM,N,Y,7,3,2,608,old,shoebox,informed
set41,JELLY,Y,Y,5,3,2,560,old,shoebox,uninformed
set41,SCAR,N,Y,4,10,1,552,old,manmade,informed
set41,TURTLE,N,Y,6,8,2,644,old,shoebox,informed
set41,TENT,Y,N,4,20,1,608,old,manmade,informed
set41,SUNBURN,N,N,7,5,2,563,old,manmade,uninformed
set41,FEAST,Y,N,5,3,1,542,old,shoebox,informed
set41,HOOF,N,Y,4,2,1,596,old,manmade,uninformed
set41,POLE,Y,N,4,18,1,577,old,shoebox,informed
set41,MONKEY,N,N,6,9,2,566,old,manmade,uninformed
set41,LUNG,N,Y,4,16,1,569,old,shoebox,uninformed
set41,HARE,N,N,4,1,1,615,old,shoebox,uninformed
set41,JEWEL,N,Y,5,1,1,594,old,shoebox,informed
set41,JUICE,N,Y,5,11,1,599,old,manmade,uninformed
set41,DRIZZLE,N,Y,7,5,2,558,old,manmade,uninformed
set41,TOOL,Y,Y,4,40,1,570,old,shoebox,informed
set41,NECKLACE,Y,Y,8,3,2,633,old,manmade,uninformed
set41,BANANA,N,Y,6,4,3,633,old,manmade,informed
set41,GALLERY,Y,N,7,31,3,569,old,shoebox,informed
set41,SPIDER,N,Y,6,2,2,607,old,shoebox,informed
set41,SAIL,Y,N,4,12,1,567,old,shoebox,uninformed
set41,PASTE,Y,Y,5,10,1,559,old,manmade,informed
set41,BENCH,Y,N,5,35,1,614,old,shoebox,uninformed
set41,PLANK,Y,N,5,7,1,592,old,manmade,uninformed
set41,PALM,N,Y,4,22,1,596,old,manmade,uninformed
set41,BERRY,N,Y,5,9,2,573,old,manmade,informed
set41,MULE,N,N,4,4,1,592,old,shoebox,uninformed
set41,POWDER,N,Y,6,28,2,513,old,manmade,uninformed
set41,CAGE,Y,N,4,9,1,593,old,shoebox,informed
set41,BEAN,N,Y,4,5,1,604,old,shoebox,informed
set41,HERB,N,Y,4,7,1,558,old,manmade,informed
set41,CEREAL,Y,Y,6,17,2,637,old,shoebox,uninformed
set41,WHIP,Y,N,4,19,1,570,old,shoebox,informed
set41,WALLET,Y,Y,6,6,2,584,old,shoebox,informed
set41,MINK,N,N,4,5,1,589,old,manmade,uninformed
set41,LAMB,N,N,4,7,1,633,old,shoebox,informed
set41,GLOVE,Y,Y,5,9,1,607,old,manmade,uninformed
set41,CASH,Y,Y,4,36,1,547,old,shoebox,informed
set41,THUMB,N,Y,5,10,1,638,old,shoebox,uninformed
set41,GRAVEL,N,Y,6,9,2,587,old,shoebox,informed
set41,CHEESE,Y,Y,6,9,1,624,old,manmade,informed
set41,LAMP,Y,N,4,18,1,615,old,shoebox,uninformed
set41,VIOLIN,Y,N,6,11,2,626,old,manmade,uninformed
set41,LANE,Y,N,4,30,1,537,old,shoebox,uninformed
set41,CLOAK,Y,Y,5,3,1,543,old,shoebox,informed
set41,STICK,N,Y,5,39,1,604,old,shoebox,uninformed
set41,LINEN,Y,Y,5,6,2,581,old,manmade,informed
set41,SHED,Y,N,4,11,1,611,old,shoebox,uninformed
set41,TRIANGLE,N,Y,8,4,3,523,old,shoebox,uninformed
set41,VEIN,N,Y,4,25,1,553,old,manmade,uninformed
set41,SPEAR,Y,N,5,7,1,584,old,shoebox,informed
set41,WHISTLE,Y,Y,7,4,2,579,old,manmade,uninformed
set41,DIME,Y,Y,4,4,1,582,old,shoebox,uninformed
set41,TRAIL,Y,N,5,31,1,511,old,shoebox,informed
set41,TEAR,N,Y,4,11,1,504,old,shoebox,informed
set41,DIAL,Y,Y,4,1,1,537,old,manmade,uninformed
set41,HAMMER,Y,Y,6,9,2,605,old,manmade,uninformed
set41,JACKET,Y,N,6,33,2,635,old,shoebox,uninformed
set41,LAUNDRY,Y,N,7,5,2,576,old,manmade,informed
set41,SQUIRREL,N,Y,8,1,2,612,old,shoebox,uninformed
set41,HOCKEY,Y,N,6,1,2,535,old,shoebox,uninformed
set41,BLANKET,Y,N,7,30,2,622,old,manmade,informed
set41,PODIUM,Y,N,6,1,2,546,old,manmade,uninformed
set41,FACTORY,Y,N,7,32,3,586,old,manmade,informed
set41,POSTER,Y,N,6,4,2,592,old,shoebox,informed
set41,LOCKER,Y,N,6,9,2,586,old,manmade,uninformed
set41,COUCH,Y,N,5,12,1,578,old,manmade,uninformed
set41,BEVERAGE,Y,Y,8,5,3,526,old,manmade,informed
set41,RIBBON,Y,Y,6,12,2,600,old,shoebox,informed
set41,PIANO,Y,N,5,38,3,615,old,shoebox,informed
set41,CALF,N,N,4,11,1,592,old,manmade,uninformed
set41,OYSTER,N,Y,6,6,2,573,old,shoebox,uninformed
set41,DOORWAY,Y,N,7,15,2,578,old,shoebox,uninformed
set41,BATH,Y,N,4,26,1,600,old,shoebox,informed
set41,CLOCK,Y,Y,5,20,1,591,old,manmade,uninformed
set41,SATIN,Y,Y,5,5,2,594,old,manmade,informed
set41,SOUP,Y,Y,4,16,1,615,old,shoebox,uninformed
set41,TENNIS,Y,N,6,15,2,574,old,shoebox,uninformed
set41,MENU,Y,Y,4,5,2,555,old,manmade,informed
set41,COLLAR,Y,Y,6,17,2,622,old,shoebox,informed
set41,COAL,N,Y,4,32,1,584,old,shoebox,informed
set41,TRIBE,Y,N,5,4,1,504,old,manmade,uninformed
set41,TEMPLE,Y,N,6,38,2,565,old,manmade,informed
set41,VELVET,Y,Y,6,4,2,580,old,shoebox,informed
set41,POTATO,N,Y,6,15,3,629,old,shoebox,uninformed
set41,CONE,Y,Y,4,13,1,573,old,shoebox,uninformed
set41,SILK,Y,Y,4,12,1,538,old,manmade,uninformed
set41,SPARK,N,Y,5,12,1,526,old,manmade,informed
set41,WAIST,N,N,5,11,1,563,old,shoebox,uninformed
set41,SPONGE,Y,Y,6,7,1,597,old,manmade,informed
set41,PUDDLE,N,N,6,1,2,604,old,shoebox,informed
set41,FLAME,N,Y,5,17,1,582,old,shoebox,uninformed
set41,COTTON,N,Y,6,38,2,608,old,shoebox,uninformed
set41,DOLL,Y,Y,4,10,1,588,old,manmade,uninformed
set41,PEARL,N,Y,5,9,1,597,old,manmade,informed
set41,TIDE,N,N,4,11,1,516,old,manmade,uninformed
set41,SCRATCH,N,N,7,9,1,523,old,shoebox,uninformed
set41,SACK,Y,Y,4,8,1,582,old,manmade,informed
set41,CABIN,Y,N,5,23,2,596,old,manmade,informed
set41,LOTION,Y,Y,6,8,2,534,old,manmade,informed
set41,SURF,N,N,4,1,1,527,old,shoebox,uninformed
set41,SPICE,N,Y,5,4,1,590,old,manmade,uninformed
set41,SUNSET,N,N,6,14,2,525,old,manmade,uninformed
set41,WOOL,N,Y,4,10,1,608,old,manmade,informed
set41,CEILING,Y,N,7,31,2,606,old,shoebox,informed
set41,NAPKIN,Y,Y,6,3,2,585,old,manmade,uninformed
set41,ABDOMEN,N,Y,7,6,3,586,old,manmade,uninformed
set41,FLUTE,Y,Y,5,1,1,587,old,manmade,uninformed
set41,KETTLE,Y,N,6,3,2,602,old,shoebox,informed
set41,POLLEN,N,Y,6,11,2,584,old,manmade,informed
set41,SOFA,Y,N,4,6,2,629,old,manmade,uninformed
set41,OTTER,N,N,5,5,2,631,old,shoebox,informed
set41,CAMEL,N,N,5,1,2,597,old,shoebox,uninformed
set41,PYTHON,N,N,6,14,2,580,old,shoebox,informed
set41,SWORD,Y,N,5,7,1,577,old,manmade,informed
set41,PLUM,N,Y,4,1,1,632,old,shoebox,informed
set41,BROOM,Y,N,5,2,1,613,old,shoebox,uninformed
set41,WORM,N,Y,4,4,1,611,old,manmade,uninformed
set41,CHESTNUT,N,Y,8,5,2,600,old,manmade,uninformed
set41,TANK,Y,N,4,12,1,581,old,manmade,informed
set41,BUBBLE,N,Y,6,12,2,563,old,shoebox,uninformed
set41,SPRAY,Y,Y,5,16,1,514,old,manmade,informed
set41,MIRROR,Y,Y,6,27,1,605,old,manmade,uninformed
set41,BOOTH,Y,N,5,7,1,556,old,shoebox,uninformed
set41,NOZZLE,Y,Y,6,4,2,555,old,shoebox,uninformed
set41,TRASH,Y,Y,5,2,1,588,old,manmade,informed
set41,DOUGH,Y,Y,5,13,1,627,old,manmade,informed
set41,INSECT,N,Y,6,14,2,593,old,manmade,informed
set41,PILLOW,Y,N,6,8,2,613,old,shoebox,uninformed
set41,DITCH,N,N,5,10,1,555,old,shoebox,informed
set41,PINE,N,N,4,14,1,592,old,shoebox,informed
set41,LEATHER,Y,Y,7,24,2,575,old,manmade,informed
set41,SLOPE,N,N,5,19,1,513,old,shoebox,uninformed
set41,MAGAZINE,Y,Y,8,39,3,588,old,shoebox,informed
set41,BUTTON,Y,Y,6,10,2,613,old,manmade,informed
set41,YACHT,Y,N,5,4,1,606,old,shoebox,uninformed
set41,OATMEAL,Y,Y,7,1,2,552,old,shoebox,informed
set41,DRILL,Y,Y,5,33,1,516,old,manmade,uninformed
set41,WRECK,Y,N,5,8,1,505,old,shoebox,informed
set41,SAUCE,Y,Y,5,20,1,576,old,shoebox,uninformed
set41,DOVE,N,Y,4,4,1,588,old,manmade,informed
set41,PORK,N,N,4,10,1,585,old,shoebox,uninformed
set41,APPLE,N,Y,5,9,2,620,old,shoebox,uninformed
set41,MOUSE,N,Y,5,10,1,624,old,manmade,informed
set41,LIME,N,Y,4,13,1,590,old,manmade,uninformed
set41,FUEL,Y,Y,4,17,1,559,old,manmade,uninformed
set41,LIMB,N,N,4,5,1,590,old,shoebox,informed
set41,DEER,N,N,4,13,1,631,old,manmade,informed
set41,KITTEN,N,Y,6,5,2,612,old,manmade,informed
set41,TUBE,Y,Y,4,31,1,581,old,shoebox,uninformed
set41,SHRIMP,N,Y,6,2,1,629,old,shoebox,uninformed
set41,CAMERA,Y,Y,6,36,2,627,old,manmade,informed
set41,FISH,N,Y,4,35,1,597,old,manmade,informed
set41,BIRCH,N,N,5,2,1,620,old,manmade,informed
set41,ORGAN,N,Y,5,12,2,596,old,shoebox,uninformed
set41,CHART,Y,Y,5,22,1,532,old,manmade,uninformed
set41,ANKLE,N,Y,5,8,2,608,old,shoebox,informed
set41,STAR,N,N,4,25,1,574,old,shoebox,informed
set41,TOBACCO,N,Y,7,19,3,609,old,manmade,uninformed
set41,BOULDER,N,N,7,10,2,597,old,manmade,uninformed
set41,TRUMPET,Y,N,7,7,2,608,old,manmade,uninformed
set41,HEDGE,Y,N,5,2,1,615,old,shoebox,informed
set41,BASEMENT,Y,N,8,31,2,585,old,shoebox,uninformed
set41,CARRIAGE,Y,N,8,11,2,576,old,manmade,informed
set41,JERSEY,Y,Y,6,25,2,621,old,shoebox,uninformed
set41,UMBRELLA,Y,N,8,8,3,606,old,shoebox,uninformed
set41,CEMENT,Y,Y,6,11,2,646,old,manmade,informed
set41,LOBSTER,N,Y,7,1,2,590,old,manmade,informed
set41,SAND,N,Y,4,28,1,616,old,manmade,informed
set41,JAIL,Y,N,4,21,1,590,old,shoebox,uninformed
set41,ENVELOPE,Y,Y,8,21,3,579,old,shoebox,informed
set41,CHERRY,N,Y,6,6,2,611,old,manmade,informed
set41,THUNDER,N,N,7,14,2,547,old,manmade,informed
set41,LACE,Y,Y,4,7,1,545,old,manmade,uninformed
set41,RAMP,Y,N,4,6,1,538,old,shoebox,uninformed
set41,KNEE,N,Y,4,35,1,593,old,manmade,informed
set41,HAWK,N,N,4,14,1,623,old,manmade,uninformed
set41,BUSH,N,N,4,14,1,585,old,manmade,uninformed
set41,RULER,Y,Y,5,3,2,555,old,shoebox,uninformed
set41,TULIP,N,Y,5,4,2,619,old,manmade,informed
set41,SLEEVE,Y,Y,6,11,1,587,old,manmade,uninformed
set41,STORM,N,N,5,26,1,527,old,manmade,uninformed
set41,PEACH,N,Y,5,3,1,617,old,shoebox,uninformed
