word,manmade,shoebox,nletters,freq,nsyllables,concreteness,old_new,study_judgment,cue_condition,study_phase,cue_color,box_color,show_cue
SALOON,Y,N,6,12,2,575,old,manmade,uninformed,uninformed1,n/a,cyan,0
FLAG,Y,Y,4,16,1,606,old,manmade,uninformed,uninformed1,n/a,cyan,0
MEAL,Y,Y,4,30,1,602,old,manmade,uninformed,uninformed1,n/a,cyan,0
LEATHER,Y,Y,7,24,2,575,old,manmade,uninformed,uninformed1,n/a,cyan,0
CAPE,Y,Y,4,20,1,581,old,manmade,uninformed,uninformed1,n/a,cyan,0
TIGER,N,N,5,7,2,611,old,manmade,uninformed,uninformed1,n/a,cyan,0
STEM,N,Y,4,29,1,556,old,manmade,uninformed,uninformed1,n/a,cyan,0
LAWN,Y,N,4,15,1,588,old,manmade,uninformed,uninformed1,n/a,cyan,0
TENNIS,Y,N,6,15,2,574,old,manmade,uninformed,uninformed1,n/a,cyan,0
BELL,Y,Y,4,18,1,620,old,manmade,uninformed,uninformed1,n/a,cyan,0
POTATO,N,Y,6,15,3,629,old,manmade,uninformed,uninformed1,n/a,cyan,0
CHEESE,Y,Y,6,9,1,624,old,manmade,uninformed,uninformed1,n/a,cyan,0
SOCK,Y,Y,4,4,1,581,old,manmade,uninformed,uninformed1,n/a,cyan,0
THUMB,N,Y,5,10,1,638,old,manmade,uninformed,uninformed1,n/a,cyan,0
OYSTER,N,Y,6,6,2,573,old,manmade,uninformed,uninformed1,n/a,cyan,0
BUSH,N,N,4,14,1,585,old,manmade,uninformed,uninformed1,n/a,cyan,0
MAGAZINE,Y,Y,8,39,3,588,old,manmade,uninformed,uninformed1,n/a,cyan,0
SPICE,N,Y,5,4,1,590,old,manmade,uninformed,uninformed1,n/a,cyan,0
SPINACH,N,Y,7,2,2,589,old,manmade,uninformed,uninformed1,n/a,cyan,0
CLOCK,Y,Y,5,20,1,591,old,manmade,uninformed,uninformed1,n/a,cyan,0
WAIST,N,N,5,11,1,563,old,manmade,uninformed,uninformed1,n/a,cyan,0
SPARK,N,Y,5,12,1,526,old,manmade,uninformed,uninformed1,n/a,cyan,0
RACKET,Y,N,6,5,2,562,old,manmade,uninformed,uninformed1,n/a,cyan,0
GARLIC,N,Y,6,4,2,636,old,manmade,uninformed,uninformed1,n/a,cyan,0
FACTORY,Y,N,7,32,3,586,old,manmade,uninformed,uninformed1,n/a,cyan,0
BADGE,Y,Y,5,5,1,561,old,manmade,uninformed,uninformed1,n/a,cyan,0
PORK,N,N,4,10,1,585,old,manmade,uninformed,uninformed1,n/a,cyan,0
DUCK,N,Y,4,9,1,606,old,manmade,uninformed,uninformed1,n/a,cyan,0
