word,manmade,shoebox,nletters,freq,nsyllables,concreteness,old_new,study_judgment,cue_condition,study_phase,cue_color,box_color,show_cue
VIOLIN,Y,N,6,11,2,626,old,manmade,informed,informed2,cyan,white,1
LAMB,N,N,4,7,1,633,old,manmade,informed,informed2,cyan,white,1
BANANA,N,Y,6,4,3,633,old,manmade,informed,informed2,cyan,white,1
DAWN,N,N,4,28,1,501,old,manmade,informed,informed2,cyan,white,1
MAGAZINE,Y,Y,8,39,3,588,old,manmade,informed,informed2,cyan,white,1
GATE,Y,N,4,37,1,573,old,manmade,informed,informed2,cyan,white,1
BARK,N,Y,4,14,1,563,old,manmade,informed,informed2,cyan,white,1
BUCKET,Y,N,6,7,2,594,old,manmade,informed,informed2,cyan,white,1
COIN,Y,Y,4,10,1,581,old,manmade,informed,informed2,cyan,white,1
KNOB,Y,Y,4,2,1,586,old,manmade,informed,informed2,cyan,white,1
BASS,N,Y,4,16,1,547,old,manmade,informed,informed2,cyan,white,1
MENU,Y,Y,4,5,2,555,old,manmade,informed,informed2,cyan,white,1
STEAM,N,Y,5,17,1,552,old,manmade,informed,informed2,cyan,white,1
HOOF,N,Y,4,2,1,596,old,manmade,informed,informed2,cyan,white,1
CLARINET,Y,N,8,1,3,633,old,manmade,informed,informed2,cyan,white,1
PLUM,N,Y,4,1,1,632,old,manmade,informed,informed2,cyan,white,1
ALLEY,Y,N,5,8,2,557,old,manmade,informed,informed2,cyan,white,1
CEMENT,Y,Y,6,11,2,646,old,manmade,informed,informed2,cyan,white,1
DOLL,Y,Y,4,10,1,588,old,manmade,informed,informed2,cyan,white,1
SAIL,Y,N,4,12,1,567,old,manmade,informed,informed2,cyan,white,1
HAWK,N,N,4,14,1,623,old,manmade,informed,informed2,cyan,white,1
VELVET,Y,Y,6,4,2,580,old,manmade,informed,informed2,cyan,white,1
TURTLE,N,Y,6,8,2,644,old,manmade,informed,informed2,cyan,white,1
MIRROR,Y,Y,6,27,1,605,old,manmade,informed,informed2,cyan,white,1
PENCIL,Y,Y,6,34,2,617,old,manmade,informed,informed2,cyan,white,1
APPLE,N,Y,5,9,2,620,old,manmade,informed,informed2,cyan,white,1
JEEP,Y,N,4,16,1,622,old,manmade,informed,informed2,cyan,white,1
PIANO,Y,N,5,38,3,615,old,manmade,informed,informed2,cyan,white,1
SHRIMP,N,Y,6,2,1,629,old,manmade,informed,informed2,cyan,white,1
CAKE,Y,Y,4,13,1,624,old,manmade,informed,informed2,cyan,white,1
KNEE,N,Y,4,35,1,593,old,manmade,informed,informed2,cyan,white,1
TOILET,Y,N,6,13,2,586,old,manmade,informed,informed2,cyan,white,1
CASH,Y,Y,4,36,1,547,old,shoebox,informed,informed2,red,white,1
NEST,N,Y,4,20,1,557,old,shoebox,informed,informed2,red,white,1
DUCK,N,Y,4,9,1,606,old,shoebox,informed,informed2,red,white,1
WAIST,N,N,5,11,1,563,old,shoebox,informed,informed2,red,white,1
SEAM,Y,Y,4,9,1,538,old,shoebox,informed,informed2,red,white,1
LEATHER,Y,Y,7,24,2,575,old,shoebox,informed,informed2,red,white,1
BIRCH,N,N,5,2,1,620,old,shoebox,informed,informed2,red,white,1
SURF,N,N,4,1,1,527,old,shoebox,informed,informed2,red,white,1
POTATO,N,Y,6,15,3,629,old,shoebox,informed,informed2,red,white,1
DEER,N,N,4,13,1,631,old,shoebox,informed,informed2,red,white,1
DIAMOND,N,Y,7,8,2,610,old,shoebox,informed,informed2,red,white,1
HAMMER,Y,Y,6,9,2,605,old,shoebox,informed,informed2,red,white,1
COTTON,N,Y,6,38,2,608,old,shoebox,informed,informed2,red,white,1
PARCEL,Y,N,6,1,2,525,old,shoebox,informed,informed2,red,white,1
TAPE,Y,Y,4,35,1,564,old,shoebox,informed,informed2,red,white,1
BOULDER,N,N,7,10,2,597,old,shoebox,informed,informed2,red,white,1
CHART,Y,Y,5,22,1,532,old,shoebox,informed,informed2,red,white,1
DOUGH,Y,Y,5,13,1,627,old,shoebox,informed,informed2,red,white,1
RABBIT,N,Y,6,11,2,635,old,shoebox,informed,informed2,red,white,1
BASEMENT,Y,N,8,31,2,585,old,shoebox,informed,informed2,red,white,1
BOOT,Y,Y,4,13,1,595,old,shoebox,informed,informed2,red,white,1
LOBSTER,N,Y,7,1,2,590,old,shoebox,informed,informed2,red,white,1
CARD,Y,Y,4,26,1,565,old,shoebox,informed,informed2,red,white,1
LEMON,N,Y,5,18,2,608,old,shoebox,informed,informed2,red,white,1
BREEZE,N,N,6,14,1,500,old,shoebox,informed,informed2,red,white,1
CAVE,N,N,4,9,1,592,old,shoebox,informed,informed2,red,white,1
FLOOD,N,N,5,19,1,553,old,shoebox,informed,informed2,red,white,1
LOCKER,Y,N,6,9,2,586,old,shoebox,informed,informed2,red,white,1
LODGE,Y,N,5,19,1,538,old,shoebox,informed,informed2,red,white,1
MANSION,Y,N,7,8,2,579,old,shoebox,informed,informed2,red,white,1
SPONGE,Y,Y,6,7,1,597,old,shoebox,informed,informed2,red,white,1
SOAP,Y,Y,4,22,1,598,old,shoebox,informed,informed2,red,white,1
