word,manmade,shoebox,nletters,freq,nsyllables,concreteness,old_new,study_judgment,cue_condition,study_phase,cue_color,box_color,show_cue
NECTAR,N,Y,6,3,2,556,old,manmade,informed,informed2,cyan,white,1
GLOVE,Y,Y,5,9,1,607,old,manmade,informed,informed2,cyan,white,1
BLANKET,Y,N,7,30,2,622,old,manmade,informed,informed2,cyan,white,1
WORM,N,Y,4,4,1,611,old,manmade,informed,informed2,cyan,white,1
LODGE,Y,N,5,19,1,538,old,manmade,informed,informed2,cyan,white,1
TRACTOR,Y,N,7,24,2,590,old,manmade,informed,informed2,cyan,white,1
LIVER,N,Y,5,16,2,617,old,manmade,informed,informed2,cyan,white,1
PEARL,N,Y,5,9,1,597,old,manmade,informed,informed2,cyan,white,1
BUBBLE,N,Y,6,12,2,563,old,manmade,informed,informed2,cyan,white,1
PEPPER,N,Y,6,13,2,591,old,manmade,informed,informed2,cyan,white,1
CLOAK,Y,Y,5,3,1,543,old,manmade,informed,informed2,cyan,white,1
ANKLE,N,Y,5,8,2,608,old,manmade,informed,informed2,cyan,white,1
POWDER,N,Y,6,28,2,513,old,manmade,informed,informed2,cyan,white,1
BADGE,Y,Y,5,5,1,561,old,manmade,informed,informed2,cyan,white,1
CHEESE,Y,Y,6,9,1,624,old,manmade,informed,informed2,cyan,white,1
LOBSTER,N,Y,7,1,2,590,old,manmade,informed,informed2,cyan,white,1
CARD,Y,Y,4,26,1,565,old,manmade,informed,informed2,cyan,white,1
OUTFIT,Y,Y,6,16,2,515,old,manmade,informed,informed2,cyan,white,1
CAPSULE,Y,Y,7,5,2,540,old,manmade,informed,informed2,cyan,white,1
FROG,N,Y,4,1,1,619,old,manmade,informed,informed2,cyan,white,1
TOMATO,N,Y,6,4,3,662,old,manmade,informed,informed2,cyan,white,1
JACKET,Y,N,6,33,2,635,old,manmade,informed,informed2,cyan,white,1
CLOSET,Y,N,6,16,2,599,old,manmade,informed,informed2,cyan,white,1
WOLF,N,N,4,6,1,595,old,manmade,informed,informed2,cyan,white,1
COFFIN,Y,N,6,7,2,595,old,manmade,informed,informed2,cyan,white,1
POND,N,N,4,25,1,623,old,manmade,informed,informed2,cyan,white,1
SILVER,N,Y,6,29,2,564,old,manmade,informed,informed2,cyan,white,1
ELEPHANT,N,N,8,7,3,628,old,manmade,informed,informed2,cyan,white,1
MAGAZINE,Y,Y,8,39,3,588,old,manmade,informed,informed2,cyan,white,1
GIFT,Y,Y,4,33,1,533,old,manmade,informed,informed2,cyan,white,1
MOSQUITO,N,Y,8,1,3,595,old,manmade,informed,informed2,cyan,white,1
CASH,Y,Y,4,36,1,547,old,manmade,informed,informed2,cyan,white,1
SKULL,N,N,5,3,1,570,old,shoebox,informed,informed2,red,white,1
GARDENIA,N,Y,8,1,3,576,old,shoebox,informed,informed2,red,white,1
TRAIL,Y,N,5,31,1,511,old,shoebox,informed,informed2,red,white,1
PUDDLE,N,N,6,1,2,604,old,shoebox,informed,informed2,red,white,1
CEMENT,Y,Y,6,11,2,646,old,shoebox,informed,informed2,red,white,1
CIDER,Y,Y,5,2,2,626,old,shoebox,informed,informed2,red,white,1
POSTER,Y,N,6,4,2,592,old,shoebox,informed,informed2,red,white,1
SILK,Y,Y,4,12,1,538,old,shoebox,informed,informed2,red,white,1
CLOVER,N,Y,6,16,2,554,old,shoebox,informed,informed2,red,white,1
GARLIC,N,Y,6,4,2,636,old,shoebox,informed,informed2,red,white,1
SACK,Y,Y,4,8,1,582,old,shoebox,informed,informed2,red,white,1
DIAMOND,N,Y,7,8,2,610,old,shoebox,informed,informed2,red,white,1
PINE,N,N,4,14,1,592,old,shoebox,informed,informed2,red,white,1
LENS,Y,Y,4,12,1,573,old,shoebox,informed,informed2,red,white,1
STOVE,Y,N,5,15,1,591,old,shoebox,informed,informed2,red,white,1
SKIRT,Y,Y,5,21,1,614,old,shoebox,informed,informed2,red,white,1
SUGAR,N,Y,5,34,2,620,old,shoebox,informed,informed2,red,white,1
HOCKEY,Y,N,6,1,2,535,old,shoebox,informed,informed2,red,white,1
TURTLE,N,Y,6,8,2,644,old,shoebox,informed,informed2,red,white,1
LAWN,Y,N,4,15,1,588,old,shoebox,informed,informed2,red,white,1
HELMET,Y,N,6,1,2,602,old,shoebox,informed,informed2,red,white,1
TRIBE,Y,N,5,4,1,504,old,shoebox,informed,informed2,red,white,1
WHIP,Y,N,4,19,1,570,old,shoebox,informed,informed2,red,white,1
SHRIMP,N,Y,6,2,1,629,old,shoebox,informed,informed2,red,white,1
TOBACCO,N,Y,7,19,3,609,old,shoebox,informed,informed2,red,white,1
PYRAMID,Y,N,7,2,3,615,old,shoebox,informed,informed2,red,white,1
GINGER,N,Y,6,2,2,522,old,shoebox,informed,informed2,red,white,1
BOULDER,N,N,7,10,2,597,old,shoebox,informed,informed2,red,white,1
SHOWER,Y,N,6,15,1,588,old,shoebox,informed,informed2,red,white,1
BARK,N,Y,4,14,1,563,old,shoebox,informed,informed2,red,white,1
DRUG,Y,Y,4,24,1,555,old,shoebox,informed,informed2,red,white,1
MIRROR,Y,Y,6,27,1,605,old,shoebox,informed,informed2,red,white,1
