word,manmade,shoebox,nletters,freq,nsyllables,concreteness,old_new,study_judgment,cue_condition,study_phase,cue_color,box_color,show_cue
LUNG,N,Y,4,16,1,569,old,manmade,informed,informed1,cyan,white,1
CHESTNUT,N,Y,8,5,2,600,old,manmade,informed,informed1,cyan,white,1
FENCE,Y,N,5,30,1,597,old,manmade,informed,informed1,cyan,white,1
FOOTBALL,Y,Y,8,36,2,584,old,manmade,informed,informed1,cyan,white,1
CANDLE,Y,Y,6,18,2,565,old,manmade,informed,informed1,cyan,white,1
LACE,Y,Y,4,7,1,545,old,manmade,informed,informed1,cyan,white,1
SPIDER,N,Y,6,2,2,607,old,manmade,informed,informed1,cyan,white,1
ORGAN,N,Y,5,12,2,596,old,manmade,informed,informed1,cyan,white,1
SALAD,Y,Y,5,9,2,595,old,manmade,informed,informed1,cyan,white,1
GATE,Y,N,4,37,1,573,old,manmade,informed,informed1,cyan,white,1
DRILL,Y,Y,5,33,1,516,old,manmade,informed,informed1,cyan,white,1
PEAR,N,Y,4,6,1,634,old,manmade,informed,informed1,cyan,white,1
PODIUM,Y,N,6,1,2,546,old,manmade,informed,informed1,cyan,white,1
TIDE,N,N,4,11,1,516,old,manmade,informed,informed1,cyan,white,1
DEER,N,N,4,13,1,631,old,manmade,informed,informed1,cyan,white,1
SHELL,N,Y,5,22,1,597,old,manmade,informed,informed1,cyan,white,1
MAPLE,N,N,5,7,2,534,old,manmade,informed,informed1,cyan,white,1
MOUNTAIN,N,N,8,33,2,616,old,manmade,informed,informed1,cyan,white,1
BUSH,N,N,4,14,1,585,old,manmade,informed,informed1,cyan,white,1
CAPE,Y,Y,4,20,1,581,old,manmade,informed,informed1,cyan,white,1
TIMBER,N,N,6,19,2,578,old,manmade,informed,informed1,cyan,white,1
CALF,N,N,4,11,1,592,old,manmade,informed,informed1,cyan,white,1
BALLOON,Y,Y,7,10,2,623,old,manmade,informed,informed1,cyan,white,1
BANDAGE,Y,Y,7,4,2,639,old,manmade,informed,informed1,cyan,white,1
COIN,Y,Y,4,10,1,581,old,manmade,informed,informed1,cyan,white,1
CLARINET,Y,N,8,1,3,633,old,manmade,informed,informed1,cyan,white,1
ALLEY,Y,N,5,8,2,557,old,manmade,informed,informed1,cyan,white,1
BEAVER,N,N,6,3,2,589,old,manmade,informed,informed1,cyan,white,1
HONEY,N,Y,5,25,2,611,old,manmade,informed,informed1,cyan,white,1
GOLF,Y,N,4,34,1,540,old,manmade,informed,informed1,cyan,white,1
LOTION,Y,Y,6,8,2,534,old,manmade,informed,informed1,cyan,white,1
SEAL,N,N,4,17,1,587,old,manmade,informed,informed1,cyan,white,1
BUTTON,Y,Y,6,10,2,613,old,shoebox,informed,informed1,red,white,1
SHOVEL,Y,N,6,5,2,581,old,shoebox,informed,informed1,red,white,1
ENVELOPE,Y,Y,8,21,3,579,old,shoebox,informed,informed1,red,white,1
CABLE,Y,Y,5,7,2,544,old,shoebox,informed,informed1,red,white,1
THUMB,N,Y,5,10,1,638,old,shoebox,informed,informed1,red,white,1
GARMENT,Y,Y,7,6,2,552,old,shoebox,informed,informed1,red,white,1
RUST,N,Y,4,10,1,553,old,shoebox,informed,informed1,red,white,1
TOAST,Y,Y,5,19,1,582,old,shoebox,informed,informed1,red,white,1
SPICE,N,Y,5,4,1,590,old,shoebox,informed,informed1,red,white,1
PASTE,Y,Y,5,10,1,559,old,shoebox,informed,informed1,red,white,1
CRYSTAL,N,Y,7,23,2,587,old,shoebox,informed,informed1,red,white,1
PARADE,Y,N,6,25,2,523,old,shoebox,informed,informed1,red,white,1
SPRUCE,N,N,6,5,1,568,old,shoebox,informed,informed1,red,white,1
CHERRY,N,Y,6,6,2,611,old,shoebox,informed,informed1,red,white,1
WAIST,N,N,5,11,1,563,old,shoebox,informed,informed1,red,white,1
FRUIT,N,Y,5,35,1,612,old,shoebox,informed,informed1,red,white,1
TANK,Y,N,4,12,1,581,old,shoebox,informed,informed1,red,white,1
BOWL,Y,Y,4,23,1,575,old,shoebox,informed,informed1,red,white,1
KENNEL,Y,N,6,3,2,611,old,shoebox,informed,informed1,red,white,1
TROUT,N,Y,5,4,1,617,old,shoebox,informed,informed1,red,white,1
STICK,N,Y,5,39,1,604,old,shoebox,informed,informed1,red,white,1
SCAR,N,Y,4,10,1,552,old,shoebox,informed,informed1,red,white,1
OATMEAL,Y,Y,7,1,2,552,old,shoebox,informed,informed1,red,white,1
SHED,Y,N,4,11,1,611,old,shoebox,informed,informed1,red,white,1
RACKET,Y,N,6,5,2,562,old,shoebox,informed,informed1,red,white,1
FLEA,N,Y,4,2,1,625,old,shoebox,informed,informed1,red,white,1
CHART,Y,Y,5,22,1,532,old,shoebox,informed,informed1,red,white,1
CREAM,Y,Y,5,20,1,621,old,shoebox,informed,informed1,red,white,1
ROPE,Y,Y,4,15,1,608,old,shoebox,informed,informed1,red,white,1
BAGPIPE,Y,N,7,1,2,601,old,shoebox,informed,informed1,red,white,1
JAIL,Y,N,4,21,1,590,old,shoebox,informed,informed1,red,white,1
POLLEN,N,Y,6,11,2,584,old,shoebox,informed,informed1,red,white,1
