word,manmade,shoebox,nletters,freq,nsyllables,concreteness,old_new,study_judgment,cue_condition,study_phase,cue_color,box_color,show_cue
SOFA,Y,N,4,6,2,629,old,manmade,informed,informed2,cyan,white,1
CLOSET,Y,N,6,16,2,599,old,manmade,informed,informed2,cyan,white,1
BIRD,N,Y,4,31,1,602,old,manmade,informed,informed2,cyan,white,1
PALM,N,Y,4,22,1,596,old,manmade,informed,informed2,cyan,white,1
SODA,Y,Y,4,3,2,600,old,manmade,informed,informed2,cyan,white,1
NECTAR,N,Y,6,3,2,556,old,manmade,informed,informed2,cyan,white,1
FOOTBALL,Y,Y,8,36,2,584,old,manmade,informed,informed2,cyan,white,1
TRIBE,Y,N,5,4,1,504,old,manmade,informed,informed2,cyan,white,1
PLUM,N,Y,4,1,1,632,old,manmade,informed,informed2,cyan,white,1
BACTERIA,N,Y,8,8,3,560,old,manmade,informed,informed2,cyan,white,1
CARBON,N,Y,6,30,2,511,old,manmade,informed,informed2,cyan,white,1
VEIN,N,Y,4,25,1,553,old,manmade,informed,informed2,cyan,white,1
GRAVEL,N,Y,6,9,2,587,old,manmade,informed,informed2,cyan,white,1
RULER,Y,Y,5,3,2,555,old,manmade,informed,informed2,cyan,white,1
VELVET,Y,Y,6,4,2,580,old,manmade,informed,informed2,cyan,white,1
DOLL,Y,Y,4,10,1,588,old,manmade,informed,informed2,cyan,white,1
TRIANGLE,N,Y,8,4,3,523,old,manmade,informed,informed2,cyan,white,1
RABBIT,N,Y,6,11,2,635,old,manmade,informed,informed2,cyan,white,1
GLOVE,Y,Y,5,9,1,607,old,manmade,informed,informed2,cyan,white,1
STRING,Y,Y,6,19,1,570,old,manmade,informed,informed2,cyan,white,1
FLOOD,N,N,5,19,1,553,old,manmade,informed,informed2,cyan,white,1
BLANKET,Y,N,7,30,2,622,old,manmade,informed,informed2,cyan,white,1
POLLEN,N,Y,6,11,2,584,old,manmade,informed,informed2,cyan,white,1
CIGAR,Y,Y,5,10,2,580,old,manmade,informed,informed2,cyan,white,1
POSTER,Y,N,6,4,2,592,old,manmade,informed,informed2,cyan,white,1
BENCH,Y,N,5,35,1,614,old,manmade,informed,informed2,cyan,white,1
LOCK,Y,Y,4,23,1,565,old,manmade,informed,informed2,cyan,white,1
LENS,Y,Y,4,12,1,573,old,manmade,informed,informed2,cyan,white,1
BEAVER,N,N,6,3,2,589,old,manmade,informed,informed2,cyan,white,1
TONGUE,N,Y,6,35,1,634,old,manmade,informed,informed2,cyan,white,1
BANNER,Y,Y,6,8,2,567,old,manmade,informed,informed2,cyan,white,1
LAUNDRY,Y,N,7,5,2,576,old,manmade,informed,informed2,cyan,white,1
BEVERAGE,Y,Y,8,5,3,526,old,shoebox,informed,informed2,red,white,1
LINEN,Y,Y,5,6,2,581,old,shoebox,informed,informed2,red,white,1
THUNDER,N,N,7,14,2,547,old,shoebox,informed,informed2,red,white,1
NEEDLE,Y,Y,6,15,2,608,old,shoebox,informed,informed2,red,white,1
GALLERY,Y,N,7,31,3,569,old,shoebox,informed,informed2,red,white,1
CARRIAGE,Y,N,8,11,2,576,old,shoebox,informed,informed2,red,white,1
COSTUME,Y,N,7,10,2,544,old,shoebox,informed,informed2,red,white,1
TOAST,Y,Y,5,19,1,582,old,shoebox,informed,informed2,red,white,1
SOAP,Y,Y,4,22,1,598,old,shoebox,informed,informed2,red,white,1
THREAD,Y,Y,6,15,1,607,old,shoebox,informed,informed2,red,white,1
POLE,Y,N,4,18,1,577,old,shoebox,informed,informed2,red,white,1
LACE,Y,Y,4,7,1,545,old,shoebox,informed,informed2,red,white,1
VEHICLE,Y,N,7,35,3,558,old,shoebox,informed,informed2,red,white,1
ROBIN,N,Y,5,2,2,637,old,shoebox,informed,informed2,red,white,1
DRAIN,Y,Y,5,18,1,591,old,shoebox,informed,informed2,red,white,1
PLUG,Y,Y,4,23,1,558,old,shoebox,informed,informed2,red,white,1
SAUCE,Y,Y,5,20,1,576,old,shoebox,informed,informed2,red,white,1
SHOE,Y,Y,4,14,1,600,old,shoebox,informed,informed2,red,white,1
CALF,N,N,4,11,1,592,old,shoebox,informed,informed2,red,white,1
WALLET,Y,Y,6,6,2,584,old,shoebox,informed,informed2,red,white,1
HARE,N,N,4,1,1,615,old,shoebox,informed,informed2,red,white,1
SUNBURN,N,N,7,5,2,563,old,shoebox,informed,informed2,red,white,1
CLARINET,Y,N,8,1,3,633,old,shoebox,informed,informed2,red,white,1
PILLOW,Y,N,6,8,2,613,old,shoebox,informed,informed2,red,white,1
CAKE,Y,Y,4,13,1,624,old,shoebox,informed,informed2,red,white,1
SCAR,N,Y,4,10,1,552,old,shoebox,informed,informed2,red,white,1
SPRUCE,N,N,6,5,1,568,old,shoebox,informed,informed2,red,white,1
BUCKET,Y,N,6,7,2,594,old,shoebox,informed,informed2,red,white,1
GARBAGE,Y,Y,7,7,2,572,old,shoebox,informed,informed2,red,white,1
SATIN,Y,Y,5,5,2,594,old,shoebox,informed,informed2,red,white,1
SEAWEED,N,Y,7,3,2,593,old,shoebox,informed,informed2,red,white,1
CORK,Y,Y,4,9,1,608,old,shoebox,informed,informed2,red,white,1
