word,manmade,shoebox,nletters,freq,nsyllables,concreteness,old_new,study_judgment,cue_condition,study_phase,cue_color,box_color,show_cue
MAPLE,N,N,5,7,2,534,old,manmade,uninformed,uninformed2,n/a,cyan,0
BARREL,Y,N,6,24,2,590,old,manmade,uninformed,uninformed2,n/a,cyan,0
OATMEAL,Y,Y,7,1,2,552,old,manmade,uninformed,uninformed2,n/a,cyan,0
SNAIL,N,Y,5,1,1,579,old,manmade,uninformed,uninformed2,n/a,cyan,0
BERRY,N,Y,5,9,2,573,old,manmade,uninformed,uninformed2,n/a,cyan,0
SPEAR,Y,N,5,7,1,584,old,manmade,uninformed,uninformed2,n/a,cyan,0
SILVER,N,Y,6,29,2,564,old,manmade,uninformed,uninformed2,n/a,cyan,0
GATE,Y,N,4,37,1,573,old,manmade,uninformed,uninformed2,n/a,cyan,0
VIOLIN,Y,N,6,11,2,626,old,manmade,uninformed,uninformed2,n/a,cyan,0
STEW,Y,Y,4,5,1,603,old,manmade,uninformed,uninformed2,n/a,cyan,0
MUSTARD,Y,Y,7,20,2,595,old,manmade,uninformed,uninformed2,n/a,cyan,0
PALACE,Y,N,6,38,2,579,old,manmade,uninformed,uninformed2,n/a,cyan,0
DIME,Y,Y,4,4,1,582,old,manmade,uninformed,uninformed2,n/a,cyan,0
BOOTH,Y,N,5,7,1,556,old,manmade,uninformed,uninformed2,n/a,cyan,0
GARDENIA,N,Y,8,1,3,576,old,manmade,uninformed,uninformed2,n/a,cyan,0
JEWEL,N,Y,5,1,1,594,old,manmade,uninformed,uninformed2,n/a,cyan,0
TAIL,N,Y,4,24,1,613,old,manmade,uninformed,uninformed2,n/a,cyan,0
CHART,Y,Y,5,22,1,532,old,manmade,uninformed,uninformed2,n/a,cyan,0
SUGAR,N,Y,5,34,2,620,old,manmade,uninformed,uninformed2,n/a,cyan,0
BARK,N,Y,4,14,1,563,old,manmade,uninformed,uninformed2,n/a,cyan,0
FLUTE,Y,Y,5,1,1,587,old,manmade,uninformed,uninformed2,n/a,cyan,0
CEILING,Y,N,7,31,2,606,old,manmade,uninformed,uninformed2,n/a,cyan,0
STATUE,Y,N,6,17,2,600,old,manmade,uninformed,uninformed2,n/a,cyan,0
RUST,N,Y,4,10,1,553,old,manmade,uninformed,uninformed2,n/a,cyan,0
CAPSULE,Y,Y,7,5,2,540,old,manmade,uninformed,uninformed2,n/a,cyan,0
FUEL,Y,Y,4,17,1,559,old,manmade,uninformed,uninformed2,n/a,cyan,0
HAWK,N,N,4,14,1,623,old,manmade,uninformed,uninformed2,n/a,cyan,0
PYTHON,N,N,6,14,2,580,old,manmade,uninformed,uninformed2,n/a,cyan,0
SPRAY,Y,Y,5,16,1,514,old,manmade,uninformed,uninformed2,n/a,cyan,0
TRAIL,Y,N,5,31,1,511,old,manmade,uninformed,uninformed2,n/a,cyan,0
JACKET,Y,N,6,33,2,635,old,manmade,uninformed,uninformed2,n/a,cyan,0
BOOT,Y,Y,4,13,1,595,old,manmade,uninformed,uninformed2,n/a,cyan,0
CANDLE,Y,Y,6,18,2,565,old,shoebox,uninformed,uninformed2,n/a,red,0
LAMP,Y,N,4,18,1,615,old,shoebox,uninformed,uninformed2,n/a,red,0
SACK,Y,Y,4,8,1,582,old,shoebox,uninformed,uninformed2,n/a,red,0
FROG,N,Y,4,1,1,619,old,shoebox,uninformed,uninformed2,n/a,red,0
