word,manmade,shoebox,nletters,freq,nsyllables,concreteness,old_new,study_judgment,cue_condition,study_phase,cue_color,box_color,show_cue
ARROW,Y,N,5,14,2,595,old,manmade,uninformed,uninformed2,n/a,cyan,0
PALACE,Y,N,6,38,2,579,old,manmade,uninformed,uninformed2,n/a,cyan,0
TRIBE,Y,N,5,4,1,504,old,manmade,uninformed,uninformed2,n/a,cyan,0
STOVE,Y,N,5,15,1,591,old,manmade,uninformed,uninformed2,n/a,cyan,0
BISCUIT,Y,Y,7,2,2,574,old,manmade,uninformed,uninformed2,n/a,cyan,0
SOCK,Y,Y,4,4,1,581,old,manmade,uninformed,uninformed2,n/a,cyan,0
CARPET,Y,N,6,13,2,581,old,manmade,uninformed,uninformed2,n/a,cyan,0
JERSEY,Y,Y,6,25,2,621,old,manmade,uninformed,uninformed2,n/a,cyan,0
JEEP,Y,N,4,16,1,622,old,manmade,uninformed,uninformed2,n/a,cyan,0
LEAF,N,Y,4,12,1,593,old,manmade,uninformed,uninformed2,n/a,cyan,0
BARK,N,Y,4,14,1,563,old,manmade,uninformed,uninformed2,n/a,cyan,0
PENCIL,Y,Y,6,34,2,617,old,manmade,uninformed,uninformed2,n/a,cyan,0
CARRIAGE,Y,N,8,11,2,576,old,manmade,uninformed,uninformed2,n/a,cyan,0
RAMP,Y,N,4,6,1,538,old,manmade,uninformed,uninformed2,n/a,cyan,0
HERB,N,Y,4,7,1,558,old,manmade,uninformed,uninformed2,n/a,cyan,0
LAWN,Y,N,4,15,1,588,old,manmade,uninformed,uninformed2,n/a,cyan,0
BANNER,Y,Y,6,8,2,567,old,manmade,uninformed,uninformed2,n/a,cyan,0
SPEAR,Y,N,5,7,1,584,old,manmade,uninformed,uninformed2,n/a,cyan,0
CLOCK,Y,Y,5,20,1,591,old,manmade,uninformed,uninformed2,n/a,cyan,0
KETTLE,Y,N,6,3,2,602,old,manmade,uninformed,uninformed2,n/a,cyan,0
TUBE,Y,Y,4,31,1,581,old,manmade,uninformed,uninformed2,n/a,cyan,0
MOUSE,N,Y,5,10,1,624,old,manmade,uninformed,uninformed2,n/a,cyan,0
MINERAL,N,Y,7,12,3,527,old,manmade,uninformed,uninformed2,n/a,cyan,0
OATMEAL,Y,Y,7,1,2,552,old,manmade,uninformed,uninformed2,n/a,cyan,0
KNUCKLE,Y,Y,7,3,2,586,old,manmade,uninformed,uninformed2,n/a,cyan,0
CAPITOL,Y,N,7,22,3,529,old,manmade,uninformed,uninformed2,n/a,cyan,0
VELVET,Y,Y,6,4,2,580,old,manmade,uninformed,uninformed2,n/a,cyan,0
STEM,N,Y,4,29,1,556,old,manmade,uninformed,uninformed2,n/a,cyan,0
SURF,N,N,4,1,1,527,old,manmade,uninformed,uninformed2,n/a,cyan,0
COSTUME,Y,N,7,10,2,544,old,manmade,uninformed,uninformed2,n/a,cyan,0
SILK,Y,Y,4,12,1,538,old,manmade,uninformed,uninformed2,n/a,cyan,0
LODGE,Y,N,5,19,1,538,old,manmade,uninformed,uninformed2,n/a,cyan,0
SQUIRREL,N,Y,8,1,2,612,old,shoebox,uninformed,uninformed2,n/a,red,0
BLANKET,Y,N,7,30,2,622,old,shoebox,uninformed,uninformed2,n/a,red,0
POLE,Y,N,4,18,1,577,old,shoebox,uninformed,uninformed2,n/a,red,0
SPICE,N,Y,5,4,1,590,old,shoebox,uninformed,uninformed2,n/a,red,0
HARE,N,N,4,1,1,615,old,shoebox,uninformed,uninformed2,n/a,red,0
BANDAGE,Y,Y,7,4,2,639,old,shoebox,uninformed,uninformed2,n/a,red,0
FORK,Y,Y,4,14,1,592,old,shoebox,uninformed,uninformed2,n/a,red,0
BUTTON,Y,Y,6,10,2,613,old,shoebox,uninformed,uninformed2,n/a,red,0
HOCKEY,Y,N,6,1,2,535,old,shoebox,uninformed,uninformed2,n/a,red,0
POWDER,N,Y,6,28,2,513,old,shoebox,uninformed,uninformed2,n/a,red,0
SUNSET,N,N,6,14,2,525,old,shoebox,uninformed,uninformed2,n/a,red,0
CHEESE,Y,Y,6,9,1,624,old,shoebox,uninformed,uninformed2,n/a,red,0
GARMENT,Y,Y,7,6,2,552,old,shoebox,uninformed,uninformed2,n/a,red,0
SPINACH,N,Y,7,2,2,589,old,shoebox,uninformed,uninformed2,n/a,red,0
APPLE,N,Y,5,9,2,620,old,shoebox,uninformed,uninformed2,n/a,red,0
FOREARM,N,Y,7,3,2,608,old,shoebox,uninformed,uninformed2,n/a,red,0
SNAIL,N,Y,5,1,1,579,old,shoebox,uninformed,uninformed2,n/a,red,0
ORGAN,N,Y,5,12,2,596,old,shoebox,uninformed,uninformed2,n/a,red,0
DRUM,Y,N,4,11,1,602,old,shoebox,uninformed,uninformed2,n/a,red,0
COCKTAIL,Y,Y,8,25,2,576,old,shoebox,uninformed,uninformed2,n/a,red,0
CABIN,Y,N,5,23,2,596,old,shoebox,uninformed,uninformed2,n/a,red,0
RUST,N,Y,4,10,1,553,old,shoebox,uninformed,uninformed2,n/a,red,0
BADGE,Y,Y,5,5,1,561,old,shoebox,uninformed,uninformed2,n/a,red,0
