phase_name,phase_progress
informed_prac,Practice Phase Progress: 0% complete
uninformed_prac,Practice Phase Progress: 50% complete
uninformed1_study3,Real Phase Progress: 0% complete
informed1_study3,Real Phase Progress: 25% complete
informed2_study3,Real Phase Progress: 50% complete
uninformed2_study3,Real Phase Progress: 75% complete
