word,manmade,shoebox,nletters,freq,nsyllables,concreteness,old_new,study_judgment,cue_condition,study_phase,cue_color,box_color,show_cue
TROUT,N,Y,5,4,1,617,old,manmade,uninformed,uninformed2,n/a,cyan,0
CAPSULE,Y,Y,7,5,2,540,old,manmade,uninformed,uninformed2,n/a,cyan,0
MOSQUITO,N,Y,8,1,3,595,old,manmade,uninformed,uninformed2,n/a,cyan,0
SHELL,N,Y,5,22,1,597,old,manmade,uninformed,uninformed2,n/a,cyan,0
COUCH,Y,N,5,12,1,578,old,manmade,uninformed,uninformed2,n/a,cyan,0
MINK,N,N,4,5,1,589,old,manmade,uninformed,uninformed2,n/a,cyan,0
PAINT,Y,Y,5,37,1,577,old,manmade,uninformed,uninformed2,n/a,cyan,0
THUNDER,N,N,7,14,2,547,old,manmade,uninformed,uninformed2,n/a,cyan,0
SOCK,Y,Y,4,4,1,581,old,manmade,uninformed,uninformed2,n/a,cyan,0
BAGPIPE,Y,N,7,1,2,601,old,manmade,uninformed,uninformed2,n/a,cyan,0
SWORD,Y,N,5,7,1,577,old,manmade,uninformed,uninformed2,n/a,cyan,0
GARBAGE,Y,Y,7,7,2,572,old,manmade,uninformed,uninformed2,n/a,cyan,0
BUTTON,Y,Y,6,10,2,613,old,manmade,uninformed,uninformed2,n/a,cyan,0
ELEPHANT,N,N,8,7,3,628,old,manmade,uninformed,uninformed2,n/a,cyan,0
RAMP,Y,N,4,6,1,538,old,manmade,uninformed,uninformed2,n/a,cyan,0
THUMB,N,Y,5,10,1,638,old,manmade,uninformed,uninformed2,n/a,cyan,0
GOWN,Y,Y,4,16,1,586,old,manmade,uninformed,uninformed2,n/a,cyan,0
QUARTER,Y,Y,7,34,2,509,old,manmade,uninformed,uninformed2,n/a,cyan,0
SEAWEED,N,Y,7,3,2,593,old,manmade,uninformed,uninformed2,n/a,cyan,0
INSECT,N,Y,6,14,2,593,old,manmade,uninformed,uninformed2,n/a,cyan,0
PLANK,Y,N,5,7,1,592,old,manmade,uninformed,uninformed2,n/a,cyan,0
JAIL,Y,N,4,21,1,590,old,manmade,uninformed,uninformed2,n/a,cyan,0
TIMBER,N,N,6,19,2,578,old,manmade,uninformed,uninformed2,n/a,cyan,0
GINGER,N,Y,6,2,2,522,old,manmade,uninformed,uninformed2,n/a,cyan,0
BRICK,Y,Y,5,18,1,610,old,manmade,uninformed,uninformed2,n/a,cyan,0
POISON,N,Y,6,10,2,527,old,manmade,uninformed,uninformed2,n/a,cyan,0
TONGUE,N,Y,6,35,1,634,old,manmade,uninformed,uninformed2,n/a,cyan,0
TIGER,N,N,5,7,2,611,old,manmade,uninformed,uninformed2,n/a,cyan,0
PALM,N,Y,4,22,1,596,old,manmade,uninformed,uninformed2,n/a,cyan,0
SHOVEL,Y,N,6,5,2,581,old,manmade,uninformed,uninformed2,n/a,cyan,0
WHIP,Y,N,4,19,1,570,old,manmade,uninformed,uninformed2,n/a,cyan,0
BACTERIA,N,Y,8,8,3,560,old,manmade,uninformed,uninformed2,n/a,cyan,0
WALLET,Y,Y,6,6,2,584,old,shoebox,uninformed,uninformed2,n/a,red,0
