word,manmade,shoebox,nletters,freq,nsyllables,concreteness,old_new,study_judgment,cue_condition,study_phase,cue_color,box_color,show_cue
STORM,N,N,5,26,1,527,old,manmade,uninformed,uninformed1,n/a,cyan,0
SALOON,Y,N,6,12,2,575,old,manmade,uninformed,uninformed1,n/a,cyan,0
KNOB,Y,Y,4,2,1,586,old,manmade,uninformed,uninformed1,n/a,cyan,0
BENCH,Y,N,5,35,1,614,old,manmade,uninformed,uninformed1,n/a,cyan,0
SODA,Y,Y,4,3,2,600,old,manmade,uninformed,uninformed1,n/a,cyan,0
OYSTER,N,Y,6,6,2,573,old,manmade,uninformed,uninformed1,n/a,cyan,0
COCKTAIL,Y,Y,8,25,2,576,old,manmade,uninformed,uninformed1,n/a,cyan,0
LEMON,N,Y,5,18,2,608,old,manmade,uninformed,uninformed1,n/a,cyan,0
JELLY,Y,Y,5,3,2,560,old,manmade,uninformed,uninformed1,n/a,cyan,0
THREAD,Y,Y,6,15,1,607,old,manmade,uninformed,uninformed1,n/a,cyan,0
CLOUD,N,N,5,28,1,554,old,manmade,uninformed,uninformed1,n/a,cyan,0
DOLL,Y,Y,4,10,1,588,old,manmade,uninformed,uninformed1,n/a,cyan,0
BASEMENT,Y,N,8,31,2,585,old,manmade,uninformed,uninformed1,n/a,cyan,0
LIME,N,Y,4,13,1,590,old,manmade,uninformed,uninformed1,n/a,cyan,0
SAIL,Y,N,4,12,1,567,old,manmade,uninformed,uninformed1,n/a,cyan,0
SPINACH,N,Y,7,2,2,589,old,manmade,uninformed,uninformed1,n/a,cyan,0
FLOOD,N,N,5,19,1,553,old,manmade,uninformed,uninformed1,n/a,cyan,0
SOFA,Y,N,4,6,2,629,old,manmade,uninformed,uninformed1,n/a,cyan,0
SUNBURN,N,N,7,5,2,563,old,manmade,uninformed,uninformed1,n/a,cyan,0
RABBIT,N,Y,6,11,2,635,old,manmade,uninformed,uninformed1,n/a,cyan,0
BANNER,Y,Y,6,8,2,567,old,manmade,uninformed,uninformed1,n/a,cyan,0
MACKEREL,N,Y,8,2,2,636,old,manmade,uninformed,uninformed1,n/a,cyan,0
BIRD,N,Y,4,31,1,602,old,manmade,uninformed,uninformed1,n/a,cyan,0
ESSAY,Y,Y,5,19,2,527,old,manmade,uninformed,uninformed1,n/a,cyan,0
BEEF,N,Y,4,32,1,637,old,manmade,uninformed,uninformed1,n/a,cyan,0
