setID,word,manmade,shoebox,nletters,freq,nsyllables,concreteness,item_type,study_judgment,study_condition
set8,WOMB,N,N,4,1,1,538,old,shoebox,informed
set8,ALLEY,Y,N,5,8,2,557,old,shoebox,informed
set8,CLOUD,N,N,5,28,1,554,old,shoebox,uninformed
set8,TENT,Y,N,4,20,1,608,old,manmade,uninformed
set8,PLUM,N,Y,4,1,1,632,old,manmade,uninformed
set8,SILK,Y,Y,4,12,1,538,old,shoebox,informed
set8,SNAIL,N,Y,5,1,1,579,old,manmade,uninformed
set8,STATUE,Y,N,6,17,2,600,old,shoebox,informed
set8,CAMEL,N,N,5,1,2,597,old,manmade,informed
set8,CIDER,Y,Y,5,2,2,626,old,manmade,informed
set8,TEAR,N,Y,4,11,1,504,old,shoebox,uninformed
set8,OATMEAL,Y,Y,7,1,2,552,old,shoebox,informed
set8,BANANA,N,Y,6,4,3,633,old,manmade,informed
set8,OCEAN,N,N,5,34,2,593,old,shoebox,uninformed
set8,CHERRY,N,Y,6,6,2,611,old,shoebox,uninformed
set8,PEAR,N,Y,4,6,1,634,old,manmade,uninformed
set8,GOWN,Y,Y,4,16,1,586,old,shoebox,informed
set8,BACTERIA,N,Y,8,8,3,560,old,manmade,uninformed
set8,SAIL,Y,N,4,12,1,567,old,shoebox,uninformed
set8,LOBSTER,N,Y,7,1,2,590,old,manmade,uninformed
set8,SACK,Y,Y,4,8,1,582,old,shoebox,informed
set8,BONE,N,Y,4,33,1,588,old,manmade,uninformed
set8,BEAVER,N,N,6,3,2,589,old,shoebox,uninformed
set8,SPADE,Y,Y,5,10,1,565,old,shoebox,uninformed
set8,DIME,Y,Y,4,4,1,582,old,shoebox,informed
set8,HELMET,Y,N,6,1,2,602,old,manmade,informed
set8,ENVELOPE,Y,Y,8,21,3,579,old,shoebox,uninformed
set8,CEREAL,Y,Y,6,17,2,637,old,shoebox,uninformed
set8,SHRIMP,N,Y,6,2,1,629,old,shoebox,uninformed
set8,TOAD,N,Y,4,4,1,568,old,manmade,informed
set8,ESSAY,Y,Y,5,19,2,527,old,manmade,informed
set8,SURF,N,N,4,1,1,527,old,shoebox,informed
set8,FRUIT,N,Y,5,35,1,612,old,manmade,uninformed
set8,MINK,N,N,4,5,1,589,old,manmade,uninformed
set8,CABBAGE,N,Y,7,4,2,611,old,manmade,uninformed
set8,TIMBER,N,N,6,19,2,578,old,shoebox,informed
set8,LEATHER,Y,Y,7,24,2,575,old,manmade,uninformed
set8,LOCKER,Y,N,6,9,2,586,old,shoebox,uninformed
set8,PLANK,Y,N,5,7,1,592,old,manmade,informed
set8,OYSTER,N,Y,6,6,2,573,old,shoebox,uninformed
set8,SATIN,Y,Y,5,5,2,594,old,shoebox,informed
set8,DIAMOND,N,Y,7,8,2,610,old,manmade,uninformed
set8,HEDGE,Y,N,5,2,1,615,old,manmade,uninformed
set8,DRAIN,Y,Y,5,18,1,591,old,manmade,uninformed
set8,MANSION,Y,N,7,8,2,579,old,shoebox,informed
set8,KITTEN,N,Y,6,5,2,612,old,manmade,informed
set8,TUBE,Y,Y,4,31,1,581,old,manmade,uninformed
set8,CLARINET,Y,N,8,1,3,633,old,shoebox,informed
set8,PASTE,Y,Y,5,10,1,559,old,shoebox,uninformed
set8,ABDOMEN,N,Y,7,6,3,586,old,manmade,uninformed
set8,MUSTARD,Y,Y,7,20,2,595,old,shoebox,informed
set8,CREAM,Y,Y,5,20,1,621,old,shoebox,informed
set8,CAPE,Y,Y,4,20,1,581,old,manmade,informed
set8,TAPE,Y,Y,4,35,1,564,old,manmade,uninformed
set8,FENCE,Y,N,5,30,1,597,old,manmade,informed
set8,CARD,Y,Y,4,26,1,565,old,shoebox,informed
set8,ANKLE,N,Y,5,8,2,608,old,manmade,informed
set8,MOUSE,N,Y,5,10,1,624,old,shoebox,uninformed
set8,WORM,N,Y,4,4,1,611,old,manmade,informed
set8,SALAD,Y,Y,5,9,2,595,old,manmade,informed
set8,CARRIAGE,Y,N,8,11,2,576,old,shoebox,informed
set8,RIBBON,Y,Y,6,12,2,600,old,shoebox,uninformed
set8,POLE,Y,N,4,18,1,577,old,manmade,informed
set8,BARK,N,Y,4,14,1,563,old,manmade,uninformed
set8,SPICE,N,Y,5,4,1,590,old,manmade,informed
set8,STEW,Y,Y,4,5,1,603,old,shoebox,informed
set8,INSECT,N,Y,6,14,2,593,old,manmade,informed
set8,BASEMENT,Y,N,8,31,2,585,old,shoebox,uninformed
set8,TANK,Y,N,4,12,1,581,old,shoebox,informed
set8,PYRAMID,Y,N,7,2,3,615,old,shoebox,uninformed
set8,PATCH,Y,Y,5,13,1,558,old,manmade,uninformed
set8,COKE,Y,Y,4,4,1,580,old,shoebox,uninformed
set8,TRUMPET,Y,N,7,7,2,608,old,manmade,informed
set8,ROBIN,N,Y,5,2,2,637,old,manmade,uninformed
set8,CARROT,N,Y,6,1,2,622,old,shoebox,uninformed
set8,STICK,N,Y,5,39,1,604,old,manmade,uninformed
set8,RAIL,Y,N,4,16,1,540,old,manmade,informed
set8,CHAPEL,Y,N,6,20,2,587,old,manmade,uninformed
set8,LAWN,Y,N,4,15,1,588,old,shoebox,uninformed
set8,BEAN,N,Y,4,5,1,604,old,manmade,uninformed
set8,STAR,N,N,4,25,1,574,old,shoebox,informed
set8,SPRUCE,N,N,6,5,1,568,old,manmade,uninformed
set8,TRIANGLE,N,Y,8,4,3,523,old,manmade,uninformed
set8,PYTHON,N,N,6,14,2,580,old,manmade,uninformed
set8,TOILET,Y,N,6,13,2,586,old,shoebox,informed
set8,BUTTON,Y,Y,6,10,2,613,old,manmade,uninformed
set8,BARREL,Y,N,6,24,2,590,old,shoebox,uninformed
set8,PEARL,N,Y,5,9,1,597,old,shoebox,informed
set8,MEAL,Y,Y,4,30,1,602,old,shoebox,uninformed
set8,CIGAR,Y,Y,5,10,2,580,old,manmade,informed
set8,BALLOON,Y,Y,7,10,2,623,old,shoebox,informed
set8,APPLE,N,Y,5,9,2,620,old,shoebox,informed
set8,LACE,Y,Y,4,7,1,545,old,manmade,uninformed
set8,CARBON,N,Y,6,30,2,511,old,shoebox,informed
set8,SOCCER,Y,N,6,3,2,524,old,shoebox,uninformed
set8,PEACH,N,Y,5,3,1,617,old,manmade,uninformed
set8,FORK,Y,Y,4,14,1,592,old,shoebox,uninformed
set8,TOAST,Y,Y,5,19,1,582,old,shoebox,informed
set8,KNOB,Y,Y,4,2,1,586,old,manmade,informed
set8,THUMB,N,Y,5,10,1,638,old,manmade,uninformed
set8,SPARK,N,Y,5,12,1,526,old,shoebox,uninformed
set8,WALLET,Y,Y,6,6,2,584,old,manmade,informed
set8,KNEE,N,Y,4,35,1,593,old,shoebox,uninformed
set8,PORK,N,N,4,10,1,585,old,shoebox,uninformed
set8,PICKLE,Y,Y,6,1,2,606,old,shoebox,uninformed
set8,PIER,Y,N,4,3,1,588,old,manmade,informed
set8,SEAL,N,N,4,17,1,587,old,shoebox,uninformed
set8,LINEN,Y,Y,5,6,2,581,old,manmade,uninformed
set8,CEILING,Y,N,7,31,2,606,old,shoebox,informed
set8,GLOVE,Y,Y,5,9,1,607,old,manmade,informed
set8,TOBACCO,N,Y,7,19,3,609,old,shoebox,uninformed
set8,DECK,Y,N,4,23,1,566,old,shoebox,informed
set8,HAMMER,Y,Y,6,9,2,605,old,shoebox,uninformed
set8,CLOSET,Y,N,6,16,2,599,old,manmade,informed
set8,TULIP,N,Y,5,4,2,619,old,manmade,informed
set8,SHOWER,Y,N,6,15,1,588,old,manmade,informed
set8,TUNNEL,Y,N,6,10,2,555,old,shoebox,uninformed
set8,PARCEL,Y,N,6,1,2,525,old,shoebox,informed
set8,NECTAR,N,Y,6,3,2,556,old,shoebox,uninformed
set8,CAPSULE,Y,Y,7,5,2,540,old,manmade,informed
set8,SKULL,N,N,5,3,1,570,old,shoebox,uninformed
set8,HONEY,N,Y,5,25,2,611,old,manmade,informed
set8,PONY,N,N,4,10,2,611,old,shoebox,uninformed
set8,SWORD,Y,N,5,7,1,577,old,manmade,uninformed
set8,BOWL,Y,Y,4,23,1,575,old,manmade,uninformed
set8,SHEEP,N,N,5,23,1,622,old,manmade,informed
set8,SCRATCH,N,N,7,9,1,523,old,shoebox,uninformed
set8,YACHT,Y,N,5,4,1,606,old,manmade,uninformed
set8,FEAST,Y,N,5,3,1,542,old,shoebox,uninformed
set8,VASE,Y,N,4,4,1,595,old,shoebox,informed
set8,VEIN,N,Y,4,25,1,553,old,shoebox,uninformed
set8,JELLY,Y,Y,5,3,2,560,old,manmade,informed
set8,RACKET,Y,N,6,5,2,562,old,shoebox,uninformed
set8,TEMPLE,Y,N,6,38,2,565,old,shoebox,informed
set8,CAPITOL,Y,N,7,22,3,529,old,shoebox,uninformed
set8,CHART,Y,Y,5,22,1,532,old,manmade,uninformed
set8,SODA,Y,Y,4,3,2,600,old,shoebox,informed
set8,LAMP,Y,N,4,18,1,615,old,shoebox,informed
