setID,word,manmade,shoebox,nletters,freq,nsyllables,concreteness,item_type,study_judgment,study_condition
set18,PLUM,N,Y,4,1,1,632,old,manmade,informed
set18,TRACTOR,Y,N,7,24,2,590,old,manmade,uninformed
set18,CLOSET,Y,N,6,16,2,599,old,shoebox,uninformed
set18,SURF,N,N,4,1,1,527,old,shoebox,informed
set18,BOULDER,N,N,7,10,2,597,old,shoebox,informed
set18,BONE,N,Y,4,33,1,588,old,manmade,uninformed
set18,POLE,Y,N,4,18,1,577,old,shoebox,informed
set18,FISH,N,Y,4,35,1,597,old,shoebox,uninformed
set18,NOZZLE,Y,Y,6,4,2,555,old,shoebox,uninformed
set18,DRUM,Y,N,4,11,1,602,old,manmade,informed
set18,TUBE,Y,Y,4,31,1,581,old,shoebox,uninformed
set18,RULER,Y,Y,5,3,2,555,old,manmade,informed
set18,THUMB,N,Y,5,10,1,638,old,shoebox,uninformed
set18,HOCKEY,Y,N,6,1,2,535,old,manmade,informed
set18,CALF,N,N,4,11,1,592,old,manmade,informed
set18,MINERAL,N,Y,7,12,3,527,old,shoebox,informed
set18,TOAST,Y,Y,5,19,1,582,old,manmade,uninformed
set18,SLEEVE,Y,Y,6,11,1,587,old,shoebox,informed
set18,CHART,Y,Y,5,22,1,532,old,manmade,uninformed
set18,SHOE,Y,Y,4,14,1,600,old,shoebox,informed
set18,TOOTH,N,Y,5,20,1,619,old,manmade,informed
set18,MEAL,Y,Y,4,30,1,602,old,manmade,uninformed
set18,BACTERIA,N,Y,8,8,3,560,old,manmade,informed
set18,BASEMENT,Y,N,8,31,2,585,old,shoebox,uninformed
set18,VEIN,N,Y,4,25,1,553,old,manmade,uninformed
set18,PALM,N,Y,4,22,1,596,old,manmade,uninformed
set18,MONKEY,N,N,6,9,2,566,old,shoebox,informed
set18,RAMP,Y,N,4,6,1,538,old,shoebox,uninformed
set18,RIBBON,Y,Y,6,12,2,600,old,manmade,uninformed
set18,GARMENT,Y,Y,7,6,2,552,old,manmade,uninformed
set18,PINE,N,N,4,14,1,592,old,manmade,informed
set18,PLATE,Y,Y,5,22,1,595,old,shoebox,informed
set18,CORK,Y,Y,4,9,1,608,old,manmade,informed
set18,CARPET,Y,N,6,13,2,581,old,shoebox,uninformed
set18,BLANKET,Y,N,7,30,2,622,old,shoebox,uninformed
set18,COLLAR,Y,Y,6,17,2,622,old,shoebox,informed
set18,WOLF,N,N,4,6,1,595,old,manmade,uninformed
set18,BEAVER,N,N,6,3,2,589,old,shoebox,informed
set18,CLOUD,N,N,5,28,1,554,old,shoebox,informed
set18,RACKET,Y,N,6,5,2,562,old,manmade,informed
set18,BEEF,N,Y,4,32,1,637,old,manmade,uninformed
set18,PARCEL,Y,N,6,1,2,525,old,shoebox,informed
set18,CLOCK,Y,Y,5,20,1,591,old,shoebox,uninformed
set18,STOVE,Y,N,5,15,1,591,old,shoebox,informed
set18,ARROW,Y,N,5,14,2,595,old,manmade,uninformed
set18,AXLE,Y,N,4,5,2,555,old,shoebox,uninformed
set18,TENT,Y,N,4,20,1,608,old,shoebox,uninformed
set18,CAMERA,Y,Y,6,36,2,627,old,shoebox,informed
set18,STEAM,N,Y,5,17,1,552,old,manmade,uninformed
set18,STAIN,N,Y,5,6,1,535,old,shoebox,informed
set18,PASTE,Y,Y,5,10,1,559,old,shoebox,uninformed
set18,SEAL,N,N,4,17,1,587,old,shoebox,uninformed
set18,PEARL,N,Y,5,9,1,597,old,manmade,informed
set18,CASH,Y,Y,4,36,1,547,old,manmade,uninformed
set18,SUPPER,Y,Y,6,37,2,563,old,shoebox,uninformed
set18,CAGE,Y,N,4,9,1,593,old,shoebox,informed
set18,WHIP,Y,N,4,19,1,570,old,shoebox,informed
set18,STAR,N,N,4,25,1,574,old,manmade,uninformed
set18,CAMEL,N,N,5,1,2,597,old,shoebox,informed
set18,GOAT,N,N,4,6,1,636,old,shoebox,uninformed
set18,RUST,N,Y,4,10,1,553,old,manmade,informed
set18,VASE,Y,N,4,4,1,595,old,shoebox,uninformed
set18,PICKLE,Y,Y,6,1,2,606,old,manmade,informed
set18,FOOTBALL,Y,Y,8,36,2,584,old,manmade,uninformed
set18,JACKET,Y,N,6,33,2,635,old,manmade,informed
set18,COAL,N,Y,4,32,1,584,old,shoebox,uninformed
set18,VEHICLE,Y,N,7,35,3,558,old,manmade,uninformed
set18,CONE,Y,Y,4,13,1,573,old,shoebox,uninformed
set18,DOVE,N,Y,4,4,1,588,old,shoebox,informed
set18,MOUNTAIN,N,N,8,33,2,616,old,shoebox,uninformed
set18,TRIANGLE,N,Y,8,4,3,523,old,manmade,informed
set18,CARRIAGE,Y,N,8,11,2,576,old,shoebox,uninformed
set18,FRUIT,N,Y,5,35,1,612,old,shoebox,informed
set18,OTTER,N,N,5,5,2,631,old,shoebox,uninformed
set18,JADE,N,Y,4,1,1,570,old,manmade,uninformed
set18,BANNER,Y,Y,6,8,2,567,old,shoebox,uninformed
set18,BROOM,Y,N,5,2,1,613,old,manmade,informed
set18,STICK,N,Y,5,39,1,604,old,shoebox,uninformed
set18,WAIST,N,N,5,11,1,563,old,manmade,uninformed
set18,WALLET,Y,Y,6,6,2,584,old,shoebox,informed
set18,SPINACH,N,Y,7,2,2,589,old,shoebox,informed
set18,THREAD,Y,Y,6,15,1,607,old,manmade,informed
set18,UMBRELLA,Y,N,8,8,3,606,old,manmade,uninformed
