setID,word,manmade,shoebox,nletters,freq,nsyllables,concreteness,item_type,study_judgment,study_condition
set58,MUSTARD,Y,Y,7,20,2,595,old,shoebox,informed
set58,PONY,N,N,4,10,2,611,old,shoebox,informed
set58,MANSION,Y,N,7,8,2,579,old,manmade,uninformed
set58,ARROW,Y,N,5,14,2,595,old,manmade,uninformed
set58,PIANO,Y,N,5,38,3,615,old,manmade,informed
set58,KNUCKLE,Y,Y,7,3,2,586,old,shoebox,informed
set58,BANNER,Y,Y,6,8,2,567,old,manmade,informed
set58,NOZZLE,Y,Y,6,4,2,555,old,shoebox,uninformed
set58,APPLE,N,Y,5,9,2,620,old,manmade,informed
set58,SAUCE,Y,Y,5,20,1,576,old,manmade,uninformed
set58,JADE,N,Y,4,1,1,570,old,shoebox,informed
set58,PYRAMID,Y,N,7,2,3,615,old,shoebox,uninformed
set58,SQUIRREL,N,Y,8,1,2,612,old,shoebox,informed
set58,CAKE,Y,Y,4,13,1,624,old,manmade,uninformed
set58,JACKET,Y,N,6,33,2,635,old,shoebox,informed
set58,SPRAY,Y,Y,5,16,1,514,old,shoebox,informed
set58,MOSQUITO,N,Y,8,1,3,595,old,shoebox,informed
set58,SPICE,N,Y,5,4,1,590,old,manmade,uninformed
set58,KNEE,N,Y,4,35,1,593,old,manmade,informed
set58,POLLEN,N,Y,6,11,2,584,old,shoebox,informed
set58,RIBBON,Y,Y,6,12,2,600,old,manmade,informed
set58,SURF,N,N,4,1,1,527,old,shoebox,uninformed
set58,BUCKET,Y,N,6,7,2,594,old,shoebox,uninformed
set58,TAPE,Y,Y,4,35,1,564,old,shoebox,informed
set58,BLOUSE,Y,Y,6,1,1,640,old,manmade,informed
set58,BOOT,Y,Y,4,13,1,595,old,shoebox,informed
set58,MOSS,N,Y,4,9,1,575,old,manmade,uninformed
set58,BACTERIA,N,Y,8,8,3,560,old,manmade,informed
set58,YACHT,Y,N,5,4,1,606,old,shoebox,informed
set58,SHOE,Y,Y,4,14,1,600,old,manmade,informed
set58,SPIDER,N,Y,6,2,2,607,old,manmade,uninformed
set58,DRAIN,Y,Y,5,18,1,591,old,manmade,informed
set58,ELEPHANT,N,N,8,7,3,628,old,shoebox,informed
set58,HOCKEY,Y,N,6,1,2,535,old,shoebox,informed
set58,HAWK,N,N,4,14,1,623,old,shoebox,uninformed
set58,HERB,N,Y,4,7,1,558,old,manmade,informed
set58,FLOOD,N,N,5,19,1,553,old,shoebox,informed
set58,CAMEL,N,N,5,1,2,597,old,shoebox,uninformed
set58,OTTER,N,N,5,5,2,631,old,shoebox,informed
set58,MAPLE,N,N,5,7,2,534,old,manmade,uninformed
set58,BEAN,N,Y,4,5,1,604,old,manmade,informed
set58,THUNDER,N,N,7,14,2,547,old,manmade,uninformed
